"Occupation Title","Occupation Code","Occupation Type","2023 Employment","2023 Percent of Industry","2023 Percent of Occupation","Projected 2033 Employment","Projected 2033 Percent of Industry","Projected 2033 Percent of Occupation","Employment Change, 2023-2033","Employment Percent Change, 2023-2033","Occupation Sort","Display Level"
"Training and development specialists","=""13-1151""","Line Item","29.3","0.2","7.0","31.6","0.2","6.7","2.3","7.8","71","3"
"Market research analysts and marketing specialists","=""13-1161""","Line Item","51.3","0.4","5.7","53.5","0.4","5.5","2.3","4.4","72","3"
"Business operations specialists, all other","=""13-1199""","Line Item","71.7","0.6","6.1","73.9","0.6","5.9","2.2","3.0","73","3"
"Financial specialists","=""13-2000""","Summary","117.6","0.9","3.5","120.7","0.9","3.4","3.1","2.6","74","2"
"Accountants and auditors","=""13-2011""","Line Item","93.8","0.7","6.0","96.2","0.7","5.8","2.5","2.6","75","3"
"Property appraisers and assessors","=""13-2020""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","2.1","76","3"
"Budget analysts","=""13-2031""","Line Item","2.9","0.0","5.7","3.0","0.0","5.6","0.1","2.6","77","3"
"Credit analysts","=""13-2041""","Line Item","1.2","0.0","1.7","1.1","0.0","1.6","-0.1","-7.9","78","3"
"Financial analysts and advisors","=""13-2050""","Summary","17.1","0.1","2.0","17.7","0.1","1.9","0.5","3.2","79","3"
"Financial and investment analysts","=""13-2051""","Line Item","16.7","0.1","4.8","17.2","0.1","4.5","0.5","3.1","80","4"
"Financial risk specialists","=""13-2054""","Line Item","0.4","0.0","0.7","0.4","0.0","0.7","0.0","7.2","83","4"
"Financial specialists, all other","=""13-2099""","Line Item","2.5","0.0","1.9","2.6","0.0","1.9","0.1","2.9","91","3"
"Computer and mathematical occupations","=""15-0000""","Summary","337.1","2.6","6.2","356.3","2.7","5.8","19.2","5.7","92","1"
"Computer occupations","=""15-1200""","Summary","322.4","2.5","6.4","338.1","2.6","6.0","15.7","4.9","93","2"
"Computer and information analysts","=""15-1210""","Summary","37.3","0.3","5.3","40.3","0.3","4.9","3.0","8.0","94","3"
"Computer systems analysts","=""15-1211""","Line Item","27.8","0.2","5.3","28.5","0.2","4.9","0.8","2.7","95","4"
"Information security analysts","=""15-1212""","Line Item","9.5","0.1","5.3","11.8","0.1","4.9","2.2","23.3","96","4"
"Computer and information research scientists","=""15-1221""","Line Item","1.3","0.0","3.6","1.6","0.0","3.6","0.3","24.3","97","3"
"Computer support specialists","=""15-1230""","Summary","35.3","0.3","4.0","34.3","0.3","3.6","-1.0","-2.9","98","3"
"Computer network support specialists","=""15-1231""","Line Item","6.4","0.0","3.8","6.6","0.1","3.7","0.2","3.4","99","4"
"Computer user support specialists","=""15-1232""","Line Item","28.9","0.2","4.0","27.7","0.2","3.6","-1.3","-4.3","100","4"
"Database and network administrators and architects","=""15-1240""","Summary","34.1","0.3","5.2","33.2","0.3","4.9","-0.9","-2.7","101","3"
"Computer network architects","=""15-1241""","Line Item","7.4","0.1","4.2","7.9","0.1","3.9","0.5","6.9","102","4"
"Database administrators","=""15-1242""","Line Item","3.1","0.0","3.8","3.2","0.0","3.6","0.1","3.0","103","4"
"Database architects","=""15-1243""","Line Item","2.1","0.0","3.5","2.2","0.0","3.3","0.1","3.3","104","4"
"Network and computer systems administrators","=""15-1244""","Line Item","21.5","0.2","6.4","19.9","0.2","6.1","-1.6","-7.5","105","4"
"Software and web developers, programmers, and testers","=""15-1250""","Summary","186.8","1.4","8.3","200.2","1.5","7.7","13.4","7.2","106","3"
"Computer programmers","=""15-1251""","Line Item","8.3","0.1","6.0","7.1","0.1","5.6","-1.3","-15.4","107","4"
"Software developers","=""15-1252""","Line Item","153.8","1.2","9.1","167.7","1.3","8.4","13.9","9.0","108","4"
"Software quality assurance analysts and testers","=""15-1253""","Line Item","16.9","0.1","8.2","17.6","0.1","7.7","0.7","4.2","109","4"
"Web developers","=""15-1254""","Line Item","3.0","0.0","3.2","3.0","0.0","2.9","0.0","-0.2","110","4"
"Web and digital interface designers","=""15-1255""","Line Item","4.7","0.0","3.7","4.8","0.0","3.5","0.1","2.0","111","4"
"Computer occupations, all other","=""15-1299""","Line Item","27.6","0.2","5.9","28.5","0.2","5.5","0.9","3.4","112","3"
"Mathematical science occupations","=""15-2000""","Summary","14.7","0.1","3.7","18.2","0.1","3.6","3.5","23.9","113","2"
"Mathematicians","=""15-2021""","Line Item","0.2","0.0","7.4","0.2","0.0","7.5","0.0","4.6","115","3"
"Operations research analysts","=""15-2031""","Line Item","5.2","0.0","4.2","6.1","0.0","4.0","0.9","18.2","116","3"
"Statisticians","=""15-2041""","Line Item","0.8","0.0","2.5","0.9","0.0","2.5","0.1","9.7","117","3"
"Data scientists","=""15-2051""","Line Item","8.3","0.1","4.1","10.8","0.1","3.9","2.5","29.7","118","3"
"Mathematical science occupations, all other","=""15-2099""","Line Item","0.2","0.0","3.5","0.2","0.0","3.3","0.0","0.5","119","3"
"Architecture and engineering occupations","=""17-0000""","Summary","794.6","6.1","30.1","850.4","6.5","30.2","55.8","7.0","120","1"
"Architects, surveyors, and cartographers","=""17-1000""","Summary","0.5","0.0","0.2","0.5","0.0","0.2","0.0","0.3","121","2"
"Architects, except naval","=""17-1010""","Summary","0.4","0.0","0.3","0.4","0.0","0.3","0.0","0.0","122","3"
"Architects, except landscape and naval","=""17-1011""","Line Item","0.4","0.0","0.3","0.4","0.0","0.3","0.0","0.1","123","4"
"Surveyors, cartographers, and photogrammetrists","=""17-1020""","Summary","0.1","0.0","0.2","0.1","0.0","0.2","0.0","1.7","125","3"
"Cartographers and photogrammetrists","=""17-1021""","Line Item","0.1","0.0","0.5","0.1","0.0","0.5","0.0","-0.5","126","4"
"Engineers","=""17-2000""","Summary","601.0","4.6","34.2","656.2","5.0","34.4","55.2","9.2","128","2"
"Aerospace engineers","=""17-2011""","Line Item","32.6","0.3","47.3","33.5","0.3","45.8","0.9","2.7","129","3"
"Agricultural engineers","=""17-2021""","Line Item","0.1","0.0","6.7","0.1","0.0","6.3","0.0","1.8","130","3"
"Bioengineers and biomedical engineers","=""17-2031""","Line Item","5.9","0.0","29.9","6.3","0.0","29.5","0.4","6.3","131","3"
"Chemical engineers","=""17-2041""","Line Item","11.0","0.1","51.5","12.4","0.1","53.0","1.4","13.0","132","3"
"Civil engineers","=""17-2051""","Line Item","4.1","0.0","1.2","4.3","0.0","1.2","0.1","2.9","133","3"
"Computer hardware engineers","=""17-2061""","Line Item","25.1","0.2","29.9","27.5","0.2","30.5","2.3","9.3","134","3"
"Electrical and electronics engineers","=""17-2070""","Summary","92.4","0.7","32.1","100.2","0.8","31.9","7.8","8.4","135","3"
"Electrical engineers","=""17-2071""","Line Item","62.9","0.5","33.3","68.4","0.5","33.1","5.5","8.7","136","4"
"Electronics engineers, except computer","=""17-2072""","Line Item","29.6","0.2","29.9","31.8","0.2","29.6","2.3","7.7","137","4"
"Environmental engineers","=""17-2081""","Line Item","2.9","0.0","6.9","2.9","0.0","6.6","0.0","1.5","138","3"
"Industrial engineers, including health and safety","=""17-2110""","Summary","234.1","1.8","65.1","260.1","2.0","64.7","26.1","11.1","139","3"
"Health and safety engineers, except mining safety engineers and inspectors","=""17-2111""","Line Item","6.0","0.0","25.8","6.1","0.0","25.2","0.2","2.8","140","4"
"Industrial engineers","=""17-2112""","Line Item","228.1","1.8","67.8","254.0","1.9","67.3","25.9","11.4","141","4"
"Marine engineers and naval architects","=""17-2121""","Line Item","5.3","0.0","52.3","5.9","0.0","53.5","0.6","10.5","142","3"
"Materials engineers","=""17-2131""","Line Item","13.9","0.1","55.8","15.1","0.1","56.2","1.2","8.3","143","3"
"Mechanical engineers","=""17-2141""","Line Item","132.6","1.0","45.4","145.4","1.1","44.9","12.9","9.7","144","3"
"Mining and geological engineers, including mining safety engineers","=""17-2151""","Line Item","0.1","0.0","1.4","0.1","0.0","1.4","0.0","1.6","145","3"
"Nuclear engineers","=""17-2161""","Line Item","0.4","0.0","3.3","0.5","0.0","3.5","0.0","4.7","146","3"
"Petroleum engineers","=""17-2171""","Line Item","2.0","0.0","9.7","2.0","0.0","9.5","0.0","-0.4","147","3"
"Engineers, all other","=""17-2199""","Line Item","38.4","0.3","23.8","39.9","0.3","23.6","1.5","4.0","148","3"
"Drafters, engineering technicians, and mapping technicians","=""17-3000""","Summary","193.1","1.5","29.0","193.7","1.5","28.5","0.6","0.3","149","2"
"Drafters","=""17-3010""","Summary","41.2","0.3","20.2","39.3","0.3","19.3","-1.9","-4.7","150","3"
"Architectural and civil drafters","=""17-3011""","Line Item","7.9","0.1","7.0","8.0","0.1","7.1","0.2","2.0","151","4"
"Electrical and electronics drafters","=""17-3012""","Line Item","4.0","0.0","17.2","4.3","0.0","17.8","0.3","7.6","152","4"
"Mechanical drafters","=""17-3013""","Line Item","22.8","0.2","45.3","21.0","0.2","43.9","-1.8","-7.9","153","4"
"Drafters, all other","=""17-3019""","Line Item","6.5","0.1","35.1","5.9","0.0","33.7","-0.6","-9.5","154","4"
"Engineering technologists and technicians, except drafters","=""17-3020""","Summary","151.7","1.2","37.5","154.3","1.2","37.0","2.6","1.7","155","3"
"Aerospace engineering and operations technologists and technicians","=""17-3021""","Line Item","5.8","0.0","52.8","6.0","0.0","50.7","0.2","3.4","156","4"
"Civil engineering technologists and technicians","=""17-3022""","Line Item","0.3","0.0","0.4","0.3","0.0","0.4","0.0","-0.2","157","4"
"Electrical and electronic engineering technologists and technicians","=""17-3023""","Line Item","42.3","0.3","42.5","42.9","0.3","41.8","0.5","1.3","158","4"
"Electro-mechanical and mechatronics technologists and technicians","=""17-3024""","Line Item","7.3","0.1","46.2","7.1","0.1","45.8","-0.2","-2.2","159","4"
"Environmental engineering technologists and technicians","=""17-3025""","Line Item","0.8","0.0","5.7","0.8","0.0","5.5","0.0","-2.4","160","4"
"Industrial engineering technologists and technicians","=""17-3026""","Line Item","54.5","0.4","73.2","56.3","0.4","72.6","1.8","3.3","161","4"
"Mechanical engineering technologists and technicians","=""17-3027""","Line Item","18.6","0.1","46.7","18.0","0.1","44.2","-0.7","-3.6","162","4"
"Calibration technologists and technicians","=""17-3028""","Line Item","4.8","0.0","34.6","5.0","0.0","34.2","0.2","4.5","163","4"
"Engineering technologists and technicians, except drafters, all other","=""17-3029""","Line Item","17.3","0.1","24.8","17.9","0.1","24.7","0.7","3.8","164","4"
"Surveying and mapping technicians","=""17-3031""","Line Item","0.2","0.0","0.3","0.2","0.0","0.3","0.0","-0.4","165","3"
"Life, physical, and social science occupations","=""19-0000""","Summary","154.1","1.2","9.8","166.5","1.3","9.8","12.4","8.0","166","1"
"Life scientists","=""19-1000""","Summary","31.9","0.2","8.2","34.0","0.3","8.1","2.1","6.6","167","2"
"Agricultural and food scientists","=""19-1010""","Summary","7.9","0.1","21.3","8.8","0.1","21.8","0.8","10.4","168","3"
"Animal scientists","=""19-1011""","Line Item","0.3","0.0","10.4","0.3","0.0","10.8","0.0","12.5","169","4"
"Food scientists and technologists","=""19-1012""","Line Item","7.0","0.1","48.1","7.7","0.1","48.8","0.7","10.6","170","4"
"Soil and plant scientists","=""19-1013""","Line Item","0.7","0.0","3.5","0.8","0.0","3.6","0.1","8.1","171","4"
"Biological scientists","=""19-1020""","Summary","16.3","0.1","11.3","17.2","0.1","11.2","0.9","5.6","172","3"
"Biochemists and biophysicists","=""19-1021""","Line Item","7.0","0.1","19.6","7.4","0.1","18.9","0.4","5.6","173","4"
"Microbiologists","=""19-1022""","Line Item","4.8","0.0","20.8","5.1","0.0","20.6","0.3","5.8","174","4"
"Biological scientists, all other","=""19-1029""","Line Item","4.5","0.0","6.7","4.7","0.0","6.7","0.2","5.5","176","4"
"Conservation scientists and foresters","=""19-1030""","Summary","0.6","0.0","1.4","0.6","0.0","1.3","0.0","-1.8","177","3"
"Foresters","=""19-1032""","Line Item","0.6","0.0","3.8","0.6","0.0","3.6","0.0","-1.9","179","4"
"Medical scientists","=""19-1040""","Summary","6.6","0.1","4.2","7.0","0.1","4.0","0.3","5.1","180","3"
"Epidemiologists","=""19-1041""","Line Item","0.1","0.0","0.7","0.1","0.0","0.6","0.0","5.5","181","4"
"Medical scientists, except epidemiologists","=""19-1042""","Line Item","6.6","0.1","4.5","6.9","0.1","4.2","0.3","5.1","182","4"
"Life scientists, all other","=""19-1099""","Line Item","0.4","0.0","5.5","0.5","0.0","5.5","0.0","5.7","183","3"
"Physical scientists","=""19-2000""","Summary","39.3","0.3","14.0","42.8","0.3","14.3","3.6","9.1","184","2"
"Astronomers and physicists","=""19-2010""","Summary","0.5","0.0","2.1","0.5","0.0","2.1","0.0","6.8","185","3"
"Physicists","=""19-2012""","Line Item","0.5","0.0","2.3","0.5","0.0","2.3","0.0","6.8","187","4"
"Chemists and materials scientists","=""19-2030""","Summary","35.8","0.3","37.1","39.2","0.3","37.7","3.4","9.5","189","3"
"Chemists","=""19-2031""","Line Item","32.2","0.2","37.0","35.3","0.3","37.6","3.1","9.5","190","4"
"Materials scientists","=""19-2032""","Line Item","3.6","0.0","38.7","3.9","0.0","38.9","0.3","9.3","191","4"
"Environmental scientists and geoscientists","=""19-2040""","Summary","1.5","0.0","1.3","1.5","0.0","1.2","0.1","3.5","192","3"
"Environmental scientists and specialists, including health","=""19-2041""","Line Item","1.3","0.0","1.5","1.3","0.0","1.4","0.0","3.9","193","4"
"Geoscientists, except hydrologists and geographers","=""19-2042""","Line Item","0.2","0.0","0.8","0.2","0.0","0.8","0.0","0.9","194","4"
"Physical scientists, all other","=""19-2099""","Line Item","1.5","0.0","4.4","1.6","0.0","4.5","0.1","5.5","196","3"
"Social scientists and related workers","=""19-3000""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","1.4","197","2"
"Economists","=""19-3011""","Line Item","0.1","0.0","0.4","0.1","0.0","0.4","0.0","0.5","198","3"
"Life, physical, and social science technicians","=""19-4000""","Summary","55.8","0.4","13.7","59.1","0.5","13.7","3.3","5.9","213","2"
"Agricultural and food science technicians","=""19-4010""","Summary","11.7","0.1","26.1","12.9","0.1","27.1","1.2","10.7","214","3"
"Agricultural technicians","=""19-4012""","Line Item","1.2","0.0","6.2","1.3","0.0","6.3","0.1","8.1","215","4"
"Food science technicians","=""19-4013""","Line Item","10.4","0.1","41.6","11.6","0.1","43.1","1.1","11.0","216","4"
"Biological technicians","=""19-4021""","Line Item","8.1","0.1","9.8","8.6","0.1","9.7","0.4","5.5","217","3"
"Chemical technicians","=""19-4031""","Line Item","26.7","0.2","45.8","27.9","0.2","45.5","1.3","4.7","218","3"
"Environmental science and geoscience technicians","=""19-4040""","Summary","1.0","0.0","2.1","1.0","0.0","2.0","0.0","1.6","219","3"
"Environmental science and protection technicians, including health","=""19-4042""","Line Item","0.5","0.0","1.4","0.5","0.0","1.4","0.0","4.4","220","4"
"Geological technicians, except hydrologic technicians","=""19-4043""","Line Item","0.5","0.0","5.0","0.5","0.0","4.8","0.0","-1.3","221","4"
"Nuclear technicians","=""19-4051""","Line Item","0.4","0.0","7.6","0.4","0.0","8.6","0.0","5.8","223","3"
"Miscellaneous life, physical, and social science technicians","=""19-4090""","Summary","7.9","0.1","7.8","8.2","0.1","7.5","0.3","4.2","226","3"
"Life, physical, and social science technicians, all other","=""19-4099""","Line Item","7.9","0.1","9.5","8.2","0.1","9.4","0.3","4.2","228","4"
"Occupational health and safety specialists and technicians","=""19-5000""","Summary","27.0","0.2","17.6","30.4","0.2","17.3","3.4","12.6","229","2"
"Occupational health and safety specialists","=""19-5011""","Line Item","21.2","0.2","16.9","24.2","0.2","16.7","3.0","14.1","230","3"
"Occupational health and safety technicians","=""19-5012""","Line Item","5.8","0.0","20.8","6.2","0.0","20.0","0.4","7.0","231","3"
"Community and social service occupations","=""21-0000""","Summary","0.2","0.0","0.0","0.2","0.0","0.0","0.0","5.3","232","1"
"Religious workers","=""21-2000""","Summary","0.2","0.0","0.0","0.2","0.0","0.0","0.0","5.7","251","2"
"Clergy","=""21-2011""","Line Item","0.2","0.0","0.1","0.2","0.0","0.1","0.0","5.7","252","3"
"Legal occupations","=""23-0000""","Summary","7.3","0.1","0.5","7.6","0.1","0.5","0.3","4.5","255","1"
"Lawyers, judges, and related workers","=""23-1000""","Summary","5.8","0.0","0.6","6.1","0.0","0.6","0.3","5.3","256","2"
"Lawyers and judicial law clerks","=""23-1010""","Summary","5.8","0.0","0.7","6.1","0.0","0.7","0.3","5.3","257","3"
"Lawyers","=""23-1011""","Line Item","5.8","0.0","0.7","6.1","0.0","0.7","0.3","5.3","258","4"
"Legal support workers","=""23-2000""","Summary","1.5","0.0","0.3","1.5","0.0","0.3","0.0","1.3","264","2"
"Paralegals and legal assistants","=""23-2011""","Line Item","1.2","0.0","0.3","1.2","0.0","0.3","0.0","0.1","265","3"
"Miscellaneous legal support workers","=""23-2090""","Summary","0.3","0.0","0.3","0.3","0.0","0.3","0.0","5.9","266","3"
"Legal support workers, all other","=""23-2099""","Line Item","0.3","0.0","0.7","0.3","0.0","0.7","0.0","5.9","268","4"
"Educational instruction and library occupations","=""25-0000""","Summary","0.4","0.0","0.0","0.4","0.0","0.0","0.0","4.7","269","1"
"Other teachers and instructors","=""25-3000""","Summary","0.1","0.0","0.0","0.2","0.0","0.0","0.0","10.0","335","2"
"Self-enrichment teachers","=""25-3021""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","14.5","337","3"
"Librarians, curators, and archivists","=""25-4000""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","-0.8","341","2"
"Librarians and media collections specialists","=""25-4022""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","0.3","346","3"
"Other educational instruction and library occupations","=""25-9000""","Summary","0.1","0.0","0.0","0.2","0.0","0.0","0.0","4.2","348","2"
"Instructional coordinators","=""25-9031""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","5.1","350","3"
"Arts, design, entertainment, sports, and media occupations","=""27-0000""","Summary","84.5","0.7","2.7","84.3","0.6","2.6","-0.2","-0.2","355","1"
"Art and design workers","=""27-1000""","Summary","66.7","0.5","7.0","66.5","0.5","6.7","-0.2","-0.3","356","2"
"Artists and related workers","=""27-1010""","Summary","3.8","0.0","1.5","3.7","0.0","1.4","-0.1","-3.2","357","3"
"Art directors","=""27-1011""","Line Item","1.8","0.0","1.4","1.7","0.0","1.3","-0.1","-6.8","358","4"
"Craft artists","=""27-1012""","Line Item","0.5","0.0","3.8","0.5","0.0","3.7","0.0","-0.2","359","4"
"Fine artists, including painters, sculptors, and illustrators","=""27-1013""","Line Item","0.6","0.0","2.1","0.6","0.0","2.0","0.0","-0.4","360","4"
"Special effects artists and animators","=""27-1014""","Line Item","0.8","0.0","1.1","0.8","0.0","1.1","0.0","0.1","361","4"
"Artists and related workers, all other","=""27-1019""","Line Item","0.1","0.0","0.7","0.1","0.0","0.7","0.0","2.7","362","4"
"Designers","=""27-1020""","Summary","62.9","0.5","8.9","62.8","0.5","8.7","-0.1","-0.1","363","3"
"Commercial and industrial designers","=""27-1021""","Line Item","10.1","0.1","29.8","10.1","0.1","28.7","-0.1","-0.9","364","4"
"Fashion designers","=""27-1022""","Line Item","2.1","0.0","9.7","1.7","0.0","7.6","-0.4","-17.9","365","4"
"Graphic designers","=""27-1024""","Line Item","38.0","0.3","14.2","35.9","0.3","13.1","-2.1","-5.5","367","4"
"Interior designers","=""27-1025""","Line Item","0.9","0.0","1.0","0.9","0.0","0.9","0.0","-3.6","368","4"
"Merchandise displayers and window trimmers","=""27-1026""","Line Item","9.9","0.1","5.6","12.5","0.1","6.8","2.6","26.1","369","4"
"Designers, all other","=""27-1029""","Line Item","1.6","0.0","5.2","1.5","0.0","4.9","-0.1","-3.7","371","4"
"Entertainers and performers, sports and related workers","=""27-2000""","Summary","0.5","0.0","0.1","0.5","0.0","0.0","0.0","-3.6","372","2"
"Actors, producers, and directors","=""27-2010""","Summary","0.4","0.0","0.2","0.3","0.0","0.1","0.0","-7.9","373","3"
"Producers and directors","=""27-2012""","Line Item","0.4","0.0","0.2","0.3","0.0","0.2","0.0","-7.9","375","4"
"Media and communication workers","=""27-3000""","Summary","15.0","0.1","1.8","15.1","0.1","1.8","0.1","0.8","389","2"
"News analysts, reporters, and journalists","=""27-3023""","Line Item","0.1","0.0","0.1","0.0","0.0","0.1","0.0","-13.3","391","3"
"Public relations specialists","=""27-3031""","Line Item","6.3","0.0","2.0","6.5","0.0","2.0","0.2","3.3","392","3"
"Writers and editors","=""27-3040""","Summary","7.9","0.1","2.5","7.8","0.1","2.4","-0.1","-0.8","393","3"
"Editors","=""27-3041""","Line Item","0.6","0.0","0.5","0.6","0.0","0.5","0.0","1.1","394","4"
"Technical writers","=""27-3042""","Line Item","6.8","0.1","13.6","6.7","0.1","12.9","-0.1","-1.3","395","4"
"Writers and authors","=""27-3043""","Line Item","0.5","0.0","0.3","0.5","0.0","0.3","0.0","5.1","396","4"
"Miscellaneous media and communication workers","=""27-3090""","Summary","0.8","0.0","0.6","0.8","0.0","0.6","0.0","-1.9","397","3"
"Interpreters and translators","=""27-3091""","Line Item","0.6","0.0","0.7","0.6","0.0","0.7","0.0","-0.1","398","4"
"Media and communication workers, all other","=""27-3099""","Line Item","0.2","0.0","0.7","0.2","0.0","0.6","0.0","-7.4","400","4"
