"Occupation Title","Occupation Code","Occupation Type","2023 Employment","2023 Percent of Industry","2023 Percent of Occupation","Projected 2033 Employment","Projected 2033 Percent of Industry","Projected 2033 Percent of Occupation","Employment Change, 2023-2033","Employment Percent Change, 2023-2033","Occupation Sort","Display Level"
"Financial managers","=""11-3031""","Line Item","34.1","0.2","4.1","38.3","0.3","3.9","4.2","12.3","20","3"
"Industrial production managers","=""11-3051""","Line Item","0.3","0.0","0.1","0.3","0.0","0.1","0.0","1.7","21","3"
"Purchasing managers","=""11-3061""","Line Item","2.3","0.0","2.8","2.4","0.0","2.8","0.1","2.6","22","3"
"Transportation, storage, and distribution managers","=""11-3071""","Line Item","3.5","0.0","1.6","3.5","0.0","1.5","0.0","0.2","23","3"
"Compensation and benefits managers","=""11-3111""","Line Item","1.2","0.0","6.2","1.2","0.0","5.9","0.0","-3.1","24","3"
"Human resources managers","=""11-3121""","Line Item","15.4","0.1","7.4","15.7","0.1","7.1","0.3","1.9","25","3"
"Training and development managers","=""11-3131""","Line Item","4.8","0.0","11.1","4.9","0.0","10.7","0.1","3.1","26","3"
"Other management occupations","=""11-9000""","Summary","623.5","4.3","11.4","632.8","4.4","10.9","9.3","1.5","27","2"
"Farmers, ranchers, and other agricultural managers","=""11-9013""","Line Item","0.4","0.0","0.0","0.4","0.0","0.0","0.0","4.2","28","3"
"Construction managers","=""11-9021""","Line Item","2.0","0.0","0.4","2.1","0.0","0.4","0.2","8.4","29","3"
"Education and childcare administrators","=""11-9030""","Summary","552.5","3.8","82.3","557.6","3.9","82.5","5.1","0.9","30","3"
"Education and childcare administrators, preschool and daycare","=""11-9031""","Line Item","5.9","0.0","7.3","5.9","0.0","7.5","0.0","0.8","31","4"
"Education administrators, kindergarten through secondary","=""11-9032""","Line Item","304.4","2.1","96.2","302.6","2.1","96.1","-1.8","-0.6","32","4"
"Education administrators, postsecondary","=""11-9033""","Line Item","207.7","1.4","96.0","213.8","1.5","96.0","6.2","3.0","33","4"
"Education administrators, all other","=""11-9039""","Line Item","34.5","0.2","59.7","35.2","0.2","59.6","0.7","2.1","34","4"
"Architectural and engineering managers","=""11-9041""","Line Item","0.7","0.0","0.3","0.7","0.0","0.3","0.0","4.2","35","3"
"Food service managers","=""11-9051""","Line Item","7.4","0.1","1.9","7.4","0.1","1.9","0.0","0.5","36","3"
"Entertainment and recreation managers","=""11-9070""","Summary","2.3","0.0","5.5","2.3","0.0","5.2","0.1","3.2","37","3"
"Entertainment and recreation managers, except gambling","=""11-9072""","Line Item","2.2","0.0","6.2","2.3","0.0","5.8","0.1","3.2","39","4"
"Lodging managers","=""11-9081""","Line Item","0.3","0.0","0.6","0.3","0.0","0.6","0.0","3.3","40","3"
"Medical and health services managers","=""11-9111""","Line Item","10.5","0.1","1.9","13.1","0.1","1.8","2.6","24.2","41","3"
"Natural sciences managers","=""11-9121""","Line Item","4.7","0.0","4.7","4.8","0.0","4.5","0.2","3.3","42","3"
"Property, real estate, and community association managers","=""11-9141""","Line Item","0.9","0.0","0.2","1.0","0.0","0.2","0.0","3.8","44","3"
"Social and community service managers","=""11-9151""","Line Item","7.0","0.0","3.5","7.2","0.0","3.3","0.2","2.7","45","3"
"Emergency management directors","=""11-9161""","Line Item","0.7","0.0","5.2","0.7","0.0","5.2","0.0","2.6","46","3"
"Personal service managers","=""11-9170""","Summary","0.4","0.0","0.6","0.4","0.0","0.6","0.0","2.3","47","3"
"Personal service managers, all other","=""11-9179""","Line Item","0.4","0.0","1.3","0.4","0.0","1.2","0.0","2.3","49","4"
"Managers, all other","=""11-9199""","Line Item","33.8","0.2","2.6","34.7","0.2","2.6","0.9","2.8","50","3"
"Business and financial operations occupations","=""13-0000""","Summary","472.9","3.3","4.3","488.1","3.4","4.2","15.2","3.2","51","1"
"Business operations specialists","=""13-1000""","Summary","366.3","2.5","4.8","378.7","2.6","4.6","12.4","3.4","52","2"
"Buyers and purchasing agents","=""13-1020""","Line Item","13.2","0.1","2.5","13.3","0.1","2.4","0.1","0.4","54","3"
"Claims adjusters, appraisers, examiners, and investigators","=""13-1030""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","-7.5","55","3"
"Claims adjusters, examiners, and investigators","=""13-1031""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","-7.5","56","4"
"Compliance officers","=""13-1041""","Line Item","15.4","0.1","3.8","15.8","0.1","3.7","0.4","2.5","58","3"
"Cost estimators","=""13-1051""","Line Item","0.2","0.0","0.1","0.2","0.0","0.1","0.0","-4.4","59","3"
"Human resources workers","=""13-1070""","Summary","51.3","0.4","5.1","52.4","0.4","4.9","1.1","2.1","60","3"
"Human resources specialists","=""13-1071""","Line Item","49.5","0.3","5.3","50.6","0.3","5.0","1.1","2.1","61","4"
"Labor relations specialists","=""13-1075""","Line Item","1.8","0.0","2.8","1.8","0.0","2.8","0.0","1.0","63","4"
"Logisticians and project management specialists","=""13-1080""","Summary","35.4","0.2","2.9","36.8","0.3","2.8","1.4","3.9","64","3"
"Logisticians","=""13-1081""","Line Item","1.3","0.0","0.5","1.5","0.0","0.5","0.2","15.4","65","4"
"Project management specialists","=""13-1082""","Line Item","34.1","0.2","3.5","35.3","0.2","3.4","1.2","3.5","66","4"
"Management analysts","=""13-1111""","Line Item","22.2","0.2","2.2","23.0","0.2","2.0","0.8","3.8","67","3"
"Meeting, convention, and event planners","=""13-1121""","Line Item","14.8","0.1","10.0","15.3","0.1","9.6","0.4","3.0","68","3"
"Fundraisers","=""13-1131""","Line Item","28.8","0.2","22.9","29.5","0.2","22.1","0.7","2.4","69","3"
"Compensation, benefits, and job analysis specialists","=""13-1141""","Line Item","8.1","0.1","7.8","8.2","0.1","7.4","0.1","1.6","70","3"
"Training and development specialists","=""13-1151""","Line Item","46.1","0.3","11.0","49.7","0.3","10.6","3.6","7.8","71","3"
"Market research analysts and marketing specialists","=""13-1161""","Line Item","28.4","0.2","3.1","29.2","0.2","3.0","0.8","2.8","72","3"
"Business operations specialists, all other","=""13-1199""","Line Item","102.3","0.7","8.7","105.3","0.7","8.5","3.0","2.9","73","3"
"Financial specialists","=""13-2000""","Summary","106.6","0.7","3.2","109.4","0.8","3.1","2.8","2.7","74","2"
"Accountants and auditors","=""13-2011""","Line Item","56.5","0.4","3.6","57.8","0.4","3.5","1.3","2.3","75","3"
"Property appraisers and assessors","=""13-2020""","Line Item","0.6","0.0","0.7","0.6","0.0","0.7","0.0","4.9","76","3"
"Budget analysts","=""13-2031""","Line Item","7.8","0.1","15.3","8.0","0.1","15.2","0.2","3.2","77","3"
"Credit analysts","=""13-2041""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","-7.6","78","3"
"Financial analysts and advisors","=""13-2050""","Summary","12.4","0.1","1.5","12.9","0.1","1.4","0.4","3.6","79","3"
"Financial and investment analysts","=""13-2051""","Line Item","11.3","0.1","3.2","11.7","0.1","3.1","0.4","3.7","80","4"
"Personal financial advisors","=""13-2052""","Line Item","0.3","0.0","0.1","0.3","0.0","0.1","0.0","1.8","81","4"
"Financial risk specialists","=""13-2054""","Line Item","0.8","0.0","1.5","0.9","0.0","1.4","0.0","3.1","83","4"
"Financial examiners","=""13-2061""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","3.3","84","3"
"Credit counselors and loan officers","=""13-2070""","Summary","19.8","0.1","5.4","20.3","0.1","5.5","0.5","2.6","85","3"
"Credit counselors","=""13-2071""","Line Item","16.6","0.1","52.4","17.1","0.1","51.2","0.4","2.4","86","4"
"Loan officers","=""13-2072""","Line Item","3.1","0.0","0.9","3.3","0.0","1.0","0.1","3.6","87","4"
"Financial specialists, all other","=""13-2099""","Line Item","9.4","0.1","7.2","9.6","0.1","7.0","0.3","3.0","91","3"
"Computer and mathematical occupations","=""15-0000""","Summary","286.2","2.0","5.3","288.5","2.0","4.7","2.4","0.8","92","1"
"Computer occupations","=""15-1200""","Summary","264.7","1.8","5.3","262.8","1.8","4.7","-2.0","-0.7","93","2"
"Computer and information analysts","=""15-1210""","Summary","30.0","0.2","4.2","32.0","0.2","3.9","2.1","6.9","94","3"
"Computer systems analysts","=""15-1211""","Line Item","24.8","0.2","4.7","25.6","0.2","4.4","0.9","3.5","95","4"
"Information security analysts","=""15-1212""","Line Item","5.2","0.0","2.9","6.4","0.0","2.7","1.2","23.0","96","4"
"Computer and information research scientists","=""15-1221""","Line Item","2.6","0.0","7.0","3.1","0.0","6.7","0.5","20.5","97","3"
"Computer support specialists","=""15-1230""","Summary","103.4","0.7","11.6","100.0","0.7","10.6","-3.4","-3.3","98","3"
"Computer network support specialists","=""15-1231""","Line Item","20.7","0.1","12.4","21.1","0.1","11.8","0.4","1.8","99","4"
"Computer user support specialists","=""15-1232""","Line Item","82.6","0.6","11.4","78.9","0.5","10.3","-3.8","-4.6","100","4"
"Database and network administrators and architects","=""15-1240""","Summary","54.7","0.4","8.4","52.4","0.4","7.7","-2.3","-4.2","101","3"
"Computer network architects","=""15-1241""","Line Item","6.9","0.0","3.9","7.5","0.1","3.7","0.6","8.4","102","4"
"Database administrators","=""15-1242""","Line Item","8.2","0.1","10.2","8.4","0.1","9.6","0.2","2.2","103","4"
"Database architects","=""15-1243""","Line Item","1.4","0.0","2.2","1.4","0.0","2.0","0.0","2.7","104","4"
"Network and computer systems administrators","=""15-1244""","Line Item","38.3","0.3","11.4","35.2","0.2","10.8","-3.1","-8.1","105","4"
"Software and web developers, programmers, and testers","=""15-1250""","Summary","50.6","0.4","2.2","51.2","0.4","2.0","0.6","1.2","106","3"
"Computer programmers","=""15-1251""","Line Item","12.6","0.1","9.1","10.7","0.1","8.5","-1.9","-14.9","107","4"
"Software developers","=""15-1252""","Line Item","24.5","0.2","1.4","26.6","0.2","1.3","2.1","8.6","108","4"
"Software quality assurance analysts and testers","=""15-1253""","Line Item","1.8","0.0","0.9","1.9","0.0","0.8","0.1","2.9","109","4"
"Web developers","=""15-1254""","Line Item","7.3","0.1","7.8","7.5","0.1","7.3","0.2","2.9","110","4"
"Web and digital interface designers","=""15-1255""","Line Item","4.4","0.0","3.4","4.5","0.0","3.3","0.1","2.9","111","4"
"Computer occupations, all other","=""15-1299""","Line Item","23.5","0.2","5.0","24.0","0.2","4.6","0.5","2.3","112","3"
"Mathematical science occupations","=""15-2000""","Summary","21.4","0.1","5.4","25.8","0.2","5.1","4.3","20.2","113","2"
"Actuaries","=""15-2011""","Line Item","0.2","0.0","0.6","0.2","0.0","0.6","0.0","21.4","114","3"
"Mathematicians","=""15-2021""","Line Item","0.5","0.0","18.7","0.5","0.0","18.9","0.0","5.1","115","3"
"Operations research analysts","=""15-2031""","Line Item","7.7","0.1","6.3","9.2","0.1","6.1","1.5","19.5","116","3"
"Statisticians","=""15-2041""","Line Item","4.5","0.0","13.8","4.9","0.0","13.4","0.4","8.5","117","3"
"Data scientists","=""15-2051""","Line Item","8.2","0.1","4.1","10.6","0.1","3.8","2.4","28.7","118","3"
"Mathematical science occupations, all other","=""15-2099""","Line Item","0.4","0.0","7.6","0.4","0.0","7.4","0.0","3.7","119","3"
"Architecture and engineering occupations","=""17-0000""","Summary","21.3","0.1","0.8","22.4","0.2","0.8","1.1","5.2","120","1"
"Architects, surveyors, and cartographers","=""17-1000""","Summary","1.1","0.0","0.5","1.2","0.0","0.5","0.0","4.4","121","2"
"Architects, except naval","=""17-1010""","Summary","1.0","0.0","0.6","1.0","0.0","0.6","0.0","4.4","122","3"
"Architects, except landscape and naval","=""17-1011""","Line Item","0.8","0.0","0.7","0.9","0.0","0.6","0.0","4.4","123","4"
"Landscape architects","=""17-1012""","Line Item","0.1","0.0","0.4","0.1","0.0","0.4","0.0","4.4","124","4"
"Surveyors, cartographers, and photogrammetrists","=""17-1020""","Summary","0.2","0.0","0.2","0.2","0.0","0.2","0.0","3.9","125","3"
"Cartographers and photogrammetrists","=""17-1021""","Line Item","0.1","0.0","1.1","0.2","0.0","1.1","0.0","3.8","126","4"
"Engineers","=""17-2000""","Summary","14.5","0.1","0.8","15.4","0.1","0.8","0.9","6.2","128","2"
"Aerospace engineers","=""17-2011""","Line Item","0.5","0.0","0.8","0.6","0.0","0.8","0.0","4.6","129","3"
"Agricultural engineers","=""17-2021""","Line Item","0.2","0.0","12.9","0.3","0.0","13.2","0.0","10.6","130","3"
"Bioengineers and biomedical engineers","=""17-2031""","Line Item","0.8","0.0","4.3","0.9","0.0","4.1","0.0","4.0","131","3"
"Chemical engineers","=""17-2041""","Line Item","0.4","0.0","1.8","0.4","0.0","1.8","0.0","5.4","132","3"
"Civil engineers","=""17-2051""","Line Item","2.3","0.0","0.7","2.4","0.0","0.7","0.1","4.7","133","3"
"Computer hardware engineers","=""17-2061""","Line Item","1.2","0.0","1.5","1.3","0.0","1.4","0.1","5.2","134","3"
"Electrical and electronics engineers","=""17-2070""","Summary","1.6","0.0","0.6","1.7","0.0","0.5","0.1","6.2","135","3"
"Electrical engineers","=""17-2071""","Line Item","1.2","0.0","0.6","1.3","0.0","0.6","0.1","6.7","136","4"
"Electronics engineers, except computer","=""17-2072""","Line Item","0.4","0.0","0.4","0.4","0.0","0.4","0.0","4.5","137","4"
"Environmental engineers","=""17-2081""","Line Item","0.3","0.0","0.8","0.3","0.0","0.8","0.0","4.9","138","3"
"Industrial engineers, including health and safety","=""17-2110""","Summary","0.7","0.0","0.2","0.8","0.0","0.2","0.1","9.6","139","3"
"Health and safety engineers, except mining safety engineers and inspectors","=""17-2111""","Line Item","0.2","0.0","1.1","0.3","0.0","1.1","0.0","4.0","140","4"
"Industrial engineers","=""17-2112""","Line Item","0.5","0.0","0.1","0.6","0.0","0.1","0.1","12.4","141","4"
"Marine engineers and naval architects","=""17-2121""","Line Item","0.1","0.0","0.6","0.1","0.0","0.6","0.0","4.2","142","3"
"Materials engineers","=""17-2131""","Line Item","0.2","0.0","1.0","0.3","0.0","1.0","0.0","4.9","143","3"
"Mechanical engineers","=""17-2141""","Line Item","1.8","0.0","0.6","2.0","0.0","0.6","0.2","12.9","144","3"
"Nuclear engineers","=""17-2161""","Line Item","0.1","0.0","1.0","0.1","0.0","1.0","0.0","4.6","146","3"
"Engineers, all other","=""17-2199""","Line Item","4.1","0.0","2.5","4.3","0.0","2.5","0.2","4.7","148","3"
"Drafters, engineering technicians, and mapping technicians","=""17-3000""","Summary","5.7","0.0","0.9","5.9","0.0","0.9","0.2","2.7","149","2"
"Drafters","=""17-3010""","Summary","0.6","0.0","0.3","0.6","0.0","0.3","0.0","-0.1","150","3"
"Architectural and civil drafters","=""17-3011""","Line Item","0.3","0.0","0.3","0.4","0.0","0.3","0.0","4.4","151","4"
"Mechanical drafters","=""17-3013""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","-7.9","153","4"
"Drafters, all other","=""17-3019""","Line Item","0.2","0.0","0.9","0.2","0.0","0.9","0.0","-6.6","154","4"
"Engineering technologists and technicians, except drafters","=""17-3020""","Summary","5.0","0.0","1.2","5.1","0.0","1.2","0.1","3.0","155","3"
"Aerospace engineering and operations technologists and technicians","=""17-3021""","Line Item","0.3","0.0","2.7","0.3","0.0","2.5","0.0","2.6","156","4"
"Civil engineering technologists and technicians","=""17-3022""","Line Item","0.6","0.0","1.0","0.6","0.0","1.0","0.0","-0.4","157","4"
"Electrical and electronic engineering technologists and technicians","=""17-3023""","Line Item","1.1","0.0","1.1","1.2","0.0","1.1","0.0","4.2","158","4"
"Electro-mechanical and mechatronics technologists and technicians","=""17-3024""","Line Item","0.3","0.0","1.9","0.3","0.0","1.8","0.0","-5.2","159","4"
"Environmental engineering technologists and technicians","=""17-3025""","Line Item","0.1","0.0","0.7","0.1","0.0","0.7","0.0","0.0","160","4"
"Industrial engineering technologists and technicians","=""17-3026""","Line Item","0.1","0.0","0.2","0.1","0.0","0.2","0.0","4.2","161","4"
"Mechanical engineering technologists and technicians","=""17-3027""","Line Item","0.6","0.0","1.4","0.6","0.0","1.4","0.0","4.6","162","4"
"Calibration technologists and technicians","=""17-3028""","Line Item","0.1","0.0","0.6","0.1","0.0","0.6","0.0","4.6","163","4"
"Engineering technologists and technicians, except drafters, all other","=""17-3029""","Line Item","1.8","0.0","2.6","1.9","0.0","2.6","0.1","4.4","164","4"
"Surveying and mapping technicians","=""17-3031""","Line Item","0.1","0.0","0.2","0.1","0.0","0.2","0.0","3.8","165","3"
"Life, physical, and social science occupations","=""19-0000""","Summary","216.9","1.5","13.8","227.5","1.6","13.5","10.7","4.9","166","1"
"Life scientists","=""19-1000""","Summary","49.1","0.3","12.6","54.4","0.4","12.9","5.3","10.9","167","2"
"Agricultural and food scientists","=""19-1010""","Summary","4.3","0.0","11.5","4.5","0.0","11.3","0.2","5.3","168","3"
"Animal scientists","=""19-1011""","Line Item","0.9","0.0","34.8","0.9","0.0","33.9","0.0","5.2","169","4"
"Food scientists and technologists","=""19-1012""","Line Item","0.6","0.0","3.9","0.6","0.0","3.7","0.0","5.4","170","4"
"Soil and plant scientists","=""19-1013""","Line Item","2.9","0.0","14.2","3.0","0.0","13.9","0.2","5.4","171","4"
"Biological scientists","=""19-1020""","Summary","11.5","0.1","8.0","12.0","0.1","7.8","0.4","3.6","172","3"
"Biochemists and biophysicists","=""19-1021""","Line Item","2.6","0.0","7.2","2.7","0.0","6.9","0.1","4.4","173","4"
"Microbiologists","=""19-1022""","Line Item","1.4","0.0","6.1","1.5","0.0","6.0","0.1","4.8","174","4"
"Zoologists and wildlife biologists","=""19-1023""","Line Item","0.9","0.0","5.0","1.0","0.0","5.0","0.0","3.9","175","4"
"Biological scientists, all other","=""19-1029""","Line Item","6.6","0.0","9.9","6.8","0.0","9.7","0.2","3.0","176","4"
"Conservation scientists and foresters","=""19-1030""","Summary","1.5","0.0","3.6","1.6","0.0","3.6","0.1","5.2","177","3"
"Conservation scientists","=""19-1031""","Line Item","1.1","0.0","4.2","1.1","0.0","4.2","0.1","5.1","178","4"
"Foresters","=""19-1032""","Line Item","0.4","0.0","2.6","0.4","0.0","2.7","0.0","5.3","179","4"
"Medical scientists","=""19-1040""","Summary","30.3","0.2","19.2","34.8","0.2","19.7","4.6","15.1","180","3"
"Epidemiologists","=""19-1041""","Line Item","0.9","0.0","8.5","1.3","0.0","9.6","0.3","34.7","181","4"
"Medical scientists, except epidemiologists","=""19-1042""","Line Item","29.3","0.2","20.0","33.6","0.2","20.5","4.2","14.4","182","4"
"Life scientists, all other","=""19-1099""","Line Item","1.5","0.0","18.5","1.5","0.0","18.1","0.1","3.9","183","3"
"Physical scientists","=""19-2000""","Summary","17.5","0.1","6.2","18.3","0.1","6.1","0.9","4.9","184","2"
"Astronomers and physicists","=""19-2010""","Summary","3.9","0.0","16.7","4.1","0.0","16.3","0.2","4.4","185","3"
"Astronomers","=""19-2011""","Line Item","0.4","0.0","16.9","0.4","0.0","16.5","0.0","5.2","186","4"
"Physicists","=""19-2012""","Line Item","3.5","0.0","16.7","3.7","0.0","16.3","0.2","4.3","187","4"
"Atmospheric and space scientists","=""19-2021""","Line Item","1.5","0.0","15.4","1.6","0.0","15.4","0.1","5.4","188","3"
"Chemists and materials scientists","=""19-2030""","Summary","3.5","0.0","3.7","3.7","0.0","3.5","0.1","4.0","189","3"
"Chemists","=""19-2031""","Line Item","2.6","0.0","3.0","2.7","0.0","2.9","0.1","3.8","190","4"
"Materials scientists","=""19-2032""","Line Item","0.9","0.0","10.2","1.0","0.0","9.8","0.0","4.6","191","4"
"Environmental scientists and geoscientists","=""19-2040""","Summary","4.5","0.0","3.9","4.8","0.0","3.8","0.3","5.8","192","3"
"Environmental scientists and specialists, including health","=""19-2041""","Line Item","2.9","0.0","3.5","3.1","0.0","3.4","0.2","6.1","193","4"
"Geoscientists, except hydrologists and geographers","=""19-2042""","Line Item","1.4","0.0","5.6","1.5","0.0","5.5","0.1","5.1","194","4"
"Hydrologists","=""19-2043""","Line Item","0.1","0.0","2.3","0.2","0.0","2.4","0.0","5.7","195","4"
"Physical scientists, all other","=""19-2099""","Line Item","3.9","0.0","11.5","4.1","0.0","11.8","0.2","5.0","196","3"
"Social scientists and related workers","=""19-3000""","Summary","73.4","0.5","21.5","73.9","0.5","20.4","0.5","0.7","197","2"
"Economists","=""19-3011""","Line Item","0.4","0.0","2.2","0.4","0.0","2.2","0.0","4.7","198","3"
"Survey researchers","=""19-3022""","Line Item","2.1","0.0","21.4","1.9","0.0","19.9","-0.1","-7.0","199","3"
"Psychologists","=""19-3030""","Summary","63.3","0.4","30.5","63.6","0.4","28.7","0.3","0.4","200","3"
"Industrial-organizational psychologists","=""19-3032""","Line Item","0.1","0.0","1.1","0.1","0.0","1.0","0.0","2.7","201","4"
"Clinical and counseling psychologists","=""19-3033""","Line Item","3.9","0.0","5.1","4.1","0.0","4.7","0.2","4.2","202","4"
"School psychologists","=""19-3034""","Line Item","58.0","0.4","88.4","58.0","0.4","87.9","0.0","0.1","203","4"
"Psychologists, all other","=""19-3039""","Line Item","1.3","0.0","2.4","1.4","0.0","2.3","0.1","4.0","204","4"
"Sociologists","=""19-3041""","Line Item","0.8","0.0","22.9","0.8","0.0","22.5","0.0","5.2","205","3"
"Urban and regional planners","=""19-3051""","Line Item","0.1","0.0","0.3","0.1","0.0","0.3","0.0","4.4","206","3"
"Miscellaneous social scientists and related workers","=""19-3090""","Summary","6.8","0.0","11.5","7.1","0.0","11.5","0.3","4.6","207","3"
"Anthropologists and archeologists","=""19-3091""","Line Item","0.5","0.0","6.0","0.5","0.0","5.8","0.0","5.1","208","4"
"Geographers","=""19-3092""","Line Item","0.2","0.0","12.5","0.2","0.0","12.8","0.0","5.1","209","4"
"Historians","=""19-3093""","Line Item","0.1","0.0","2.8","0.1","0.0","2.7","0.0","3.9","210","4"
"Political scientists","=""19-3094""","Line Item","0.3","0.0","5.4","0.4","0.0","5.6","0.0","5.0","211","4"
"Social scientists and related workers, all other","=""19-3099""","Line Item","5.6","0.0","14.4","5.9","0.0","14.5","0.3","4.5","212","4"
"Life, physical, and social science technicians","=""19-4000""","Summary","70.2","0.5","17.2","73.3","0.5","16.9","3.1","4.4","213","2"
"Agricultural and food science technicians","=""19-4010""","Summary","3.4","0.0","7.5","3.5","0.0","7.4","0.2","5.5","214","3"
"Agricultural technicians","=""19-4012""","Line Item","2.8","0.0","14.5","3.0","0.0","14.4","0.2","5.4","215","4"
"Food science technicians","=""19-4013""","Line Item","0.5","0.0","2.1","0.6","0.0","2.1","0.0","5.8","216","4"
"Biological technicians","=""19-4021""","Line Item","20.0","0.1","24.1","20.9","0.1","23.6","0.9","4.3","217","3"
"Chemical technicians","=""19-4031""","Line Item","2.6","0.0","4.5","2.7","0.0","4.4","0.1","4.3","218","3"
"Environmental science and geoscience technicians","=""19-4040""","Summary","1.8","0.0","3.9","1.9","0.0","3.8","0.1","4.6","219","3"
"Environmental science and protection technicians, including health","=""19-4042""","Line Item","1.4","0.0","4.2","1.5","0.0","4.1","0.1","4.5","220","4"
"Geological technicians, except hydrologic technicians","=""19-4043""","Line Item","0.3","0.0","3.0","0.3","0.0","3.0","0.0","5.0","221","4"
"Hydrologic technicians","=""19-4044""","Line Item","0.1","0.0","3.4","0.1","0.0","3.5","0.0","5.2","222","4"
"Social science research assistants","=""19-4061""","Line Item","17.1","0.1","45.6","17.8","0.1","44.7","0.7","4.3","224","3"
"Forest and conservation technicians","=""19-4071""","Line Item","0.5","0.0","1.4","0.5","0.0","1.5","0.0","5.2","225","3"
"Miscellaneous life, physical, and social science technicians","=""19-4090""","Summary","24.8","0.2","24.3","25.9","0.2","23.7","1.1","4.5","226","3"
"Forensic science technicians","=""19-4092""","Line Item","0.8","0.0","4.1","0.8","0.0","3.8","0.0","4.1","227","4"
"Life, physical, and social science technicians, all other","=""19-4099""","Line Item","24.0","0.2","28.8","25.1","0.2","28.4","1.1","4.5","228","4"
"Occupational health and safety specialists and technicians","=""19-5000""","Summary","6.7","0.0","4.4","7.6","0.1","4.3","0.9","13.1","229","2"
"Occupational health and safety specialists","=""19-5011""","Line Item","5.4","0.0","4.3","6.1","0.0","4.2","0.8","14.7","230","3"
"Occupational health and safety technicians","=""19-5012""","Line Item","1.4","0.0","4.9","1.4","0.0","4.7","0.1","6.8","231","3"
"Community and social service occupations","=""21-0000""","Summary","483.3","3.4","15.9","500.2","3.5","15.2","16.9","3.5","232","1"
"Counselors, social workers, and other community and social service specialists","=""21-1000""","Summary","475.4","3.3","18.7","492.2","3.4","17.7","16.8","3.5","233","2"
"Counselors","=""21-1010""","Summary","362.0","2.5","34.8","377.7","2.6","32.4","15.7","4.3","234","3"
"Educational, guidance, and career counselors and advisors","=""21-1012""","Line Item","321.9","2.2","89.2","337.0","2.3","89.4","15.1","4.7","235","4"
"Marriage and family therapists","=""21-1013""","Line Item","0.9","0.0","1.2","0.9","0.0","1.1","0.0","2.1","236","4"
"Rehabilitation counselors","=""21-1015""","Line Item","1.8","0.0","2.1","1.9","0.0","2.1","0.0","1.4","237","4"
"Substance abuse, behavioral disorder, and mental health counselors","=""21-1018""","Line Item","35.0","0.2","7.8","35.5","0.2","6.6","0.5","1.4","238","4"
"Counselors, all other","=""21-1019""","Line Item","2.3","0.0","3.5","2.3","0.0","3.1","0.0","1.6","239","4"
"Social workers","=""21-1020""","Summary","72.9","0.5","9.7","73.1","0.5","9.1","0.2","0.2","240","3"
