Occupation Title;Occupation Code;Occupation Type;2023 Employment;2023 Percent of Industry;2023 Percent of Occupation;Projected 2033 Employment;Projected 2033 Percent of Industry;Projected 2033 Percent of Occupation;Employment Change, 2023-2033;Employment Percent Change, 2023-2033;Occupation Sort;Display Level;source_file;Industry Title;Industry Code;Industry Type;Industry Sort
Natural sciences managers;"=""11-9121""";Line Item;7.9;0.1;7.9;8.3;0.1;7.7;0.4;5.5;42.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Property, real estate, and community association managers;"=""11-9141""";Line Item;0.3;0.0;0.1;0.3;0.0;0.1;0.0;4.3;44.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Emergency management directors;"=""11-9161""";Line Item;0.3;0.0;2.1;0.3;0.0;2.0;0.0;-0.2;46.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Personal service managers;"=""11-9170""";Summary;0.1;0.0;0.2;0.1;0.0;0.2;0.0;6.0;47.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Managers, all other;"=""11-9199""";Line Item;45.0;0.3;3.5;46.7;0.4;3.4;1.7;3.7;50.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Business and financial operations occupations;"=""13-0000""";Summary;655.6;5.1;6.0;686.1;5.3;5.8;30.6;4.7;51.0;1;National_Employment_Matrix_IND_31-330.csv;;;;
Business operations specialists;"=""13-1000""";Summary;537.9;4.2;7.0;565.4;4.3;6.9;27.5;5.1;52.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Buyers and purchasing agents;"=""13-1020""";Line Item;114.7;0.9;21.9;123.6;0.9;22.0;8.8;7.7;54.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Claims adjusters, appraisers, examiners, and investigators;"=""13-1030""";Summary;0.1;0.0;0.0;0.0;0.0;0.0;0.0;-7.3;55.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Claims adjusters, examiners, and investigators;"=""13-1031""";Line Item;0.1;0.0;0.0;0.0;0.0;0.0;0.0;-7.3;56.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Compliance officers;"=""13-1041""";Line Item;20.8;0.2;5.1;21.8;0.2;5.1;1.0;4.9;58.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Cost estimators;"=""13-1051""";Line Item;26.4;0.2;11.6;24.6;0.2;11.2;-1.8;-6.9;59.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Human resources workers;"=""13-1070""";Summary;67.6;0.5;6.8;69.0;0.5;6.4;1.4;2.1;60.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Human resources specialists;"=""13-1071""";Line Item;66.7;0.5;7.1;68.1;0.5;6.8;1.4;2.1;61.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Labor relations specialists;"=""13-1075""";Line Item;0.9;0.0;1.3;0.9;0.0;1.3;0.0;0.6;63.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Logisticians and project management specialists;"=""13-1080""";Summary;129.3;1.0;10.7;139.6;1.1;10.5;10.3;7.9;64.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Logisticians;"=""13-1081""";Line Item;54.4;0.4;23.0;62.7;0.5;22.2;8.3;15.3;65.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Project management specialists;"=""13-1082""";Line Item;74.9;0.6;7.7;76.8;0.6;7.4;2.0;2.6;66.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Management analysts;"=""13-1111""";Line Item;20.1;0.2;2.0;20.7;0.2;1.8;0.6;2.8;67.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Meeting, convention, and event planners;"=""13-1121""";Line Item;2.8;0.0;1.9;3.3;0.0;2.1;0.5;16.3;68.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Fundraisers;"=""13-1131""";Line Item;0.1;0.0;0.1;0.1;0.0;0.1;0.0;7.4;69.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Compensation, benefits, and job analysis specialists;"=""13-1141""";Line Item;3.7;0.0;3.6;3.8;0.0;3.4;0.1;3.1;70.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Training and development specialists;"=""13-1151""";Line Item;29.3;0.2;7.0;31.6;0.2;6.7;2.3;7.8;71.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Market research analysts and marketing specialists;"=""13-1161""";Line Item;51.3;0.4;5.7;53.5;0.4;5.5;2.3;4.4;72.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Business operations specialists, all other;"=""13-1199""";Line Item;71.7;0.6;6.1;73.9;0.6;5.9;2.2;3.0;73.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Financial specialists;"=""13-2000""";Summary;117.6;0.9;3.5;120.7;0.9;3.4;3.1;2.6;74.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Accountants and auditors;"=""13-2011""";Line Item;93.8;0.7;6.0;96.2;0.7;5.8;2.5;2.6;75.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Property appraisers and assessors;"=""13-2020""";Line Item;0.1;0.0;0.1;0.1;0.0;0.1;0.0;2.1;76.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Budget analysts;"=""13-2031""";Line Item;2.9;0.0;5.7;3.0;0.0;5.6;0.1;2.6;77.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Credit analysts;"=""13-2041""";Line Item;1.2;0.0;1.7;1.1;0.0;1.6;-0.1;-7.9;78.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Financial analysts and advisors;"=""13-2050""";Summary;17.1;0.1;2.0;17.7;0.1;1.9;0.5;3.2;79.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Financial and investment analysts;"=""13-2051""";Line Item;16.7;0.1;4.8;17.2;0.1;4.5;0.5;3.1;80.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Financial risk specialists;"=""13-2054""";Line Item;0.4;0.0;0.7;0.4;0.0;0.7;0.0;7.2;83.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Financial specialists, all other;"=""13-2099""";Line Item;2.5;0.0;1.9;2.6;0.0;1.9;0.1;2.9;91.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Computer and mathematical occupations;"=""15-0000""";Summary;337.1;2.6;6.2;356.3;2.7;5.8;19.2;5.7;92.0;1;National_Employment_Matrix_IND_31-330.csv;;;;
Computer occupations;"=""15-1200""";Summary;322.4;2.5;6.4;338.1;2.6;6.0;15.7;4.9;93.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Computer and information analysts;"=""15-1210""";Summary;37.3;0.3;5.3;40.3;0.3;4.9;3.0;8.0;94.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Computer systems analysts;"=""15-1211""";Line Item;27.8;0.2;5.3;28.5;0.2;4.9;0.8;2.7;95.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Information security analysts;"=""15-1212""";Line Item;9.5;0.1;5.3;11.8;0.1;4.9;2.2;23.3;96.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Computer and information research scientists;"=""15-1221""";Line Item;1.3;0.0;3.6;1.6;0.0;3.6;0.3;24.3;97.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Computer support specialists;"=""15-1230""";Summary;35.3;0.3;4.0;34.3;0.3;3.6;-1.0;-2.9;98.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Computer network support specialists;"=""15-1231""";Line Item;6.4;0.0;3.8;6.6;0.1;3.7;0.2;3.4;99.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Computer user support specialists;"=""15-1232""";Line Item;28.9;0.2;4.0;27.7;0.2;3.6;-1.3;-4.3;100.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Database and network administrators and architects;"=""15-1240""";Summary;34.1;0.3;5.2;33.2;0.3;4.9;-0.9;-2.7;101.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Computer network architects;"=""15-1241""";Line Item;7.4;0.1;4.2;7.9;0.1;3.9;0.5;6.9;102.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Database administrators;"=""15-1242""";Line Item;3.1;0.0;3.8;3.2;0.0;3.6;0.1;3.0;103.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Database architects;"=""15-1243""";Line Item;2.1;0.0;3.5;2.2;0.0;3.3;0.1;3.3;104.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Network and computer systems administrators;"=""15-1244""";Line Item;21.5;0.2;6.4;19.9;0.2;6.1;-1.6;-7.5;105.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Software and web developers, programmers, and testers;"=""15-1250""";Summary;186.8;1.4;8.3;200.2;1.5;7.7;13.4;7.2;106.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Computer programmers;"=""15-1251""";Line Item;8.3;0.1;6.0;7.1;0.1;5.6;-1.3;-15.4;107.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Software developers;"=""15-1252""";Line Item;153.8;1.2;9.1;167.7;1.3;8.4;13.9;9.0;108.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Software quality assurance analysts and testers;"=""15-1253""";Line Item;16.9;0.1;8.2;17.6;0.1;7.7;0.7;4.2;109.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Web developers;"=""15-1254""";Line Item;3.0;0.0;3.2;3.0;0.0;2.9;0.0;-0.2;110.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Web and digital interface designers;"=""15-1255""";Line Item;4.7;0.0;3.7;4.8;0.0;3.5;0.1;2.0;111.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Computer occupations, all other;"=""15-1299""";Line Item;27.6;0.2;5.9;28.5;0.2;5.5;0.9;3.4;112.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Mathematical science occupations;"=""15-2000""";Summary;14.7;0.1;3.7;18.2;0.1;3.6;3.5;23.9;113.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Mathematicians;"=""15-2021""";Line Item;0.2;0.0;7.4;0.2;0.0;7.5;0.0;4.6;115.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Operations research analysts;"=""15-2031""";Line Item;5.2;0.0;4.2;6.1;0.0;4.0;0.9;18.2;116.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Statisticians;"=""15-2041""";Line Item;0.8;0.0;2.5;0.9;0.0;2.5;0.1;9.7;117.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Data scientists;"=""15-2051""";Line Item;8.3;0.1;4.1;10.8;0.1;3.9;2.5;29.7;118.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Mathematical science occupations, all other;"=""15-2099""";Line Item;0.2;0.0;3.5;0.2;0.0;3.3;0.0;0.5;119.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Architecture and engineering occupations;"=""17-0000""";Summary;794.6;6.1;30.1;850.4;6.5;30.2;55.8;7.0;120.0;1;National_Employment_Matrix_IND_31-330.csv;;;;
Architects, surveyors, and cartographers;"=""17-1000""";Summary;0.5;0.0;0.2;0.5;0.0;0.2;0.0;0.3;121.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Architects, except naval;"=""17-1010""";Summary;0.4;0.0;0.3;0.4;0.0;0.3;0.0;0.0;122.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Architects, except landscape and naval;"=""17-1011""";Line Item;0.4;0.0;0.3;0.4;0.0;0.3;0.0;0.1;123.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Surveyors, cartographers, and photogrammetrists;"=""17-1020""";Summary;0.1;0.0;0.2;0.1;0.0;0.2;0.0;1.7;125.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Cartographers and photogrammetrists;"=""17-1021""";Line Item;0.1;0.0;0.5;0.1;0.0;0.5;0.0;-0.5;126.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Engineers;"=""17-2000""";Summary;601.0;4.6;34.2;656.2;5.0;34.4;55.2;9.2;128.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Aerospace engineers;"=""17-2011""";Line Item;32.6;0.3;47.3;33.5;0.3;45.8;0.9;2.7;129.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Agricultural engineers;"=""17-2021""";Line Item;0.1;0.0;6.7;0.1;0.0;6.3;0.0;1.8;130.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Bioengineers and biomedical engineers;"=""17-2031""";Line Item;5.9;0.0;29.9;6.3;0.0;29.5;0.4;6.3;131.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Chemical engineers;"=""17-2041""";Line Item;11.0;0.1;51.5;12.4;0.1;53.0;1.4;13.0;132.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Civil engineers;"=""17-2051""";Line Item;4.1;0.0;1.2;4.3;0.0;1.2;0.1;2.9;133.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Computer hardware engineers;"=""17-2061""";Line Item;25.1;0.2;29.9;27.5;0.2;30.5;2.3;9.3;134.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Electrical and electronics engineers;"=""17-2070""";Summary;92.4;0.7;32.1;100.2;0.8;31.9;7.8;8.4;135.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Electrical engineers;"=""17-2071""";Line Item;62.9;0.5;33.3;68.4;0.5;33.1;5.5;8.7;136.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Electronics engineers, except computer;"=""17-2072""";Line Item;29.6;0.2;29.9;31.8;0.2;29.6;2.3;7.7;137.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Environmental engineers;"=""17-2081""";Line Item;2.9;0.0;6.9;2.9;0.0;6.6;0.0;1.5;138.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Industrial engineers, including health and safety;"=""17-2110""";Summary;234.1;1.8;65.1;260.1;2.0;64.7;26.1;11.1;139.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Health and safety engineers, except mining safety engineers and inspectors;"=""17-2111""";Line Item;6.0;0.0;25.8;6.1;0.0;25.2;0.2;2.8;140.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Industrial engineers;"=""17-2112""";Line Item;228.1;1.8;67.8;254.0;1.9;67.3;25.9;11.4;141.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Marine engineers and naval architects;"=""17-2121""";Line Item;5.3;0.0;52.3;5.9;0.0;53.5;0.6;10.5;142.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Materials engineers;"=""17-2131""";Line Item;13.9;0.1;55.8;15.1;0.1;56.2;1.2;8.3;143.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Mechanical engineers;"=""17-2141""";Line Item;132.6;1.0;45.4;145.4;1.1;44.9;12.9;9.7;144.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Mining and geological engineers, including mining safety engineers;"=""17-2151""";Line Item;0.1;0.0;1.4;0.1;0.0;1.4;0.0;1.6;145.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Nuclear engineers;"=""17-2161""";Line Item;0.4;0.0;3.3;0.5;0.0;3.5;0.0;4.7;146.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Petroleum engineers;"=""17-2171""";Line Item;2.0;0.0;9.7;2.0;0.0;9.5;0.0;-0.4;147.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Engineers, all other;"=""17-2199""";Line Item;38.4;0.3;23.8;39.9;0.3;23.6;1.5;4.0;148.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Drafters, engineering technicians, and mapping technicians;"=""17-3000""";Summary;193.1;1.5;29.0;193.7;1.5;28.5;0.6;0.3;149.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Drafters;"=""17-3010""";Summary;41.2;0.3;20.2;39.3;0.3;19.3;-1.9;-4.7;150.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Architectural and civil drafters;"=""17-3011""";Line Item;7.9;0.1;7.0;8.0;0.1;7.1;0.2;2.0;151.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Electrical and electronics drafters;"=""17-3012""";Line Item;4.0;0.0;17.2;4.3;0.0;17.8;0.3;7.6;152.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Mechanical drafters;"=""17-3013""";Line Item;22.8;0.2;45.3;21.0;0.2;43.9;-1.8;-7.9;153.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Drafters, all other;"=""17-3019""";Line Item;6.5;0.1;35.1;5.9;0.0;33.7;-0.6;-9.5;154.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Engineering technologists and technicians, except drafters;"=""17-3020""";Summary;151.7;1.2;37.5;154.3;1.2;37.0;2.6;1.7;155.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Aerospace engineering and operations technologists and technicians;"=""17-3021""";Line Item;5.8;0.0;52.8;6.0;0.0;50.7;0.2;3.4;156.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Civil engineering technologists and technicians;"=""17-3022""";Line Item;0.3;0.0;0.4;0.3;0.0;0.4;0.0;-0.2;157.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Electrical and electronic engineering technologists and technicians;"=""17-3023""";Line Item;42.3;0.3;42.5;42.9;0.3;41.8;0.5;1.3;158.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Electro-mechanical and mechatronics technologists and technicians;"=""17-3024""";Line Item;7.3;0.1;46.2;7.1;0.1;45.8;-0.2;-2.2;159.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Environmental engineering technologists and technicians;"=""17-3025""";Line Item;0.8;0.0;5.7;0.8;0.0;5.5;0.0;-2.4;160.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Industrial engineering technologists and technicians;"=""17-3026""";Line Item;54.5;0.4;73.2;56.3;0.4;72.6;1.8;3.3;161.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Mechanical engineering technologists and technicians;"=""17-3027""";Line Item;18.6;0.1;46.7;18.0;0.1;44.2;-0.7;-3.6;162.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Calibration technologists and technicians;"=""17-3028""";Line Item;4.8;0.0;34.6;5.0;0.0;34.2;0.2;4.5;163.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Engineering technologists and technicians, except drafters, all other;"=""17-3029""";Line Item;17.3;0.1;24.8;17.9;0.1;24.7;0.7;3.8;164.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Surveying and mapping technicians;"=""17-3031""";Line Item;0.2;0.0;0.3;0.2;0.0;0.3;0.0;-0.4;165.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Life, physical, and social science occupations;"=""19-0000""";Summary;154.1;1.2;9.8;166.5;1.3;9.8;12.4;8.0;166.0;1;National_Employment_Matrix_IND_31-330.csv;;;;
Life scientists;"=""19-1000""";Summary;31.9;0.2;8.2;34.0;0.3;8.1;2.1;6.6;167.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Agricultural and food scientists;"=""19-1010""";Summary;7.9;0.1;21.3;8.8;0.1;21.8;0.8;10.4;168.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Animal scientists;"=""19-1011""";Line Item;0.3;0.0;10.4;0.3;0.0;10.8;0.0;12.5;169.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Food scientists and technologists;"=""19-1012""";Line Item;7.0;0.1;48.1;7.7;0.1;48.8;0.7;10.6;170.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Soil and plant scientists;"=""19-1013""";Line Item;0.7;0.0;3.5;0.8;0.0;3.6;0.1;8.1;171.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Biological scientists;"=""19-1020""";Summary;16.3;0.1;11.3;17.2;0.1;11.2;0.9;5.6;172.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Biochemists and biophysicists;"=""19-1021""";Line Item;7.0;0.1;19.6;7.4;0.1;18.9;0.4;5.6;173.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Microbiologists;"=""19-1022""";Line Item;4.8;0.0;20.8;5.1;0.0;20.6;0.3;5.8;174.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Biological scientists, all other;"=""19-1029""";Line Item;4.5;0.0;6.7;4.7;0.0;6.7;0.2;5.5;176.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Conservation scientists and foresters;"=""19-1030""";Summary;0.6;0.0;1.4;0.6;0.0;1.3;0.0;-1.8;177.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Foresters;"=""19-1032""";Line Item;0.6;0.0;3.8;0.6;0.0;3.6;0.0;-1.9;179.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Medical scientists;"=""19-1040""";Summary;6.6;0.1;4.2;7.0;0.1;4.0;0.3;5.1;180.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Epidemiologists;"=""19-1041""";Line Item;0.1;0.0;0.7;0.1;0.0;0.6;0.0;5.5;181.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Medical scientists, except epidemiologists;"=""19-1042""";Line Item;6.6;0.1;4.5;6.9;0.1;4.2;0.3;5.1;182.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Life scientists, all other;"=""19-1099""";Line Item;0.4;0.0;5.5;0.5;0.0;5.5;0.0;5.7;183.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Physical scientists;"=""19-2000""";Summary;39.3;0.3;14.0;42.8;0.3;14.3;3.6;9.1;184.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Astronomers and physicists;"=""19-2010""";Summary;0.5;0.0;2.1;0.5;0.0;2.1;0.0;6.8;185.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Physicists;"=""19-2012""";Line Item;0.5;0.0;2.3;0.5;0.0;2.3;0.0;6.8;187.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Chemists and materials scientists;"=""19-2030""";Summary;35.8;0.3;37.1;39.2;0.3;37.7;3.4;9.5;189.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Chemists;"=""19-2031""";Line Item;32.2;0.2;37.0;35.3;0.3;37.6;3.1;9.5;190.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Materials scientists;"=""19-2032""";Line Item;3.6;0.0;38.7;3.9;0.0;38.9;0.3;9.3;191.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
