show_id,type,title,release_year,rating,duration,duration_int,duration_type,genres,platform
n56,TV Show,Nailed It,2021,TV-PG,6 Seasons,6,season,['Reality'],Netflix
n57,Movie,Naruto Shippuden the Movie: Blood Prison,2011,TV-14,102 min,102,min,['Action/Thriller'],Netflix
n58,Movie,Naruto Shippûden the Movie: Bonds,2008,TV-PG,93 min,93,min,['Action/Thriller'],Netflix
n59,Movie,Naruto Shippûden the Movie: The Will of Fire,2009,TV-PG,96 min,96,min,['Action/Thriller'],Netflix
n60,Movie,Naruto Shippuden: The Movie,2007,TV-PG,95 min,95,min,['Action/Thriller'],Netflix
n61,Movie,Naruto Shippuden: The Movie: The Lost Tower,2010,TV-14,85 min,85,min,['Action/Thriller'],Netflix
n62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,2005,TV-PG,97 min,97,min,['Action/Thriller'],Netflix
n63,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,2006,TV-PG,95 min,95,min,['Action/Thriller'],Netflix
n64,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,2004,TV-PG,83 min,83,min,['Action/Thriller'],Netflix
n65,Movie,Nightbooks,2021,TV-PG,103 min,103,min,['Kids'],Netflix
n66,TV Show,Numberblocks,2021,TV-Y,6 Seasons,6,season,"['""Kids TV""']",Netflix
n67,TV Show,Raja Rasoi Aur Anya Kahaniyan,2014,TV-G,1 Season,1,season,['Documentary'],Netflix
n68,TV Show,Saved by the Bell,1994,TV-PG,9 Seasons,9,season,"['""Kids TV""']",Netflix
n69,Movie,Schumacher,2021,TV-14,113 min,113,min,['Documentary'],Netflix
n70,TV Show,Stories by Rabindranath Tagore,2015,TV-PG,1 Season,1,season,['International'],Netflix
n71,TV Show,Too Hot To Handle: Latino,2021,TV-MA,1 Season,1,season,['International'],Netflix
n72,Movie,A StoryBots Space Adventure,2021,TV-Y,13 min,13,min,['Kids'],Netflix
n73,TV Show,Jack Whitehall: Travels with My Father,2021,TV-MA,5 Seasons,5,season,['International'],Netflix
n74,Movie,King of Boys,2018,TV-MA,182 min,182,min,['Drama'],Netflix
n75,TV Show,The World's Most Amazing Vacation Rentals,2021,TV-PG,2 Seasons,2,season,['Reality'],Netflix
n76,Movie,You vs. Wild: Out Cold,2021,TV-G,106 min,106,min,['Kids'],Netflix
n77,TV Show,Yowamushi Pedal,2013,TV-14,1 Season,1,season,['Sci-Fi/Fantasy'],Netflix
n78,Movie,Little Singham - Black Shadow,2021,TV-Y7,48 min,48,min,['Kids'],Netflix
n79,Movie,Tughlaq Durbar,2020,TV-14,145 min,145,min,['Comedy'],Netflix
n80,Movie,Tughlaq Durbar (Telugu),2021,TV-14,145 min,145,min,['Comedy'],Netflix
n81,Movie,Firedrake the Silver Dragon,2021,TV-Y7,93 min,93,min,['Kids'],Netflix
n82,Movie,Kate,2021,R,106 min,106,min,['Action/Thriller'],Netflix
n83,TV Show,Lucifer,2021,TV-14,6 Seasons,6,season,['Action/Thriller'],Netflix
n84,TV Show,Metal Shop Masters,2021,TV-MA,1 Season,1,season,['Reality'],Netflix
n85,Movie,Omo Ghetto: the Saga,2020,TV-MA,147 min,147,min,['Action/Thriller'],Netflix
n86,TV Show,Pokémon Master Journeys: The Series,2021,TV-Y7,1 Season,1,season,['Sci-Fi/Fantasy'],Netflix
n87,Movie,Prey,2021,TV-MA,87 min,87,min,['International'],Netflix
n88,TV Show,Titipo Titipo,2019,TV-Y,2 Seasons,2,season,"['""Kids TV""']",Netflix
n89,Movie,Blood Brothers: Malcolm X & Muhammad Ali,2021,PG-13,96 min,96,min,['Documentary'],Netflix
n90,TV Show,Mighty Raju,2017,TV-Y7,4 Seasons,4,season,"['""Kids TV""']",Netflix
n91,Movie,Paradise Hills,2019,TV-MA,95 min,95,min,['Sci-Fi/Fantasy'],Netflix
n92,Movie,The Women and the Murderer,2021,TV-14,92 min,92,min,['Documentary'],Netflix
n93,TV Show,Into the Night,2021,TV-MA,2 Seasons,2,season,['International'],Netflix
n94,Movie,JJ+E,2021,TV-MA,91 min,91,min,['Drama'],Netflix
n95,Movie,Show Dogs,2018,PG,90 min,90,min,['Kids'],Netflix
n96,TV Show,The Circle,2021,TV-MA,3 Seasons,3,season,['Reality'],Netflix
n97,Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,2018,TV-MA,97 min,97,min,['Documentary'],Netflix
n98,TV Show,Kid Cosmic,2021,TV-Y7,2 Seasons,2,season,"['""Kids TV""']",Netflix
n99,TV Show,Octonauts: Above & Beyond,2021,TV-Y,1 Season,1,season,['International'],Netflix
n100,TV Show,On the Verge,2021,TV-MA,1 Season,1,season,['Comedy'],Netflix
n101,TV Show,Tobot Galaxy Detectives,2019,TV-Y7,2 Seasons,2,season,"['""Kids TV""']",Netflix
n102,Movie,Untold: Breaking Point,2021,TV-MA,80 min,80,min,['Documentary'],Netflix
n103,TV Show,Countdown: Inspiration4 Mission to Space,2021,TV-14,1 Season,1,season,['Documentary'],Netflix
n104,Movie,Shadow Parties,2020,TV-MA,117 min,117,min,['Drama'],Netflix
n105,TV Show,Tayo the Little Bus,2016,TV-Y,2 Seasons,2,season,"['""Kids TV""']",Netflix
n106,Movie,Angamaly Diaries,2017,TV-14,128 min,128,min,['Action/Thriller'],Netflix
n107,TV Show,Bunk'd,2021,TV-G,5 Seasons,5,season,"['""Kids TV""']",Netflix
n108,Movie,A Champion Heart,2018,G,90 min,90,min,['Kids'],Netflix
n109,TV Show,Dive Club,2021,TV-G,1 Season,1,season,"['""Kids TV""']",Netflix
n110,TV Show,La casa de papel,2021,TV-MA,5 Seasons,5,season,['Action/Thriller'],Netflix
n111,TV Show,Money Heist: From Tokyo to Berlin,2021,TV-MA,1 Season,1,season,['Documentary'],Netflix
n112,TV Show,Sharkdog,2021,TV-Y,1 Season,1,season,"['""Kids TV""']",Netflix
n113,Movie,Worth,2021,PG-13,119 min,119,min,['Drama'],Netflix
n114,Movie,Afterlife of the Party,2021,TV-PG,110 min,110,min,['Comedy'],Netflix
n115,Movie,Anjaam,1994,TV-14,143 min,143,min,['Drama'],Netflix
n116,Movie,Bright Star,2009,PG,119 min,119,min,['Drama'],Netflix
n117,Movie,Dhanak,2015,TV-PG,114 min,114,min,['Comedy'],Netflix
n118,Movie,Final Account,2021,PG-13,94 min,94,min,['Documentary'],Netflix
n119,Movie,Gurgaon,2017,TV-14,106 min,106,min,['Drama'],Netflix
n120,Movie,Here and There,2020,TV-MA,99 min,99,min,['Drama'],Netflix
n121,TV Show,Heroes of Goo Jit Zu,2021,TV-Y7,1 Season,1,season,"['""Kids TV""']",Netflix
n122,TV Show,Hotel Del Luna,2019,TV-14,1 Season,1,season,['International'],Netflix
n123,Movie,In the Cut,2003,R,118 min,118,min,['Action/Thriller'],Netflix
n124,TV Show,Luv Kushh,2012,TV-Y7,1 Season,1,season,"['""Kids TV""']",Netflix
n125,TV Show,Pororo - The Little Penguin,2013,TV-Y7,3 Seasons,3,season,"['""Kids TV""']",Netflix
n126,TV Show,Q-Force,2021,TV-MA,1 Season,1,season,['Action/Thriller'],Netflix
n127,Movie,Shikara,2020,TV-14,115 min,115,min,['Drama'],Netflix
n128,Movie,A Cinderella Story,2004,PG,95 min,95,min,['Kids'],Netflix
n129,Movie,Agatha Christie's Crooked House,2017,PG-13,115 min,115,min,['Drama'],Netflix
n130,Movie,An Unfinished Life,2005,PG-13,108 min,108,min,['Drama'],Netflix
n131,Movie,Barbie Big City Big Dreams,2021,TV-Y,63 min,63,min,['Kids'],Netflix
n132,Movie,Blade Runner: The Final Cut,1982,R,117 min,117,min,['Action/Thriller'],Netflix
n133,TV Show,Brave Animated Series,2021,TV-MA,1 Season,1,season,['International'],Netflix
n134,Movie,Chappie,2015,R,121 min,121,min,['Action/Thriller'],Netflix
n135,Movie,Clear and Present Danger,1994,PG-13,142 min,142,min,['Action/Thriller'],Netflix
n136,Movie,Cliffhanger,1993,R,113 min,113,min,['Action/Thriller'],Netflix
n137,Movie,Cold Mountain,2003,R,154 min,154,min,['Drama'],Netflix
n138,Movie,Crocodile Dundee in Los Angeles,2001,PG,95 min,95,min,['Action/Thriller'],Netflix
n139,Movie,Dear John,2010,PG-13,108 min,108,min,['Drama'],Netflix
n140,Movie,Do the Right Thing,1989,R,120 min,120,min,['Drama'],Netflix
n141,Movie,"El patrón, radiografía de un crimen",2014,TV-MA,100 min,100,min,['Drama'],Netflix
n142,Movie,Extraction,2015,R,82 min,82,min,['Action/Thriller'],Netflix
n143,Movie,Freedom Writers,2007,PG-13,124 min,124,min,['Drama'],Netflix
n144,Movie,Green Lantern,2011,PG-13,114 min,114,min,['Action/Thriller'],Netflix
n145,Movie,House Party,1990,R,104 min,104,min,['Comedy'],Netflix
n146,Movie,House Party 2,1991,R,94 min,94,min,['Comedy'],Netflix
n147,Movie,House Party 3,1994,R,94 min,94,min,['Comedy'],Netflix
n148,TV Show,How to Be a Cowboy,2021,TV-PG,1 Season,1,season,['Reality'],Netflix
n149,TV Show,HQ Barbers,2020,TV-14,1 Season,1,season,['TV Shows'],Netflix
n150,Movie,I Got the Hook Up,1998,R,93 min,93,min,['Action/Thriller'],Netflix
n151,Movie,In Too Deep,1999,R,97 min,97,min,['Action/Thriller'],Netflix
n152,Movie,Initial D,2005,TV-14,109 min,109,min,['Action/Thriller'],Netflix
n153,Movie,Janoskians: Untold and Untrue,2016,TV-MA,88 min,88,min,['Comedy'],Netflix
n154,TV Show,Kid-E-Cats,2016,TV-Y,2 Seasons,2,season,"['""Kids TV""']",Netflix
n155,TV Show,Kuroko's Basketball,2015,TV-MA,3 Seasons,3,season,['Sci-Fi/Fantasy'],Netflix
n156,Movie,Labyrinth,1986,PG,101 min,101,min,['Action/Thriller'],Netflix
n157,Movie,Letters to Juliet,2010,PG,105 min,105,min,['Comedy'],Netflix
n158,Movie,Level 16,2018,TV-14,102 min,102,min,['Sci-Fi/Fantasy'],Netflix
n159,Movie,Love Don't Cost a Thing,2003,PG-13,101 min,101,min,['Comedy'],Netflix
n160,Movie,Love in a Puff,2010,TV-MA,103 min,103,min,['Comedy'],Netflix
n161,TV Show,Major Dad,1992,TV-PG,4 Seasons,4,season,['Comedy'],Netflix
n162,Movie,Mars Attacks!,1996,PG-13,106 min,106,min,['Comedy'],Netflix
n163,Movie,Marshall,2017,PG-13,118 min,118,min,['Drama'],Netflix
n164,Movie,My Boss's Daughter,2003,R,86 min,86,min,['Comedy'],Netflix
n165,Movie,Mystery Men,1999,PG-13,121 min,121,min,['Action/Thriller'],Netflix
n166,TV Show,Oldsters,2019,TV-MA,1 Season,1,season,['Action/Thriller'],Netflix
n167,Movie,Once Upon a Time in America,1984,R,229 min,229,min,['Drama'],Netflix
n168,Movie,Open Season 2,2008,PG,76 min,76,min,['Kids'],Netflix
n169,Movie,Osmosis Jones,2001,PG,95 min,95,min,['Action/Thriller'],Netflix
n170,Movie,Poseidon,2006,PG-13,98 min,98,min,['Action/Thriller'],Netflix
n171,Movie,Rhyme & Reason,1997,R,89 min,89,min,['Documentary'],Netflix
n172,Movie,Same Kind of Different as Me,2017,PG-13,120 min,120,min,['Drama'],Netflix
n173,Movie,School of Rock,2003,PG-13,110 min,110,min,['Comedy'],Netflix
n174,Movie,Snervous Tyler Oakley,2015,PG-13,83 min,83,min,['Documentary'],Netflix
n175,Movie,Tears of the Sun,2003,R,121 min,121,min,['Action/Thriller'],Netflix
n176,Movie,The Blue Lagoon,1980,R,105 min,105,min,['Drama'],Netflix
n177,Movie,The Golden Child,1986,PG-13,94 min,94,min,['Action/Thriller'],Netflix
n178,Movie,The Guns of Navarone,1961,TV-14,156 min,156,min,['Action/Thriller'],Netflix
n179,Movie,The Interview,2014,R,112 min,112,min,['Action/Thriller'],Netflix
n180,Movie,The Nutty Professor,1996,PG-13,95 min,95,min,['Comedy'],Netflix
n181,Movie,The Nutty Professor II: The Klumps,2000,PG-13,107 min,107,min,['Comedy'],Netflix
n182,TV Show,Turning Point: 9/11 and the War on Terror,2021,TV-14,1 Season,1,season,['Documentary'],Netflix
n183,Movie,Welcome Home Roscoe Jenkins,2008,PG-13,114 min,114,min,['Comedy'],Netflix
n184,Movie,In the Line of Fire,1993,R,129 min,129,min,['Action/Thriller'],Netflix
n185,TV Show,Sparking Joy,2021,TV-PG,1 Season,1,season,['Reality'],Netflix
n186,Movie,Untold: Crime & Penalties,2021,TV-MA,86 min,86,min,['Documentary'],Netflix
n187,TV Show,Hometown Cha-Cha-Cha,2021,TV-14,1 Season,1,season,['International'],Netflix
n188,TV Show,The Ingenuity of the Househusband,2021,TV-G,1 Season,1,season,['International'],Netflix
n189,Movie,2 Alone in Paris,2008,TV-MA,97 min,97,min,['Comedy'],Netflix
n190,TV Show,Bread Barbershop,2020,TV-Y,2 Seasons,2,season,"['""Kids TV""']",Netflix
n191,Movie,Thimmarusu,2021,TV-14,125 min,125,min,['Drama'],Netflix
n192,Movie,Wind River,2017,R,107 min,107,min,['Drama'],Netflix
n193,Movie,C Kkompany,2008,TV-14,127 min,127,min,['Action/Thriller'],Netflix
n194,TV Show,D.P.,2021,TV-MA,1 Season,1,season,['International'],Netflix
n195,TV Show,Deadly Sins,2002,TV-MA,1 Season,1,season,['International'],Netflix
n196,Movie,EMI: Liya Hai To Chukana Padega,2008,TV-14,128 min,128,min,['Comedy'],Netflix
n197,Movie,He's All That,2021,TV-14,92 min,92,min,['Comedy'],Netflix
n198,TV Show,I Heart Arlo,2021,TV-Y7,1 Season,1,season,"['""Kids TV""']",Netflix
n199,TV Show,King of Boys: The Return of the King,2021,TV-MA,1 Season,1,season,['Action/Thriller'],Netflix
n200,Movie,Koi Aap Sa,2006,TV-14,135 min,135,min,['Comedy'],Netflix
n201,Movie,Krishna Cottage,2004,TV-14,124 min,124,min,['Action/Thriller'],Netflix
n202,Movie,Kucch To Hai,2003,TV-14,136 min,136,min,['Drama'],Netflix
n203,Movie,Kyaa Kool Hai Hum,2005,TV-MA,165 min,165,min,['Comedy'],Netflix
n204,Movie,Kyaa Kool Hain Hum 3,2016,TV-MA,124 min,124,min,['Comedy'],Netflix
n205,Movie,Kyaa Super Kool Hain Hum,2012,TV-MA,136 min,136,min,['Comedy'],Netflix
n206,Movie,Kyo Kii... Main Jhuth Nahin Bolta,2001,TV-14,150 min,150,min,['Comedy'],Netflix
n207,Movie,"LSD: Love, Sex Aur Dhokha",2010,TV-MA,112 min,112,min,['Drama'],Netflix
n208,Movie,Mission Istaanbul: Darr Ke Aagey Jeet Hai,2008,TV-14,119 min,119,min,['Action/Thriller'],Netflix
n209,Movie,Once Upon a Time in Mumbaai,2010,TV-14,133 min,133,min,['Drama'],Netflix
n210,Movie,Once Upon a Time in Mumbai Dobaara!,2013,TV-14,142 min,142,min,['Drama'],Netflix
n211,Movie,Ragini MMS,2011,TV-MA,93 min,93,min,['Horror'],Netflix
n212,Movie,Ragini MMS 2,2014,TV-MA,113 min,113,min,['Horror'],Netflix
n213,TV Show,Rebellion,2016,TV-MA,2 Seasons,2,season,['International'],Netflix
n214,TV Show,RIDE ON TIME,2021,TV-PG,3 Seasons,3,season,['Documentary'],Netflix
n215,Movie,SAS: Rise of the Black Swan,2021,R,124 min,124,min,['Action/Thriller'],Netflix
n216,Movie,Shootout at Lokhandwala,2007,TV-MA,116 min,116,min,['Action/Thriller'],Netflix
n217,Movie,Shor In the City,2011,TV-14,106 min,106,min,['Comedy'],Netflix
n218,Movie,The Dirty Picture,2011,TV-14,145 min,145,min,['Comedy'],Netflix
n219,TV Show,Titletown High,2021,TV-14,1 Season,1,season,['Reality'],Netflix
n220,TV Show,EDENS ZERO,2021,TV-14,1 Season,1,season,['Sci-Fi/Fantasy'],Netflix
n221,TV Show,Family Reunion,2021,TV-PG,4 Seasons,4,season,"['""Kids TV""']",Netflix
n222,Movie,"Bob Ross: Happy Accidents, Betrayal & Greed",2021,TV-14,93 min,93,min,['Documentary'],Netflix
n223,TV Show,Clickbait,2021,TV-MA,1 Season,1,season,['Action/Thriller'],Netflix
n224,TV Show,John of God: The Crimes of a Spiritual Healer,2021,TV-MA,1 Season,1,season,['Action/Thriller'],Netflix
n225,TV Show,Motel Makeover,2021,TV-14,1 Season,1,season,['International'],Netflix
n226,TV Show,Open Your Eyes,2021,TV-MA,1 Season,1,season,['International'],Netflix
n227,TV Show,Post Mortem: No One Dies in Skarnes,2021,TV-MA,1 Season,1,season,['International'],Netflix
n228,Movie,Really Love,2020,TV-MA,95 min,95,min,['Drama'],Netflix
n229,Movie,The November Man,2014,R,108 min,108,min,['Action/Thriller'],Netflix
n230,Movie,The Old Ways,2020,TV-MA,90 min,90,min,['Horror'],Netflix
n231,Movie,The River Runner,2021,TV-MA,86 min,86,min,['Documentary'],Netflix
n232,Movie,The Water Man,2021,PG,92 min,92,min,['Kids'],Netflix
n233,TV Show,Wheel of Fortune,2019,TV-G,3 Seasons,3,season,['Reality'],Netflix
n234,Movie,Count Me In,2021,TV-MA,82 min,82,min,['Documentary'],Netflix
n235,TV Show,Oggy Oggy,2021,TV-Y,1 Season,1,season,"['""Kids TV""']",Netflix
n236,Movie,Untold: Caitlyn Jenner,2021,TV-PG,70 min,70,min,['Documentary'],Netflix
n237,Movie,Boomika,2021,TV-14,122 min,122,min,['Horror'],Netflix
n238,Movie,Boomika (Hindi),2021,TV-14,122 min,122,min,['Horror'],Netflix
n239,Movie,Boomika (Malayalam),2021,TV-14,122 min,122,min,['Horror'],Netflix
n240,Movie,Boomika (Telugu),2021,TV-14,122 min,122,min,['Horror'],Netflix
n241,Movie,The Witcher: Nightmare of the Wolf,2021,TV-MA,84 min,84,min,['Action/Thriller'],Netflix
n242,TV Show,Manifest,2021,TV-14,3 Seasons,3,season,['Drama'],Netflix
n243,TV Show,Comedy Premium League,2021,TV-MA,1 Season,1,season,['International'],Netflix
n244,TV Show,Everything Will Be Fine,2021,TV-MA,1 Season,1,season,['International'],Netflix
n245,Movie,Gunshot,2018,TV-14,96 min,96,min,['Drama'],Netflix
n246,TV Show,Korean Cold Noodle Rhapsody,2021,TV-PG,1 Season,1,season,['Documentary'],Netflix
n247,Movie,Man in Love,2021,TV-MA,115 min,115,min,['Drama'],Netflix
n248,Movie,Sweet Girl,2021,R,110 min,110,min,['Action/Thriller'],Netflix
n249,TV Show,The Chair,2021,TV-MA,1 Season,1,season,['Comedy'],Netflix
n250,Movie,The Loud House Movie,2021,TV-Y7,88 min,88,min,['Kids'],Netflix
n251,Movie,A Faraway Land,2020,TV-PG,102 min,102,min,['Drama'],Netflix
n252,Movie,Like Crazy,2011,PG-13,91 min,91,min,['Drama'],Netflix
n253,Movie,Black Island,2021,TV-MA,105 min,105,min,['International'],Netflix
n254,Movie,Bombay,1995,TV-14,135 min,135,min,['Drama'],Netflix
n255,TV Show,Go! Go! Cory Carson,2021,TV-Y,5 Seasons,5,season,"['""Kids TV""']",Netflix
n256,Movie,Memories of a Murderer: The Nilsen Tapes,2021,TV-MA,86 min,86,min,['Documentary'],Netflix
n257,Movie,Nneka The Pretty Serpent,2020,TV-14,140 min,140,min,['Drama'],Netflix
n258,Movie,O Kadhal Kanmani,2015,TV-14,133 min,133,min,['Drama'],Netflix
n259,Movie,Out of my league,2020,TV-MA,92 min,92,min,['Comedy'],Netflix
n260,Movie,Pahuna,2018,TV-PG,82 min,82,min,['Comedy'],Netflix
n261,TV Show,The Defeated,2020,TV-MA,1 Season,1,season,['Action/Thriller'],Netflix
n262,Movie,The Secret Diary of an Exchange Student,2021,TV-14,97 min,97,min,['Comedy'],Netflix
n263,Movie,Untold: Deal With the Devil,2021,TV-MA,78 min,78,min,['Documentary'],Netflix
n264,TV Show,Mother Goose Club,2016,TV-Y,2 Seasons,2,season,"['""Kids TV""']",Netflix
n265,Movie,Walk of Shame,2014,R,94 min,94,min,['Comedy'],Netflix
n266,TV Show,Rascal Does Not Dream of Bunny Girl Senpai,2018,TV-14,1 Season,1,season,['Sci-Fi/Fantasy'],Netflix
n267,TV Show,The Creative Indians,2020,TV-MA,1 Season,1,season,['Documentary'],Netflix
n268,Movie,The Piano,1993,R,121 min,121,min,['Drama'],Netflix
n269,Movie,Unroyal,2020,TV-MA,97 min,97,min,['Drama'],Netflix
n270,TV Show,Winx Club,2015,TV-Y7,2 Seasons,2,season,"['""Kids TV""']",Netflix
n271,Movie,Beckett,2021,TV-MA,110 min,110,min,['Action/Thriller'],Netflix
n272,TV Show,Brand New Cherry Flavor,2021,TV-MA,1 Season,1,season,['Drama'],Netflix
n273,TV Show,Fast & Furious Spy Racers,2021,TV-Y7,5 Seasons,5,season,"['""Kids TV""']",Netflix
n274,TV Show,Gone for Good,2021,TV-MA,1 Season,1,season,['Action/Thriller'],Netflix
n275,TV Show,Grace and Frankie,2021,TV-MA,7 Seasons,7,season,['Comedy'],Netflix
n276,TV Show,The Kingdom,2021,TV-MA,1 Season,1,season,['Action/Thriller'],Netflix
n277,TV Show,Valeria,2021,TV-MA,2 Seasons,2,season,['International'],Netflix
n278,TV Show,AlRawabi School for Girls,2021,TV-14,1 Season,1,season,['International'],Netflix
n279,Movie,Lokillo: Nothing's the Same,2021,TV-MA,64 min,64,min,['Comedy'],Netflix
n280,Movie,Monster Hunter: Legends of the Guild,2021,TV-PG,59 min,59,min,['Action/Thriller'],Netflix
n281,TV Show,Bake Squad,2021,TV-PG,1 Season,1,season,['Reality'],Netflix
n282,Movie,Brother Jekwu,2016,TV-14,101 min,101,min,['Comedy'],Netflix
n283,Movie,La diosa del asfalto,2020,TV-MA,127 min,127,min,['Drama'],Netflix
n284,Movie,Misha and the Wolves,2021,PG-13,90 min,90,min,['Documentary'],Netflix
n285,Movie,The Kissing Booth 3,2021,TV-14,114 min,114,min,['Comedy'],Netflix
n286,Movie,The Railway Man,2013,R,108 min,108,min,['Drama'],Netflix
n287,TV Show,Gabby's Dollhouse,2021,TV-Y,2 Seasons,2,season,"['""Kids TV""']",Netflix
n288,TV Show,I Need Romance,2021,TV-14,1 Season,1,season,['International'],Netflix
n289,TV Show,Las muñecas de la mafia,2018,TV-MA,1 Season,1,season,['Action/Thriller'],Netflix
n290,TV Show,The Crowned Clown,2019,TV-14,1 Season,1,season,['International'],Netflix
n291,Movie,Untold: Malice at the Palace,2021,TV-MA,70 min,70,min,['Documentary'],Netflix
n292,TV Show,SHAMAN KING,2021,TV-14,1 Season,1,season,['Sci-Fi/Fantasy'],Netflix
