job_title,salary_usd,salary_currency,experience_level,employment_type,company_name,remote_ratio,education_required,years_experience,posting_date,application_deadline,job_description_length,benefits_score,employee_residence
ML Ops Engineer,59728,USD,MI,FL,DataVision Ltd,50,Associate,2,2024-06-10,2024-08-13,1350,7.5,Israel
Computer Vision Engineer,119432,USD,SE,CT,Autonomous Tech,0,PhD,6,2024-04-20,2024-06-08,1008,6.3,India
AI Research Scientist,284486,USD,EX,CT,TechCorp Inc,0,Master,12,2025-02-13,2025-03-10,2231,7.0,United States
Data Analyst,157597,EUR,EX,CT,Neural Networks Co,50,Bachelor,17,2024-08-31,2024-09-15,639,8.4,France
ML Ops Engineer,196942,USD,EX,CT,TechCorp Inc,100,Master,19,2024-04-01,2024-04-16,826,7.5,Australia
Machine Learning Researcher,207548,USD,EX,CT,Cognitive Computing,0,PhD,10,2024-02-05,2024-03-11,2292,6.7,Canada
NLP Engineer,68838,USD,MI,FL,TechCorp Inc,50,PhD,3,2024-06-20,2024-08-12,804,7.4,Sweden
ML Ops Engineer,125666,USD,EX,FL,TechCorp Inc,100,PhD,13,2024-06-19,2024-08-22,757,8.4,Finland
NLP Engineer,73174,USD,EN,FT,Machine Intelligence Group,50,Associate,0,2024-07-14,2024-09-08,678,6.4,Denmark
Autonomous Systems Engineer,33314,USD,EN,CT,Future Systems,50,Bachelor,0,2025-04-16,2025-06-15,1207,8.3,India
AI Specialist,69914,USD,EN,FT,Smart Analytics,100,Associate,0,2025-02-15,2025-04-15,1517,7.0,United States
Principal Data Scientist,152118,EUR,EX,FL,AI Innovations,50,Master,11,2024-05-20,2024-07-14,1294,6.9,France
AI Software Engineer,78014,EUR,EN,CT,Digital Transformation LLC,50,PhD,0,2024-11-19,2024-12-07,841,6.8,France
Research Scientist,48466,USD,EN,PT,Predictive Systems,100,Bachelor,0,2025-03-10,2025-05-14,1146,5.7,Canada
Data Analyst,97997,EUR,SE,CT,Algorithmic Solutions,50,PhD,8,2024-06-19,2024-07-16,2419,6.0,France
Principal Data Scientist,128341,USD,SE,FL,Neural Networks Co,0,Bachelor,9,2025-04-26,2025-06-15,2457,6.9,Singapore
AI Research Scientist,111528,USD,MI,FL,Predictive Systems,0,PhD,3,2024-03-01,2024-05-08,1299,9.5,United States
Machine Learning Researcher,138945,USD,EX,PT,DeepTech Ventures,50,Master,19,2024-07-10,2024-09-15,1559,8.9,Canada
NLP Engineer,98688,USD,SE,FT,Cognitive Computing,50,Bachelor,8,2024-04-10,2024-05-03,598,8.6,Israel
Data Analyst,109029,EUR,SE,FT,Predictive Systems,0,Bachelor,6,2025-04-05,2025-06-13,2049,6.1,France
NLP Engineer,84797,USD,MI,FT,Machine Intelligence Group,0,Master,4,2024-12-04,2025-01-03,1909,6.2,Canada
Machine Learning Researcher,290199,USD,EX,CT,Smart Analytics,50,Master,12,2025-01-12,2025-03-07,1137,5.6,Denmark
AI Research Scientist,195691,USD,SE,CT,Advanced Robotics,0,PhD,8,2024-04-20,2024-06-22,916,8.7,United States
AI Product Manager,193448,USD,SE,FT,Cognitive Computing,100,Associate,9,2025-01-02,2025-03-11,579,6.6,Norway
AI Product Manager,138466,USD,EX,PT,Smart Analytics,100,Associate,16,2024-01-25,2024-04-04,1690,9.5,Israel
Data Analyst,91577,EUR,MI,CT,Algorithmic Solutions,100,Bachelor,3,2024-01-27,2024-02-28,859,6.5,Netherlands
Computer Vision Engineer,92875,USD,MI,FT,Digital Transformation LLC,0,PhD,3,2024-07-21,2024-09-27,701,5.3,Sweden
Data Engineer,213287,GBP,EX,FT,Cloud AI Solutions,100,Master,13,2025-03-03,2025-04-03,1102,6.3,United Kingdom
NLP Engineer,62171,USD,MI,FT,AI Innovations,0,Bachelor,2,2024-09-15,2024-11-07,2162,8.1,Japan
AI Research Scientist,152658,USD,EX,FL,TechCorp Inc,50,Associate,16,2024-01-28,2024-03-17,548,9.0,United Kingdom
ML Ops Engineer,95085,USD,MI,FT,Predictive Systems,100,Associate,2,2024-03-20,2024-04-20,2298,6.5,Norway
Deep Learning Engineer,86750,EUR,MI,FL,AI Innovations,100,PhD,2,2024-12-13,2025-02-24,1397,7.1,France
AI Specialist,64261,USD,MI,PT,TechCorp Inc,0,Master,2,2024-09-04,2024-10-10,2385,8.8,Israel
Machine Learning Researcher,205357,USD,EX,PT,Predictive Systems,100,Bachelor,18,2024-03-08,2024-05-13,1646,6.6,United States
AI Architect,165676,EUR,EX,CT,Neural Networks Co,50,Associate,18,2024-05-13,2024-06-25,926,7.8,France
Computer Vision Engineer,114658,EUR,SE,CT,Algorithmic Solutions,100,Bachelor,9,2024-03-18,2024-04-20,1560,8.2,France
Data Scientist,143149,EUR,SE,FL,Digital Transformation LLC,50,Master,6,2024-03-13,2024-05-10,1169,9.1,France
Machine Learning Researcher,116276,EUR,SE,FL,Future Systems,50,Bachelor,7,2024-08-14,2024-09-06,608,7.9,Germany
NLP Engineer,61055,USD,EN,FL,Autonomous Tech,100,Bachelor,0,2024-06-04,2024-07-16,1891,6.9,Ireland
ML Ops Engineer,50303,USD,EN,FT,DataVision Ltd,100,Master,0,2024-08-11,2024-10-02,2015,7.0,Austria
Data Analyst,65570,USD,SE,FL,Smart Analytics,50,Associate,7,2024-10-22,2024-11-06,635,9.9,Ireland
AI Software Engineer,231078,USD,EX,FL,Neural Networks Co,50,Bachelor,17,2024-04-15,2024-06-03,784,7.6,Singapore
AI Product Manager,106633,USD,SE,FT,Algorithmic Solutions,100,Bachelor,9,2024-05-18,2024-06-25,1243,5.5,South Korea
AI Specialist,121180,USD,SE,FL,Quantum Computing Inc,0,Master,9,2025-01-06,2025-02-01,611,7.0,Austria
Principal Data Scientist,64531,USD,EN,PT,Smart Analytics,50,PhD,0,2025-03-26,2025-04-13,1645,7.0,Netherlands
Machine Learning Engineer,125654,USD,MI,CT,DataVision Ltd,50,PhD,4,2024-06-20,2024-08-25,1212,6.8,Singapore
Machine Learning Researcher,182275,USD,EX,FT,DeepTech Ventures,0,PhD,14,2025-04-19,2025-05-14,2427,9.0,Austria
Machine Learning Researcher,117708,USD,MI,FL,Neural Networks Co,0,PhD,4,2024-02-24,2024-03-17,1912,9.3,Denmark
Data Engineer,143246,USD,EX,FT,Future Systems,0,Master,11,2024-12-25,2025-01-24,1426,8.4,South Korea
AI Product Manager,203198,USD,SE,FT,DeepTech Ventures,50,Master,5,2024-12-04,2025-01-11,1596,7.6,Denmark
Research Scientist,69487,USD,EN,CT,Machine Intelligence Group,0,Master,0,2024-11-04,2024-12-02,1825,7.7,Switzerland
AI Product Manager,95673,USD,EX,FL,Neural Networks Co,0,Associate,17,2024-08-24,2024-09-15,1467,8.1,Ireland
AI Software Engineer,59405,USD,EN,FL,Smart Analytics,100,Bachelor,1,2025-03-18,2025-04-12,984,6.0,Austria
AI Specialist,131756,EUR,SE,PT,AI Innovations,0,PhD,5,2024-08-03,2024-10-15,2308,7.9,Finland
AI Software Engineer,42835,USD,EN,PT,Machine Intelligence Group,0,Bachelor,0,2025-03-02,2025-03-30,539,9.0,France
Autonomous Systems Engineer,61893,USD,EN,FT,Predictive Systems,50,Associate,1,2024-03-28,2024-05-01,1419,5.2,Canada
ML Ops Engineer,141791,EUR,EX,CT,Algorithmic Solutions,0,PhD,13,2025-02-03,2025-02-23,2136,5.8,France
AI Product Manager,258637,GBP,EX,PT,Cognitive Computing,50,Master,11,2025-01-16,2025-02-15,813,9.1,United Kingdom
NLP Engineer,49485,USD,MI,FT,Cloud AI Solutions,0,Associate,2,2024-08-09,2024-09-16,909,7.8,Finland
Robotics Engineer,172916,USD,SE,PT,Smart Analytics,100,Bachelor,8,2024-12-29,2025-01-15,1630,7.6,India
Machine Learning Engineer,324557,USD,EX,FT,Machine Intelligence Group,100,PhD,11,2024-11-06,2024-11-24,1209,7.3,Denmark
AI Consultant,73894,EUR,MI,CT,Digital Transformation LLC,50,Bachelor,4,2024-08-08,2024-09-12,1070,5.2,France
Principal Data Scientist,122598,USD,SE,FT,Digital Transformation LLC,50,Associate,9,2025-01-05,2025-02-13,1181,5.2,India
Data Scientist,94478,USD,MI,FL,Algorithmic Solutions,100,PhD,4,2024-05-24,2024-06-25,506,8.4,Denmark
Autonomous Systems Engineer,53088,USD,EN,PT,Machine Intelligence Group,50,PhD,1,2025-04-12,2025-06-13,2090,9.0,Austria
Machine Learning Researcher,116012,USD,MI,FT,Predictive Systems,0,Master,3,2024-09-23,2024-10-30,657,7.9,Australia
Deep Learning Engineer,35593,USD,EN,CT,AI Innovations,0,Bachelor,0,2024-03-09,2024-04-07,1812,6.3,China
AI Product Manager,149053,USD,EX,FT,Smart Analytics,0,Master,17,2024-11-17,2024-12-26,652,5.5,Austria
Principal Data Scientist,88230,USD,MI,FT,DeepTech Ventures,0,Associate,4,2024-05-22,2024-07-27,1984,7.6,Austria
AI Research Scientist,224919,USD,EX,FL,TechCorp Inc,100,Associate,19,2024-12-02,2025-01-24,911,5.7,Switzerland
Machine Learning Researcher,220439,EUR,EX,PT,TechCorp Inc,100,Associate,12,2024-03-30,2024-04-15,1795,9.9,Netherlands
NLP Engineer,48861,USD,EN,PT,DeepTech Ventures,100,Bachelor,0,2024-07-04,2024-08-11,1031,8.1,Finland
AI Specialist,115841,USD,SE,FL,Quantum Computing Inc,0,PhD,7,2024-10-25,2024-12-11,1446,7.2,United States
NLP Engineer,57266,USD,MI,FL,Neural Networks Co,0,Bachelor,3,2024-08-11,2024-08-26,1075,7.3,Ireland
Deep Learning Engineer,66384,USD,MI,CT,Autonomous Tech,0,Associate,2,2024-04-21,2024-05-24,1421,9.1,Israel
Data Analyst,184637,USD,EX,PT,Machine Intelligence Group,100,Bachelor,11,2024-05-23,2024-07-09,2292,5.5,Sweden
AI Research Scientist,92445,EUR,MI,CT,DataVision Ltd,50,Bachelor,4,2024-10-22,2024-12-24,826,9.2,Finland
Machine Learning Researcher,57388,USD,EN,FL,Smart Analytics,0,Associate,1,2024-01-12,2024-02-12,1684,8.3,Canada
Head of AI,53374,USD,MI,PT,Algorithmic Solutions,0,PhD,2,2024-06-22,2024-07-31,2224,9.5,China
AI Research Scientist,95716,USD,SE,CT,Digital Transformation LLC,50,PhD,6,2024-03-19,2024-04-05,1811,7.4,Finland
NLP Engineer,157091,USD,MI,FL,DataVision Ltd,0,PhD,2,2025-03-04,2025-03-24,1002,7.7,Norway
ML Ops Engineer,204144,USD,SE,FL,Autonomous Tech,100,PhD,8,2024-12-12,2025-01-03,1663,9.5,Norway
AI Software Engineer,190314,EUR,EX,CT,Digital Transformation LLC,100,PhD,12,2024-05-23,2024-07-22,521,9.9,Netherlands
Principal Data Scientist,198403,USD,EX,FL,Digital Transformation LLC,50,Associate,15,2024-03-14,2024-04-21,944,9.1,Israel
Research Scientist,153040,USD,SE,CT,Autonomous Tech,50,Bachelor,7,2024-06-25,2024-08-23,1112,8.2,Canada
AI Software Engineer,51898,USD,MI,FL,Machine Intelligence Group,0,Associate,2,2024-10-05,2024-11-26,721,8.9,Israel
AI Architect,115191,EUR,SE,FL,Advanced Robotics,0,Associate,7,2024-07-10,2024-09-04,2362,5.7,Netherlands
ML Ops Engineer,170139,USD,SE,PT,Future Systems,50,Bachelor,5,2025-01-30,2025-03-27,578,9.6,Denmark
ML Ops Engineer,63860,USD,EN,CT,Autonomous Tech,100,Master,0,2024-08-02,2024-09-28,2424,9.5,Canada
NLP Engineer,125152,USD,MI,CT,Smart Analytics,100,PhD,3,2024-08-11,2024-08-31,2348,6.6,Norway
AI Software Engineer,61572,USD,EN,CT,DataVision Ltd,50,Bachelor,0,2024-07-19,2024-09-08,2485,7.1,South Korea
Head of AI,101054,EUR,MI,CT,Autonomous Tech,50,Master,3,2024-01-06,2024-02-26,986,8.5,Israel
Data Engineer,145355,USD,EX,CT,DeepTech Ventures,100,Master,13,2024-08-25,2024-09-12,685,9.6,Canada
Deep Learning Engineer,183484,USD,EX,FT,Autonomous Tech,100,Master,19,2024-11-20,2025-01-01,834,7.7,Singapore
AI Product Manager,111997,USD,MI,CT,Neural Networks Co,100,PhD,2,2025-03-15,2025-04-14,1535,6.6,Singapore
AI Specialist,214195,GBP,EX,PT,Smart Analytics,100,Bachelor,19,2025-03-13,2025-04-11,1254,5.2,Sweden
AI Software Engineer,93211,USD,SE,PT,Machine Intelligence Group,50,Master,9,2025-01-08,2025-02-03,1474,9.3,United Kingdom
Deep Learning Engineer,82209,EUR,EN,PT,Smart Analytics,100,Master,1,2024-11-09,2024-12-23,859,7.0,Germany
AI Software Engineer,149669,EUR,SE,PT,Predictive Systems,50,Associate,9,2024-11-01,2024-11-23,2291,6.2,Germany
AI Software Engineer,56825,USD,MI,PT,AI Innovations,50,Associate,3,2024-07-11,2024-08-02,2301,9.5,China
Research Scientist,131635,USD,MI,FT,TechCorp Inc,50,PhD,2,2024-03-10,2024-04-16,715,8.2,Denmark
NLP Engineer,163843,USD,SE,FL,Algorithmic Solutions,50,PhD,7,2024-09-20,2024-10-23,1723,8.5,Norway
AI Consultant,73281,USD,MI,CT,Cloud AI Solutions,0,Bachelor,2,2025-01-28,2025-02-21,1753,5.5,India
Principal Data Scientist,51907,USD,MI,CT,DataVision Ltd,50,Associate,3,2024-10-07,2024-12-06,1290,8.3,South Korea
NLP Engineer,178240,EUR,EX,FL,Autonomous Tech,50,Bachelor,12,2024-06-01,2024-07-15,2461,8.5,Netherlands
Machine Learning Researcher,83226,USD,SE,FT,Advanced Robotics,0,Master,7,2024-11-19,2025-01-02,1227,7.9,Israel
AI Product Manager,46995,USD,EN,FT,DataVision Ltd,100,Master,1,2024-07-07,2024-08-01,1212,5.9,Austria
AI Research Scientist,275296,USD,EX,FT,DataVision Ltd,0,Associate,14,2024-02-06,2024-03-14,1483,7.0,Switzerland
Deep Learning Engineer,300422,USD,EX,PT,Machine Intelligence Group,100,Bachelor,11,2024-09-30,2024-11-18,2385,9.9,India
AI Product Manager,116704,USD,MI,CT,Autonomous Tech,100,Bachelor,2,2024-03-30,2024-04-15,1540,9.8,Canada
AI Specialist,98422,USD,EN,PT,Cloud AI Solutions,0,PhD,0,2024-05-23,2024-07-07,673,9.4,United States
Machine Learning Researcher,210249,USD,EX,PT,Machine Intelligence Group,100,Master,15,2024-12-20,2025-02-15,1219,6.4,Singapore
NLP Engineer,67708,USD,MI,FL,Algorithmic Solutions,0,Master,3,2024-06-10,2024-07-20,1393,7.6,France
Data Engineer,95796,USD,EX,FL,Advanced Robotics,100,Master,13,2024-10-15,2024-12-25,1933,5.8,Austria
Head of AI,229098,USD,EX,PT,Predictive Systems,50,Master,17,2024-02-01,2024-03-25,2004,8.5,China
ML Ops Engineer,134300,USD,EX,CT,Predictive Systems,50,Master,11,2024-07-14,2024-09-16,2111,5.0,Ireland
AI Specialist,74408,USD,EN,CT,Machine Intelligence Group,100,Associate,1,2024-08-07,2024-09-24,1036,7.9,Norway
AI Architect,201971,EUR,EX,FT,Future Systems,0,PhD,13,2024-07-17,2024-09-11,991,6.8,Australia
AI Software Engineer,180764,EUR,EX,CT,AI Innovations,100,Master,17,2025-02-17,2025-03-16,1244,7.6,France
Principal Data Scientist,49644,USD,EN,CT,Future Systems,100,Bachelor,0,2025-02-15,2025-03-26,2266,5.5,Canada
AI Product Manager,89115,USD,SE,CT,Neural Networks Co,50,Master,7,2025-03-22,2025-05-19,684,6.3,South Korea
AI Software Engineer,38540,USD,EN,PT,Smart Analytics,0,Associate,1,2025-01-29,2025-02-27,2144,7.6,Austria
AI Product Manager,180252,USD,SE,FT,Future Systems,50,Master,7,2024-02-14,2024-04-07,1711,6.3,United States
Robotics Engineer,56585,EUR,EN,FT,Cloud AI Solutions,0,Master,1,2024-10-25,2024-11-13,1647,6.1,Netherlands
AI Specialist,103942,USD,SE,FL,Smart Analytics,0,PhD,5,2025-02-07,2025-03-06,1636,5.5,Sweden
Autonomous Systems Engineer,176009,GBP,SE,FL,Quantum Computing Inc,50,Bachelor,9,2024-02-25,2024-03-31,2270,6.6,United Kingdom
AI Specialist,59056,USD,MI,CT,Predictive Systems,50,Associate,2,2024-08-23,2024-10-18,2262,6.0,Ireland
AI Consultant,76940,USD,MI,FT,Cognitive Computing,0,Associate,3,2025-03-29,2025-05-31,1948,7.5,Austria
Machine Learning Engineer,110341,GBP,SE,CT,Smart Analytics,0,PhD,7,2025-03-20,2025-05-08,2231,5.6,Canada
Data Scientist,102922,GBP,MI,FL,Digital Transformation LLC,0,Associate,4,2024-06-14,2024-07-05,773,7.4,United Kingdom
Machine Learning Researcher,44130,USD,EN,FT,DataVision Ltd,0,Master,0,2024-11-22,2024-12-20,2330,8.7,Switzerland
Data Engineer,128112,USD,SE,CT,Quantum Computing Inc,100,Associate,5,2024-11-26,2025-01-20,2129,9.3,Singapore
Data Analyst,48892,EUR,EN,CT,DataVision Ltd,100,Bachelor,0,2024-10-08,2024-12-09,2296,6.6,Ireland
Research Scientist,127478,GBP,MI,CT,DataVision Ltd,50,Master,4,2025-03-26,2025-04-29,2495,7.8,United Kingdom
AI Research Scientist,100524,USD,SE,FL,TechCorp Inc,0,PhD,6,2024-03-29,2024-05-25,1274,5.6,Finland
Deep Learning Engineer,45429,USD,EN,FT,Algorithmic Solutions,0,Associate,0,2024-09-14,2024-09-30,1854,6.8,Netherlands
ML Ops Engineer,62262,USD,MI,FT,AI Innovations,100,Bachelor,4,2025-03-19,2025-04-07,1358,9.4,France
AI Specialist,68595,USD,MI,FT,Machine Intelligence Group,50,Master,4,2024-01-30,2024-02-29,1954,7.5,China
AI Software Engineer,301038,USD,EX,PT,Cognitive Computing,50,PhD,18,2025-04-15,2025-05-13,1248,5.5,Norway
Robotics Engineer,46253,USD,EN,CT,DataVision Ltd,0,Associate,1,2025-04-15,2025-05-30,854,7.9,China
NLP Engineer,59644,USD,EN,PT,Future Systems,0,Associate,0,2024-04-20,2024-05-27,646,8.7,Australia
Principal Data Scientist,53960,USD,MI,PT,Digital Transformation LLC,0,Master,3,2024-07-15,2024-08-16,1401,9.7,Finland
