employee_residence,experience_level,years_experience,employee_id
Austria,MI,2,347
Australia,EX,16,348
Netherlands,EX,13,349
Singapore,EX,16,350
India,EX,14,351
Germany,SE,5,352
Ireland,EX,16,353
Netherlands,EX,16,354
Finland,SE,8,355
China,EX,16,356
Denmark,EX,14,357
Ireland,SE,9,358
Austria,EX,19,359
Austria,EX,18,360
South Korea,EX,12,361
Austria,EX,11,362
India,EX,18,363
Ireland,EX,19,364
Switzerland,EX,18,365
Israel,EX,13,366
India,EX,19,367
Switzerland,EX,17,368
United States,EX,14,369
Norway,EX,15,370
Singapore,EX,11,371
India,EX,10,372
Japan,EX,12,373
United Kingdom,SE,7,374
Norway,EX,13,375
Israel,SE,9,376
Norway,EX,17,377
Singapore,EX,13,378
Japan,EX,19,379
France,EX,19,380
Sweden,EX,18,381
Canada,EX,11,382
South Korea,EX,13,383
Sweden,EX,12,384
Austria,EX,10,385
Sweden,EX,14,386
South Korea,EX,16,387
France,EX,14,388
Switzerland,EX,11,389
Germany,EX,10,390
Finland,EX,14,391
Japan,EX,16,392
Netherlands,EX,11,393
Australia,EX,14,394
Australia,EX,17,395
United Kingdom,EX,18,396
India,EX,16,397
Netherlands,EX,18,398
China,EX,10,399
Denmark,EX,16,400
