show_id,type,title,release_year,rating,duration,listed_in,duration_int,duration_type,genres,platform
s48,TV Show,The Smart Money Woman,2020,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",1,season,['International'],Netflix
s49,Movie,Training Day,2001,R,122 min,"Dramas, Thrillers",122,min,['Drama'],Netflix
s50,TV Show,Castle and Castle,2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas",2,season,['International'],Netflix
s51,TV Show,Dharmakshetra,2014,TV-PG,1 Season,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",1,season,['International'],Netflix
s52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,2002,TV-14,99 min,"Action & Adventure, Anime Features, International Movies",99,min,['Action/Thriller'],Netflix
s53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,2003,TV-14,99 min,"Action & Adventure, Anime Features, International Movies",99,min,['Action/Thriller'],Netflix
s54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,2004,TV-PG,88 min,"Action & Adventure, Anime Features, International Movies",88,min,['Action/Thriller'],Netflix
s55,Movie,InuYasha the Movie: Affections Touching Across Time,2001,TV-PG,100 min,"Action & Adventure, Anime Features, International Movies",100,min,['Action/Thriller'],Netflix
s56,TV Show,Nailed It,2021,TV-PG,6 Seasons,Reality TV,6,season,['Reality'],Netflix
s57,Movie,Naruto Shippuden the Movie: Blood Prison,2011,TV-14,102 min,"Action & Adventure, Anime Features, International Movies",102,min,['Action/Thriller'],Netflix
s58,Movie,Naruto Shippûden the Movie: Bonds,2008,TV-PG,93 min,"Action & Adventure, Anime Features, International Movies",93,min,['Action/Thriller'],Netflix
s59,Movie,Naruto Shippûden the Movie: The Will of Fire,2009,TV-PG,96 min,"Action & Adventure, Anime Features, International Movies",96,min,['Action/Thriller'],Netflix
s60,Movie,Naruto Shippuden: The Movie,2007,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies",95,min,['Action/Thriller'],Netflix
s61,Movie,Naruto Shippuden: The Movie: The Lost Tower,2010,TV-14,85 min,"Action & Adventure, Anime Features, International Movies",85,min,['Action/Thriller'],Netflix
s62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,2005,TV-PG,97 min,"Action & Adventure, Anime Features, International Movies",97,min,['Action/Thriller'],Netflix
s63,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,2006,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies",95,min,['Action/Thriller'],Netflix
s64,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,2004,TV-PG,83 min,"Action & Adventure, Anime Features, International Movies",83,min,['Action/Thriller'],Netflix
s65,Movie,Nightbooks,2021,TV-PG,103 min,Children & Family Movies,103,min,['Kids'],Netflix
s66,TV Show,Numberblocks,2021,TV-Y,6 Seasons,Kids' TV,6,season,"['""Kids TV""']",Netflix
s67,TV Show,Raja Rasoi Aur Anya Kahaniyan,2014,TV-G,1 Season,"Docuseries, International TV Shows",1,season,['Documentary'],Netflix
s68,TV Show,Saved by the Bell,1994,TV-PG,9 Seasons,"Kids' TV, TV Comedies",9,season,"['""Kids TV""']",Netflix
s69,Movie,Schumacher,2021,TV-14,113 min,"Documentaries, International Movies, Sports Movies",113,min,['Documentary'],Netflix
s70,TV Show,Stories by Rabindranath Tagore,2015,TV-PG,1 Season,"International TV Shows, TV Dramas",1,season,['International'],Netflix
s71,TV Show,Too Hot To Handle: Latino,2021,TV-MA,1 Season,"International TV Shows, Reality TV, Romantic TV Shows",1,season,['International'],Netflix
s72,Movie,A StoryBots Space Adventure,2021,TV-Y,13 min,Children & Family Movies,13,min,['Kids'],Netflix
s73,TV Show,Jack Whitehall: Travels with My Father,2021,TV-MA,5 Seasons,"British TV Shows, Docuseries, International TV Shows",5,season,['International'],Netflix
s74,Movie,King of Boys,2018,TV-MA,182 min,"Dramas, International Movies",182,min,['Drama'],Netflix
s75,TV Show,The World's Most Amazing Vacation Rentals,2021,TV-PG,2 Seasons,Reality TV,2,season,['Reality'],Netflix
s76,Movie,You vs. Wild: Out Cold,2021,TV-G,106 min,Children & Family Movies,106,min,['Kids'],Netflix
s77,TV Show,Yowamushi Pedal,2013,TV-14,1 Season,"Anime Series, International TV Shows",1,season,['Sci-Fi/Fantasy'],Netflix
s78,Movie,Little Singham - Black Shadow,2021,TV-Y7,48 min,"Children & Family Movies, Comedies",48,min,['Kids'],Netflix
s79,Movie,Tughlaq Durbar,2020,TV-14,145 min,"Comedies, Dramas, International Movies",145,min,['Comedy'],Netflix
s80,Movie,Tughlaq Durbar (Telugu),2021,TV-14,145 min,"Comedies, Dramas, International Movies",145,min,['Comedy'],Netflix
s81,Movie,Firedrake the Silver Dragon,2021,TV-Y7,93 min,Children & Family Movies,93,min,['Kids'],Netflix
s82,Movie,Kate,2021,R,106 min,Action & Adventure,106,min,['Action/Thriller'],Netflix
s83,TV Show,Lucifer,2021,TV-14,6 Seasons,"Crime TV Shows, TV Comedies, TV Dramas",6,season,['Action/Thriller'],Netflix
s84,TV Show,Metal Shop Masters,2021,TV-MA,1 Season,Reality TV,1,season,['Reality'],Netflix
s85,Movie,Omo Ghetto: the Saga,2020,TV-MA,147 min,"Action & Adventure, Comedies, Dramas",147,min,['Action/Thriller'],Netflix
s86,TV Show,Pokémon Master Journeys: The Series,2021,TV-Y7,1 Season,"Anime Series, Kids' TV",1,season,['Sci-Fi/Fantasy'],Netflix
s87,Movie,Prey,2021,TV-MA,87 min,"International Movies, Thrillers",87,min,['International'],Netflix
s88,TV Show,Titipo Titipo,2019,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows",2,season,"['""Kids TV""']",Netflix
s89,Movie,Blood Brothers: Malcolm X & Muhammad Ali,2021,PG-13,96 min,"Documentaries, Sports Movies",96,min,['Documentary'],Netflix
s90,TV Show,Mighty Raju,2017,TV-Y7,4 Seasons,Kids' TV,4,season,"['""Kids TV""']",Netflix
s91,Movie,Paradise Hills,2019,TV-MA,95 min,"Sci-Fi & Fantasy, Thrillers",95,min,['Sci-Fi/Fantasy'],Netflix
s92,Movie,The Women and the Murderer,2021,TV-14,92 min,"Documentaries, International Movies",92,min,['Documentary'],Netflix
s93,TV Show,Into the Night,2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries",2,season,['International'],Netflix
s94,Movie,JJ+E,2021,TV-MA,91 min,"Dramas, International Movies, Romantic Movies",91,min,['Drama'],Netflix
s95,Movie,Show Dogs,2018,PG,90 min,"Children & Family Movies, Comedies",90,min,['Kids'],Netflix
s96,TV Show,The Circle,2021,TV-MA,3 Seasons,Reality TV,3,season,['Reality'],Netflix
s97,Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,2018,TV-MA,97 min,"Documentaries, Music & Musicals",97,min,['Documentary'],Netflix
s98,TV Show,Kid Cosmic,2021,TV-Y7,2 Seasons,"Kids' TV, TV Comedies, TV Sci-Fi & Fantasy",2,season,"['""Kids TV""']",Netflix
s99,TV Show,Octonauts: Above & Beyond,2021,TV-Y,1 Season,"British TV Shows, Kids' TV",1,season,['International'],Netflix
s100,TV Show,On the Verge,2021,TV-MA,1 Season,"TV Comedies, TV Dramas",1,season,['Comedy'],Netflix
s101,TV Show,Tobot Galaxy Detectives,2019,TV-Y7,2 Seasons,Kids' TV,2,season,"['""Kids TV""']",Netflix
s102,Movie,Untold: Breaking Point,2021,TV-MA,80 min,"Documentaries, Sports Movies",80,min,['Documentary'],Netflix
s103,TV Show,Countdown: Inspiration4 Mission to Space,2021,TV-14,1 Season,"Docuseries, Science & Nature TV",1,season,['Documentary'],Netflix
s104,Movie,Shadow Parties,2020,TV-MA,117 min,"Dramas, International Movies, Thrillers",117,min,['Drama'],Netflix
s105,TV Show,Tayo the Little Bus,2016,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows",2,season,"['""Kids TV""']",Netflix
s106,Movie,Angamaly Diaries,2017,TV-14,128 min,"Action & Adventure, Comedies, Dramas",128,min,['Action/Thriller'],Netflix
s107,TV Show,Bunk'd,2021,TV-G,5 Seasons,"Kids' TV, TV Comedies",5,season,"['""Kids TV""']",Netflix
s108,Movie,A Champion Heart,2018,G,90 min,"Children & Family Movies, Dramas",90,min,['Kids'],Netflix
s109,TV Show,Dive Club,2021,TV-G,1 Season,"Kids' TV, TV Dramas, Teen TV Shows",1,season,"['""Kids TV""']",Netflix
s110,TV Show,La casa de papel,2021,TV-MA,5 Seasons,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",5,season,['Action/Thriller'],Netflix
s111,TV Show,Money Heist: From Tokyo to Berlin,2021,TV-MA,1 Season,"Docuseries, International TV Shows, Spanish-Language TV Shows",1,season,['Documentary'],Netflix
s112,TV Show,Sharkdog,2021,TV-Y,1 Season,Kids' TV,1,season,"['""Kids TV""']",Netflix
s113,Movie,Worth,2021,PG-13,119 min,Dramas,119,min,['Drama'],Netflix
s114,Movie,Afterlife of the Party,2021,TV-PG,110 min,"Comedies, Romantic Movies",110,min,['Comedy'],Netflix
s115,Movie,Anjaam,1994,TV-14,143 min,"Dramas, International Movies, Thrillers",143,min,['Drama'],Netflix
s116,Movie,Bright Star,2009,PG,119 min,"Dramas, Romantic Movies",119,min,['Drama'],Netflix
s117,Movie,Dhanak,2015,TV-PG,114 min,"Comedies, Dramas, Independent Movies",114,min,['Comedy'],Netflix
s118,Movie,Final Account,2021,PG-13,94 min,Documentaries,94,min,['Documentary'],Netflix
s119,Movie,Gurgaon,2017,TV-14,106 min,"Dramas, International Movies, Thrillers",106,min,['Drama'],Netflix
s120,Movie,Here and There,2020,TV-MA,99 min,"Dramas, International Movies, Romantic Movies",99,min,['Drama'],Netflix
s121,TV Show,Heroes of Goo Jit Zu,2021,TV-Y7,1 Season,"Kids' TV, TV Comedies",1,season,"['""Kids TV""']",Netflix
s122,TV Show,Hotel Del Luna,2019,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",1,season,['International'],Netflix
s123,Movie,In the Cut,2003,R,118 min,Thrillers,118,min,['Action/Thriller'],Netflix
s124,TV Show,Luv Kushh,2012,TV-Y7,1 Season,Kids' TV,1,season,"['""Kids TV""']",Netflix
s125,TV Show,Pororo - The Little Penguin,2013,TV-Y7,3 Seasons,"Kids' TV, Korean TV Shows",3,season,"['""Kids TV""']",Netflix
s126,TV Show,Q-Force,2021,TV-MA,1 Season,"Crime TV Shows, TV Action & Adventure, TV Comedies",1,season,['Action/Thriller'],Netflix
s127,Movie,Shikara,2020,TV-14,115 min,"Dramas, International Movies, Romantic Movies",115,min,['Drama'],Netflix
s128,Movie,A Cinderella Story,2004,PG,95 min,"Children & Family Movies, Comedies",95,min,['Kids'],Netflix
s129,Movie,Agatha Christie's Crooked House,2017,PG-13,115 min,"Dramas, International Movies, Thrillers",115,min,['Drama'],Netflix
s130,Movie,An Unfinished Life,2005,PG-13,108 min,Dramas,108,min,['Drama'],Netflix
s131,Movie,Barbie Big City Big Dreams,2021,TV-Y,63 min,"Children & Family Movies, Music & Musicals",63,min,['Kids'],Netflix
s132,Movie,Blade Runner: The Final Cut,1982,R,117 min,"Action & Adventure, Classic Movies, Cult Movies",117,min,['Action/Thriller'],Netflix
s133,TV Show,Brave Animated Series,2021,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Comedies",1,season,['International'],Netflix
s134,Movie,Chappie,2015,R,121 min,"Action & Adventure, Sci-Fi & Fantasy",121,min,['Action/Thriller'],Netflix
s135,Movie,Clear and Present Danger,1994,PG-13,142 min,"Action & Adventure, Dramas",142,min,['Action/Thriller'],Netflix
s136,Movie,Cliffhanger,1993,R,113 min,Action & Adventure,113,min,['Action/Thriller'],Netflix
s137,Movie,Cold Mountain,2003,R,154 min,"Dramas, Romantic Movies",154,min,['Drama'],Netflix
s138,Movie,Crocodile Dundee in Los Angeles,2001,PG,95 min,"Action & Adventure, Comedies",95,min,['Action/Thriller'],Netflix
s139,Movie,Dear John,2010,PG-13,108 min,"Dramas, Romantic Movies",108,min,['Drama'],Netflix
s140,Movie,Do the Right Thing,1989,R,120 min,"Classic Movies, Comedies, Dramas",120,min,['Drama'],Netflix
s141,Movie,"El patrón, radiografía de un crimen",2014,TV-MA,100 min,"Dramas, International Movies, Thrillers",100,min,['Drama'],Netflix
s142,Movie,Extraction,2015,R,82 min,Action & Adventure,82,min,['Action/Thriller'],Netflix
s143,Movie,Freedom Writers,2007,PG-13,124 min,Dramas,124,min,['Drama'],Netflix
s144,Movie,Green Lantern,2011,PG-13,114 min,"Action & Adventure, Sci-Fi & Fantasy",114,min,['Action/Thriller'],Netflix
s145,Movie,House Party,1990,R,104 min,"Comedies, Cult Movies",104,min,['Comedy'],Netflix
s146,Movie,House Party 2,1991,R,94 min,"Comedies, Cult Movies, Music & Musicals",94,min,['Comedy'],Netflix
s147,Movie,House Party 3,1994,R,94 min,"Comedies, Music & Musicals",94,min,['Comedy'],Netflix
s148,TV Show,How to Be a Cowboy,2021,TV-PG,1 Season,Reality TV,1,season,['Reality'],Netflix
s149,TV Show,HQ Barbers,2020,TV-14,1 Season,TV Shows,1,season,['TV Shows'],Netflix
s150,Movie,I Got the Hook Up,1998,R,93 min,"Action & Adventure, Comedies",93,min,['Action/Thriller'],Netflix
s151,Movie,In Too Deep,1999,R,97 min,Thrillers,97,min,['Action/Thriller'],Netflix
s152,Movie,Initial D,2005,TV-14,109 min,"Action & Adventure, International Movies",109,min,['Action/Thriller'],Netflix
s153,Movie,Janoskians: Untold and Untrue,2016,TV-MA,88 min,Comedies,88,min,['Comedy'],Netflix
s154,TV Show,Kid-E-Cats,2016,TV-Y,2 Seasons,Kids' TV,2,season,"['""Kids TV""']",Netflix
s155,TV Show,Kuroko's Basketball,2015,TV-MA,3 Seasons,"Anime Series, International TV Shows, Teen TV Shows",3,season,['Sci-Fi/Fantasy'],Netflix
s156,Movie,Labyrinth,1986,PG,101 min,"Action & Adventure, Children & Family Movies, Cult Movies",101,min,['Action/Thriller'],Netflix
s157,Movie,Letters to Juliet,2010,PG,105 min,"Comedies, Dramas, Romantic Movies",105,min,['Comedy'],Netflix
s158,Movie,Level 16,2018,TV-14,102 min,"Sci-Fi & Fantasy, Thrillers",102,min,['Sci-Fi/Fantasy'],Netflix
s159,Movie,Love Don't Cost a Thing,2003,PG-13,101 min,"Comedies, Romantic Movies",101,min,['Comedy'],Netflix
s160,Movie,Love in a Puff,2010,TV-MA,103 min,"Comedies, Dramas, International Movies",103,min,['Comedy'],Netflix
s161,TV Show,Major Dad,1992,TV-PG,4 Seasons,TV Comedies,4,season,['Comedy'],Netflix
s162,Movie,Mars Attacks!,1996,PG-13,106 min,"Comedies, Cult Movies, Sci-Fi & Fantasy",106,min,['Comedy'],Netflix
s163,Movie,Marshall,2017,PG-13,118 min,Dramas,118,min,['Drama'],Netflix
s164,Movie,My Boss's Daughter,2003,R,86 min,"Comedies, Romantic Movies",86,min,['Comedy'],Netflix
s165,Movie,Mystery Men,1999,PG-13,121 min,"Action & Adventure, Comedies",121,min,['Action/Thriller'],Netflix
s166,TV Show,Oldsters,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",1,season,['Action/Thriller'],Netflix
s167,Movie,Once Upon a Time in America,1984,R,229 min,"Classic Movies, Dramas",229,min,['Drama'],Netflix
s168,Movie,Open Season 2,2008,PG,76 min,"Children & Family Movies, Comedies",76,min,['Kids'],Netflix
s169,Movie,Osmosis Jones,2001,PG,95 min,"Action & Adventure, Children & Family Movies, Comedies",95,min,['Action/Thriller'],Netflix
s170,Movie,Poseidon,2006,PG-13,98 min,"Action & Adventure, Dramas",98,min,['Action/Thriller'],Netflix
s171,Movie,Rhyme & Reason,1997,R,89 min,"Documentaries, Music & Musicals",89,min,['Documentary'],Netflix
s172,Movie,Same Kind of Different as Me,2017,PG-13,120 min,"Dramas, Faith & Spirituality",120,min,['Drama'],Netflix
s173,Movie,School of Rock,2003,PG-13,110 min,"Comedies, Music & Musicals",110,min,['Comedy'],Netflix
s174,Movie,Snervous Tyler Oakley,2015,PG-13,83 min,"Documentaries, LGBTQ Movies",83,min,['Documentary'],Netflix
s175,Movie,Tears of the Sun,2003,R,121 min,"Action & Adventure, Dramas",121,min,['Action/Thriller'],Netflix
s176,Movie,The Blue Lagoon,1980,R,105 min,"Dramas, Romantic Movies",105,min,['Drama'],Netflix
s177,Movie,The Golden Child,1986,PG-13,94 min,"Action & Adventure, Comedies",94,min,['Action/Thriller'],Netflix
s178,Movie,The Guns of Navarone,1961,TV-14,156 min,"Action & Adventure, Classic Movies",156,min,['Action/Thriller'],Netflix
s179,Movie,The Interview,2014,R,112 min,"Action & Adventure, Comedies",112,min,['Action/Thriller'],Netflix
s180,Movie,The Nutty Professor,1996,PG-13,95 min,"Comedies, Romantic Movies",95,min,['Comedy'],Netflix
s181,Movie,The Nutty Professor II: The Klumps,2000,PG-13,107 min,"Comedies, Romantic Movies",107,min,['Comedy'],Netflix
s182,TV Show,Turning Point: 9/11 and the War on Terror,2021,TV-14,1 Season,Docuseries,1,season,['Documentary'],Netflix
s183,Movie,Welcome Home Roscoe Jenkins,2008,PG-13,114 min,Comedies,114,min,['Comedy'],Netflix
s184,Movie,In the Line of Fire,1993,R,129 min,"Action & Adventure, Classic Movies",129,min,['Action/Thriller'],Netflix
s185,TV Show,Sparking Joy,2021,TV-PG,1 Season,Reality TV,1,season,['Reality'],Netflix
s186,Movie,Untold: Crime & Penalties,2021,TV-MA,86 min,"Documentaries, Sports Movies",86,min,['Documentary'],Netflix
s187,TV Show,Hometown Cha-Cha-Cha,2021,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",1,season,['International'],Netflix
s188,TV Show,The Ingenuity of the Househusband,2021,TV-G,1 Season,"International TV Shows, TV Comedies",1,season,['International'],Netflix
s189,Movie,2 Alone in Paris,2008,TV-MA,97 min,"Comedies, International Movies",97,min,['Comedy'],Netflix
s190,TV Show,Bread Barbershop,2020,TV-Y,2 Seasons,"Kids' TV, TV Comedies",2,season,"['""Kids TV""']",Netflix
s191,Movie,Thimmarusu,2021,TV-14,125 min,"Dramas, International Movies",125,min,['Drama'],Netflix
s192,Movie,Wind River,2017,R,107 min,"Dramas, Independent Movies",107,min,['Drama'],Netflix
s193,Movie,C Kkompany,2008,TV-14,127 min,"Action & Adventure, Comedies, International Movies",127,min,['Action/Thriller'],Netflix
s194,TV Show,D.P.,2021,TV-MA,1 Season,"International TV Shows, TV Dramas",1,season,['International'],Netflix
s195,TV Show,Deadly Sins,2002,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas",1,season,['International'],Netflix
s196,Movie,EMI: Liya Hai To Chukana Padega,2008,TV-14,128 min,"Comedies, Dramas, International Movies",128,min,['Comedy'],Netflix
s197,Movie,He's All That,2021,TV-14,92 min,"Comedies, Romantic Movies",92,min,['Comedy'],Netflix
s198,TV Show,I Heart Arlo,2021,TV-Y7,1 Season,"Kids' TV, TV Comedies",1,season,"['""Kids TV""']",Netflix
s199,TV Show,King of Boys: The Return of the King,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",1,season,['Action/Thriller'],Netflix
s200,Movie,Koi Aap Sa,2006,TV-14,135 min,"Comedies, Dramas, International Movies",135,min,['Comedy'],Netflix
s201,Movie,Krishna Cottage,2004,TV-14,124 min,"Action & Adventure, Horror Movies, International Movies",124,min,['Action/Thriller'],Netflix
s202,Movie,Kucch To Hai,2003,TV-14,136 min,"Dramas, International Movies, Thrillers",136,min,['Drama'],Netflix
s203,Movie,Kyaa Kool Hai Hum,2005,TV-MA,165 min,"Comedies, International Movies, Music & Musicals",165,min,['Comedy'],Netflix
s204,Movie,Kyaa Kool Hain Hum 3,2016,TV-MA,124 min,"Comedies, International Movies",124,min,['Comedy'],Netflix
s205,Movie,Kyaa Super Kool Hain Hum,2012,TV-MA,136 min,"Comedies, International Movies",136,min,['Comedy'],Netflix
s206,Movie,Kyo Kii... Main Jhuth Nahin Bolta,2001,TV-14,150 min,"Comedies, International Movies, Sci-Fi & Fantasy",150,min,['Comedy'],Netflix
s207,Movie,"LSD: Love, Sex Aur Dhokha",2010,TV-MA,112 min,"Dramas, Independent Movies, International Movies",112,min,['Drama'],Netflix
s208,Movie,Mission Istaanbul: Darr Ke Aagey Jeet Hai,2008,TV-14,119 min,"Action & Adventure, International Movies, Music & Musicals",119,min,['Action/Thriller'],Netflix
s209,Movie,Once Upon a Time in Mumbaai,2010,TV-14,133 min,"Dramas, International Movies, Music & Musicals",133,min,['Drama'],Netflix
s210,Movie,Once Upon a Time in Mumbai Dobaara!,2013,TV-14,142 min,"Dramas, International Movies, Music & Musicals",142,min,['Drama'],Netflix
s211,Movie,Ragini MMS,2011,TV-MA,93 min,"Horror Movies, International Movies",93,min,['Horror'],Netflix
s212,Movie,Ragini MMS 2,2014,TV-MA,113 min,"Horror Movies, International Movies",113,min,['Horror'],Netflix
s213,TV Show,Rebellion,2016,TV-MA,2 Seasons,"International TV Shows, TV Dramas",2,season,['International'],Netflix
s214,TV Show,RIDE ON TIME,2021,TV-PG,3 Seasons,"Docuseries, International TV Shows",3,season,['Documentary'],Netflix
s215,Movie,SAS: Rise of the Black Swan,2021,R,124 min,"Action & Adventure, International Movies",124,min,['Action/Thriller'],Netflix
s216,Movie,Shootout at Lokhandwala,2007,TV-MA,116 min,"Action & Adventure, Dramas, International Movies",116,min,['Action/Thriller'],Netflix
s217,Movie,Shor In the City,2011,TV-14,106 min,"Comedies, Dramas, Independent Movies",106,min,['Comedy'],Netflix
s218,Movie,The Dirty Picture,2011,TV-14,145 min,"Comedies, Dramas, International Movies",145,min,['Comedy'],Netflix
