client_id,backward_count,total_transitions,error_rate,clnt_age,Variation
11054,1,5.0,0.2,60.0,Control
11070,3,10.0,0.3,53.5,Control
11122,0,4.0,0.0,40.5,Control
11309,0,4.0,0.0,46.5,Test
11880,4,9.0,0.4444444444444444,27.0,Test
12045,1,3.0,0.3333333333333333,37.0,Control
12785,2,6.0,0.3333333333333333,51.5,Test
13009,3,8.0,0.375,63.5,Control
13735,1,5.0,0.2,27.5,Test
13831,4,7.0,0.5714285714285714,42.0,Control
14690,1,2.0,0.5,43.0,Test
14775,0,0.0,0.0,28.0,Control
15050,2,8.0,0.25,52.5,Test
15189,0,4.0,0.0,19.5,Test
15753,5,8.0,0.625,58.0,Test
15807,1,4.0,0.25,27.0,Test
16095,0,3.0,0.0,30.0,Control
16098,0,4.0,0.0,36.5,Test
16135,2,10.0,0.2,63.5,Control
16202,1,2.0,0.5,36.0,Control
16295,2,8.0,0.25,55.0,Test
16549,2,8.0,0.25,55.5,Control
16679,3,5.0,0.6,40.0,Control
16744,1,1.0,1.0,62.0,Control
16747,0,4.0,0.0,31.5,Control
16881,0,0.0,0.0,55.0,Test
17008,0,4.0,0.0,55.5,Control
17036,0,4.0,0.0,34.5,Control
17160,0,6.0,0.0,53.5,Control
17170,0,4.0,0.0,63.0,Test
17318,1,4.0,0.25,69.0,Test
17404,0,4.0,0.0,37.5,Test
18549,1,5.0,0.2,43.0,Test
18660,2,3.0,0.6666666666666666,45.0,Control
18973,1,5.0,0.2,54.0,Control
19060,1,4.0,0.25,55.0,Test
19613,0,0.0,0.0,26.0,Control
19782,0,4.0,0.0,61.5,Control
19813,1,5.0,0.2,65.0,Control
19832,0,4.0,0.0,63.5,Control
20091,2,7.0,0.2857142857142857,21.0,Control
20185,12,28.0,0.42857142857142855,60.5,Test
20537,0,4.0,0.0,74.5,Control
20564,3,9.0,0.3333333333333333,55.5,Test
20643,0,4.0,0.0,34.5,Test
20668,1,2.0,0.5,68.0,Test
20898,0,0.0,0.0,27.0,Control
21200,1,4.0,0.25,61.0,Test
21242,0,4.0,0.0,30.5,Control
21281,1,7.0,0.14285714285714285,63.5,Test
21353,2,8.0,0.25,77.5,Control
21403,2,2.0,1.0,41.0,Test
21498,3,10.0,0.3,70.5,Control
21522,9,14.0,0.6428571428571429,65.0,Test
21596,1,6.0,0.16666666666666666,43.0,Test
21719,0,3.0,0.0,27.0,Control
21940,2,8.0,0.25,43.5,Control
21970,2,7.0,0.2857142857142857,22.5,Control
22007,1,5.0,0.2,75.5,Test
22793,0,2.0,0.0,55.0,Test
22885,8,20.0,0.4,32.0,Control
23276,2,6.0,0.3333333333333333,67.5,Control
23864,0,4.0,0.0,47.5,Control
23914,0,4.0,0.0,25.0,Test
24079,2,2.0,1.0,30.0,Control
24443,9,19.0,0.47368421052631576,49.0,Test
24572,1,6.0,0.16666666666666666,23.5,Test
24703,0,3.0,0.0,30.5,Test
24710,0,4.0,0.0,49.0,Control
24841,1,6.0,0.16666666666666666,70.5,Test
25022,0,4.0,0.0,26.5,Test
25026,1,5.0,0.2,62.5,Test
25043,0,4.0,0.0,59.5,Control
25766,1,6.0,0.16666666666666666,33.5,Control
26036,0,4.0,0.0,28.5,Test
26070,0,4.0,0.0,24.0,Test
26105,1,5.0,0.2,33.0,Test
26211,0,4.0,0.0,41.5,Control
26286,0,1.0,0.0,71.0,Control
26696,2,2.0,1.0,59.0,Test
27021,1,8.0,0.125,34.5,Control
27075,0,4.0,0.0,53.5,Test
27241,2,8.0,0.25,34.5,Control
27554,0,4.0,0.0,36.0,Control
27764,2,7.0,0.2857142857142857,23.0,Test
27907,0,4.0,0.0,52.5,Test
27988,4,10.0,0.4,60.0,Control
28241,1,5.0,0.2,48.5,Test
28371,0,6.0,0.0,34.5,Test
28542,0,4.0,0.0,55.0,Control
28705,1,8.0,0.125,53.0,Control
28845,0,4.0,0.0,33.5,Control
28857,4,15.0,0.26666666666666666,52.0,Control
29227,3,7.0,0.42857142857142855,69.5,Test
29527,1,5.0,0.2,51.5,Test
29595,1,5.0,0.2,37.0,Control
30318,2,10.0,0.2,54.5,Test
30462,0,0.0,0.0,66.0,Test
30493,2,7.0,0.2857142857142857,49.5,Test
31191,1,1.0,1.0,20.0,Control
31264,2,7.0,0.2857142857142857,37.0,Control
31336,4,13.0,0.3076923076923077,28.5,Test
31404,0,4.0,0.0,54.5,Test
31499,3,8.0,0.375,66.0,Test
31502,1,8.0,0.125,47.5,Control
31597,40,48.0,0.8333333333333334,68.0,Test
31715,0,4.0,0.0,32.5,Control
31766,1,5.0,0.2,19.0,Test
32197,0,4.0,0.0,42.5,Control
32305,0,1.0,0.0,69.0,Control
32471,4,8.0,0.5,57.0,Test
32521,0,4.0,0.0,57.5,Test
32746,3,9.0,0.3333333333333333,40.5,Test
32859,0,3.0,0.0,66.0,Control
33190,0,4.0,0.0,44.0,Control
33265,0,4.0,0.0,42.5,Test
33463,3,11.0,0.2727272727272727,33.5,Control
33472,3,7.0,0.42857142857142855,42.5,Test
33752,0,4.0,0.0,51.5,Test
34067,1,6.0,0.16666666666666666,65.5,Control
34101,3,3.0,1.0,52.0,Test
34267,0,4.0,0.0,74.5,Control
34501,3,6.0,0.5,40.0,Control
34603,0,4.0,0.0,40.5,Control
34608,0,1.0,0.0,40.0,Test
34631,2,6.0,0.3333333333333333,52.0,Control
35010,2,4.0,0.5,47.0,Test
35087,1,4.0,0.25,22.0,Control
35091,1,2.0,0.5,24.0,Test
35138,1,5.0,0.2,81.5,Test
35181,1,6.0,0.16666666666666666,48.5,Test
35257,0,4.0,0.0,32.5,Control
35346,0,4.0,0.0,32.5,Control
35417,0,4.0,0.0,26.5,Control
35476,4,9.0,0.4444444444444444,31.0,Test
35922,1,5.0,0.2,44.5,Test
36109,2,7.0,0.2857142857142857,71.5,Control
36342,0,4.0,0.0,49.5,Test
36363,0,4.0,0.0,30.0,Test
36430,4,9.0,0.4444444444444444,57.5,Test
36432,2,4.0,0.5,59.0,Test
36555,6,9.0,0.6666666666666666,70.0,Test
36986,4,13.0,0.3076923076923077,77.5,Test
37064,2,8.0,0.25,32.5,Control
37295,2,7.0,0.2857142857142857,31.5,Control
37408,0,4.0,0.0,46.5,Control
37423,4,11.0,0.36363636363636365,48.5,Test
37667,0,4.0,0.0,32.0,Test
37691,2,3.0,0.6666666666666666,30.0,Test
37705,0,4.0,0.0,24.5,Test
37897,0,4.0,0.0,61.5,Test
38275,1,1.0,1.0,57.0,Test
38283,2,7.0,0.2857142857142857,55.5,Test
38340,0,4.0,0.0,38.5,Test
38551,0,4.0,0.0,64.5,Test
38685,0,4.0,0.0,53.0,Control
38714,0,4.0,0.0,60.0,Control
38775,1,1.0,1.0,43.0,Test
38930,1,7.0,0.14285714285714285,25.5,Control
38963,0,4.0,0.0,45.5,Control
39004,0,0.0,0.0,48.0,Test
39075,0,4.0,0.0,62.5,Control
39566,0,4.0,0.0,32.5,Test
39968,1,1.0,1.0,50.0,Control
40283,8,8.0,1.0,43.0,Test
40439,0,4.0,0.0,35.5,Test
40969,3,4.0,0.75,49.0,Test
41122,0,4.0,0.0,26.5,Test
41142,6,11.0,0.5454545454545454,38.0,Test
41199,0,4.0,0.0,54.5,Test
41237,1,5.0,0.2,49.0,Test
41516,0,4.0,0.0,55.0,Control
41652,0,1.0,0.0,55.0,Control
41924,2,4.0,0.5,52.0,Test
42082,1,5.0,0.2,36.0,Control
42296,2,3.0,0.6666666666666666,81.0,Control
42349,0,4.0,0.0,23.5,Test
42725,0,4.0,0.0,23.5,Test
43494,2,4.0,0.5,62.0,Control
43645,1,4.0,0.25,81.5,Test
43766,0,1.0,0.0,44.0,Control
44060,2,8.0,0.25,44.5,Control
44216,2,6.0,0.3333333333333333,44.0,Control
44705,2,7.0,0.2857142857142857,55.0,Test
44860,0,4.0,0.0,31.5,Control
44932,0,4.0,0.0,30.0,Test
44995,0,1.0,0.0,75.0,Test
45131,3,10.0,0.3,76.0,Test
45232,4,8.0,0.5,63.5,Test
45485,2,7.0,0.2857142857142857,67.5,Test
45510,1,8.0,0.125,31.5,Test
46223,0,3.0,0.0,67.0,Control
46790,1,3.0,0.3333333333333333,34.0,Test
46934,3,3.0,1.0,36.0,Test
47402,1,3.0,0.3333333333333333,27.0,Control
47571,0,4.0,0.0,25.5,Control
47860,2,5.0,0.4,37.0,Test
47933,1,6.0,0.16666666666666666,49.5,Control
48241,9,16.0,0.5625,58.0,Control
48424,3,10.0,0.3,42.0,Control
48431,0,4.0,0.0,54.5,Control
48448,1,5.0,0.2,67.5,Test
48724,3,10.0,0.3,38.5,Test
49412,2,8.0,0.25,51.5,Control
49450,2,8.0,0.25,62.5,Control
49709,3,10.0,0.3,67.5,Test
49998,0,1.0,0.0,32.0,Test
50053,0,4.0,0.0,56.5,Test
50090,0,4.0,0.0,54.5,Test
50185,0,4.0,0.0,45.0,Control
50271,0,4.0,0.0,35.5,Control
50325,0,4.0,0.0,61.5,Test
50599,1,1.0,1.0,36.0,Test
50643,3,7.0,0.42857142857142855,53.0,Control
50692,0,0.0,0.0,54.0,Control
51493,0,4.0,0.0,23.0,Test
51526,3,8.0,0.375,44.0,Test
51706,0,4.0,0.0,23.0,Control
51814,0,4.0,0.0,60.5,Control
51902,0,4.0,0.0,41.0,Control
52111,3,12.0,0.25,46.0,Control
52309,3,6.0,0.5,57.0,Test
52384,1,1.0,1.0,62.0,Control
52456,3,8.0,0.375,55.5,Control
52461,0,4.0,0.0,46.0,Control
52743,4,11.0,0.36363636363636365,54.5,Test
52765,0,4.0,0.0,26.5,Control
53094,0,4.0,0.0,29.5,Control
53123,0,4.0,0.0,54.5,Control
53126,0,4.0,0.0,37.5,Control
53169,0,0.0,0.0,44.0,Control
53396,1,5.0,0.2,50.5,Test
53990,0,3.0,0.0,66.0,Control
54231,0,4.0,0.0,53.5,Test
54291,0,4.0,0.0,54.5,Control
54363,0,4.0,0.0,86.5,Control
54477,0,0.0,0.0,34.0,Control
54893,0,4.0,0.0,37.0,Test
55059,0,4.0,0.0,54.5,Test
55265,1,7.0,0.14285714285714285,29.5,Test
55333,1,5.0,0.2,27.5,Test
55448,0,5.0,0.0,58.5,Control
55951,2,2.0,1.0,47.0,Test
56294,1,6.0,0.16666666666666666,27.0,Test
56529,3,7.0,0.42857142857142855,38.0,Control
56570,2,6.0,0.3333333333333333,49.0,Test
56782,2,4.0,0.5,45.0,Control
56923,1,6.0,0.16666666666666666,40.5,Test
58001,1,6.0,0.16666666666666666,64.5,Control
58194,2,8.0,0.25,45.5,Test
58196,4,12.0,0.3333333333333333,45.5,Control
58456,7,13.0,0.5384615384615384,61.0,Control
58589,1,10.0,0.1,41.0,Control
58676,0,4.0,0.0,51.5,Control
58867,0,4.0,0.0,51.0,Test
58917,2,7.0,0.2857142857142857,73.0,Control
58962,2,6.0,0.3333333333333333,53.5,Test
59089,1,5.0,0.2,61.0,Control
59152,0,4.0,0.0,45.5,Test
59360,0,4.0,0.0,39.5,Test
59605,0,1.0,0.0,59.0,Control
59782,1,6.0,0.16666666666666666,65.5,Control
59802,1,7.0,0.14285714285714285,38.5,Test
59860,3,10.0,0.3,52.0,Control
60101,0,4.0,0.0,43.5,Test
60483,0,4.0,0.0,52.5,Test
60802,2,7.0,0.2857142857142857,55.0,Test
60958,1,1.0,1.0,24.0,Test
61007,3,3.0,1.0,53.0,Test
61487,0,4.0,0.0,26.5,Test
61650,2,6.0,0.3333333333333333,50.0,Test
61961,1,6.0,0.16666666666666666,73.5,Test
62058,0,0.0,0.0,42.0,Control
62284,1,5.0,0.2,64.5,Test
62498,0,0.0,0.0,66.0,Control
62503,1,4.0,0.25,37.0,Control
62754,0,4.0,0.0,64.5,Test
62791,1,5.0,0.2,62.5,Test
62805,0,4.0,0.0,43.5,Test
62837,0,1.0,0.0,31.0,Control
63001,0,2.0,0.0,28.0,Control
63377,0,4.0,0.0,26.5,Control
63507,0,4.0,0.0,31.5,Test
63796,4,8.0,0.5,79.5,Test
63879,4,8.0,0.5,36.5,Test
63955,0,4.0,0.0,19.0,Test
64020,1,6.0,0.16666666666666666,46.5,Control
64058,0,4.0,0.0,62.5,Test
64635,0,0.0,0.0,70.0,Test
64871,2,6.0,0.3333333333333333,47.0,Control
64885,0,1.0,0.0,61.0,Test
64964,0,5.0,0.0,64.5,Control
65221,0,4.0,0.0,51.5,Test
65716,3,9.0,0.3333333333333333,45.0,Control
65845,0,4.0,0.0,61.5,Control
66160,1,5.0,0.2,24.5,Test
66169,0,7.0,0.0,45.5,Control
66539,0,4.0,0.0,31.5,Test
66543,1,1.0,1.0,65.0,Control
66930,2,7.0,0.2857142857142857,63.0,Test
67390,1,6.0,0.16666666666666666,30.0,Test
67452,0,4.0,0.0,75.5,Test
67845,0,2.0,0.0,85.0,Test
67925,4,8.0,0.5,47.5,Test
68116,0,0.0,0.0,35.0,Control
68170,1,1.0,1.0,60.0,Control
68276,0,4.0,0.0,59.5,Test
68830,0,5.0,0.0,32.5,Control
68854,1,5.0,0.2,51.5,Control
68884,4,10.0,0.4,80.0,Test
68886,0,4.0,0.0,51.5,Test
68963,3,11.0,0.2727272727272727,56.5,Control
69255,0,1.0,0.0,58.5,Control
69568,0,3.0,0.0,26.0,Test
69591,0,0.0,0.0,28.0,Test
69598,0,4.0,0.0,58.0,Control
70225,2,6.0,0.3333333333333333,33.5,Control
70576,3,13.0,0.23076923076923078,43.0,Test
70863,0,0.0,0.0,85.0,Test
71159,1,1.0,1.0,29.0,Test
71296,6,11.0,0.5454545454545454,72.5,Control
71476,0,0.0,0.0,53.0,Control
71626,2,6.0,0.3333333333333333,78.0,Control
72074,3,10.0,0.3,51.0,Test
72221,3,11.0,0.2727272727272727,50.5,Control
72388,0,3.0,0.0,54.0,Test
72395,1,6.0,0.16666666666666666,48.0,Test
72915,0,4.0,0.0,39.5,Test
72916,0,4.0,0.0,34.5,Test
72988,0,0.0,0.0,21.0,Test
73331,0,4.0,0.0,50.5,Control
73335,0,4.0,0.0,37.0,Control
73453,0,4.0,0.0,56.5,Control
73615,0,4.0,0.0,41.0,Test
73648,0,4.0,0.0,53.5,Test
73910,0,4.0,0.0,27.5,Control
74169,0,5.0,0.0,35.5,Control
74564,1,4.0,0.25,58.0,Test
74844,2,5.0,0.4,60.0,Test
74976,2,7.0,0.2857142857142857,47.5,Test
75033,0,4.0,0.0,69.5,Test
75381,0,1.0,0.0,25.0,Control
75490,0,4.0,0.0,24.5,Test
75642,0,4.0,0.0,77.5,Control
76424,0,4.0,0.0,69.5,Control
76429,2,7.0,0.2857142857142857,29.0,Test
76481,8,17.0,0.47058823529411764,62.5,Test
76635,2,6.0,0.3333333333333333,24.0,Test
76775,0,1.0,0.0,67.0,Test
76776,1,9.0,0.1111111111111111,62.5,Control
77071,2,7.0,0.2857142857142857,46.5,Control
77276,0,4.0,0.0,18.5,Test
77513,2,7.0,0.2857142857142857,33.5,Test
77651,0,0.0,0.0,69.5,Test
77933,0,4.0,0.0,39.5,Test
78720,0,0.0,0.0,32.0,Test
78728,1,4.0,0.25,34.0,Control
78779,7,7.0,1.0,64.0,Test
78917,1,3.0,0.3333333333333333,68.0,Control
79127,0,6.0,0.0,64.5,Control
79229,1,3.0,0.3333333333333333,42.0,Control
79452,1,5.0,0.2,45.5,Test
79571,0,4.0,0.0,53.0,Control
79669,4,6.0,0.6666666666666666,61.0,Test
79679,3,7.0,0.42857142857142855,57.5,Control
79819,4,4.0,1.0,42.0,Control
79897,3,8.0,0.375,54.5,Test
80006,0,7.0,0.0,71.5,Test
80126,1,5.0,0.2,64.0,Test
80127,0,6.0,0.0,45.5,Control
80241,1,2.0,0.5,65.0,Control
80275,6,13.0,0.46153846153846156,62.5,Test
80479,2,8.0,0.25,64.5,Test
80559,0,4.0,0.0,51.5,Control
80801,1,10.0,0.1,36.0,Test
80915,1,5.0,0.2,48.0,Control
81102,0,4.0,0.0,58.5,Control
81119,1,3.0,0.3333333333333333,31.0,Test
81303,4,8.0,0.5,54.5,Test
81601,6,10.0,0.6,32.5,Control
81720,4,7.0,0.5714285714285714,67.5,Test
81816,0,2.0,0.0,51.0,Control
81976,0,3.0,0.0,52.5,Control
82206,1,5.0,0.2,49.5,Test
82376,0,4.0,0.0,32.0,Control
82560,2,2.0,1.0,63.0,Test
82566,0,4.0,0.0,74.5,Control
82712,21,26.0,0.8076923076923077,59.0,Control
82723,3,6.0,0.5,35.0,Control
82772,0,4.0,0.0,46.5,Test
82869,0,4.0,0.0,27.5,Control
83158,0,4.0,0.0,54.5,Control
83447,5,14.0,0.35714285714285715,48.5,Control
83507,0,4.0,0.0,25.5,Test
83585,0,4.0,0.0,33.5,Test
83683,0,0.0,0.0,31.0,Control
83795,8,17.0,0.47058823529411764,71.5,Test
84108,0,4.0,0.0,60.0,Control
84464,0,4.0,0.0,41.5,Test
84480,1,6.0,0.16666666666666666,58.5,Control
84596,1,1.0,1.0,44.0,Test
84624,0,4.0,0.0,46.5,Control
84658,1,7.0,0.14285714285714285,41.0,Test
84976,3,7.0,0.42857142857142855,38.5,Test
85097,6,7.0,0.8571428571428571,65.0,Control
85286,4,6.0,0.6666666666666666,22.0,Control
85515,4,13.0,0.3076923076923077,75.0,Control
85793,2,8.0,0.25,63.5,Control
86035,0,4.0,0.0,54.5,Test
86499,2,6.0,0.3333333333333333,21.5,Control
86616,2,7.0,0.2857142857142857,30.5,Control
86699,0,4.0,0.0,27.5,Control
86780,2,4.0,0.5,61.0,Test
86877,3,8.0,0.375,28.0,Test
87162,1,5.0,0.2,63.5,Control
87218,1,6.0,0.16666666666666666,27.5,Control
87300,1,5.0,0.2,27.5,Control
87424,0,4.0,0.0,29.5,Test
87449,1,5.0,0.2,28.5,Test
87915,3,5.0,0.6,21.0,Test
88378,1,2.0,0.5,61.0,Control
88723,0,4.0,0.0,66.5,Control
88759,0,4.0,0.0,73.5,Control
88986,0,1.0,0.0,45.0,Test
89039,0,4.0,0.0,70.5,Test
89052,0,4.0,0.0,49.5,Control
89108,0,2.0,0.0,44.5,Control
89116,0,4.0,0.0,23.5,Control
89257,3,3.0,1.0,49.0,Test
89604,0,4.0,0.0,32.5,Test
89645,3,6.0,0.5,32.0,Control
89693,0,4.0,0.0,35.5,Test
89812,3,3.0,1.0,49.0,Test
89959,8,18.0,0.4444444444444444,38.5,Test
90324,2,6.0,0.3333333333333333,45.0,Test
90360,0,4.0,0.0,32.5,Test
90383,0,0.0,0.0,22.0,Test
90596,0,7.0,0.0,48.0,Control
91110,2,10.0,0.2,69.5,Test
91254,0,4.0,0.0,32.5,Test
91443,1,6.0,0.16666666666666666,35.5,Test
91633,1,6.0,0.16666666666666666,66.5,Test
92066,2,6.0,0.3333333333333333,38.5,Test
92137,0,4.0,0.0,24.5,Test
92665,0,3.0,0.0,35.0,Test
92808,1,6.0,0.16666666666666666,47.0,Control
92864,0,1.0,0.0,28.0,Test
93127,2,7.0,0.2857142857142857,44.0,Control
93137,0,4.0,0.0,67.5,Test
93370,3,3.0,1.0,34.0,Test
93480,0,4.0,0.0,65.0,Test
93610,6,11.0,0.5454545454545454,58.5,Test
93751,6,10.0,0.6,65.0,Test
93870,4,10.0,0.4,67.5,Test
93915,8,17.0,0.47058823529411764,53.5,Test
94012,1,1.0,1.0,71.0,Control
94234,0,3.0,0.0,40.0,Test
94510,1,4.0,0.25,45.0,Control
94552,4,11.0,0.36363636363636365,67.0,Test
94662,3,8.0,0.375,50.0,Test
94767,0,4.0,0.0,31.0,Test
94778,0,4.0,0.0,64.5,Control
94914,0,0.0,0.0,84.0,Test
95035,2,6.0,0.3333333333333333,43.5,Test
95199,0,4.0,0.0,43.5,Test
95453,1,8.0,0.125,34.5,Test
96190,6,10.0,0.6,56.5,Test
96548,0,2.0,0.0,63.0,Control
96787,4,9.0,0.4444444444444444,53.5,Test
96845,0,1.0,0.0,61.0,Control
97147,2,4.0,0.5,55.0,Test
97170,0,1.0,0.0,38.0,Control
97322,0,0.0,0.0,35.0,Control
97424,0,4.0,0.0,26.5,Test
97590,1,5.0,0.2,57.5,Test
97723,0,4.0,0.0,27.5,Control
97966,4,11.0,0.36363636363636365,40.0,Control
98248,2,4.0,0.5,60.0,Test
98337,0,4.0,0.0,59.5,Test
98860,0,4.0,0.0,29.0,Control
99149,0,7.0,0.0,35.5,Control
99208,0,4.0,0.0,47.5,Test
99811,1,5.0,0.2,38.5,Control
100118,4,4.0,1.0,34.0,Test
100250,0,4.0,0.0,73.5,Test
100503,3,7.0,0.42857142857142855,21.0,Control
100888,0,4.0,0.0,40.5,Control
100940,4,8.0,0.5,47.0,Test
101143,1,1.0,1.0,68.0,Control
101220,1,1.0,1.0,72.0,Test
101246,1,1.0,1.0,59.0,Control
101818,0,4.0,0.0,46.5,Control
102859,2,2.0,1.0,72.0,Control
102884,2,4.0,0.5,66.0,Test
103515,0,4.0,0.0,45.5,Control
103622,2,7.0,0.2857142857142857,24.5,Test
103627,0,4.0,0.0,63.0,Test
103669,1,5.0,0.2,38.5,Test
104190,4,7.0,0.5714285714285714,24.0,Test
104328,0,11.0,0.0,36.5,Control
104643,0,0.0,0.0,64.0,Test
104781,0,6.0,0.0,39.5,Control
104884,3,8.0,0.375,83.0,Control
104972,0,4.0,0.0,54.0,Test
105007,0,0.0,0.0,35.0,Control
105026,1,5.0,0.2,62.5,Control
105357,1,5.0,0.2,82.0,Control
105360,2,8.0,0.25,56.5,Control
105623,2,6.0,0.3333333333333333,36.0,Control
106102,0,0.0,0.0,61.0,Test
106137,1,2.0,0.5,51.0,Test
106457,6,8.0,0.75,91.0,Control
106501,1,5.0,0.2,53.5,Test
108335,4,7.0,0.5714285714285714,25.0,Control
108419,2,6.0,0.3333333333333333,62.5,Test
108438,2,9.0,0.2222222222222222,28.5,Control
108892,0,4.0,0.0,49.5,Test
109175,0,6.0,0.0,38.0,Control
109413,0,1.0,0.0,51.0,Control
109465,2,6.0,0.3333333333333333,27.5,Control
109662,6,11.0,0.5454545454545454,54.5,Test
109859,0,4.0,0.0,67.5,Control
109932,1,7.0,0.14285714285714285,44.0,Control
110028,1,5.0,0.2,62.5,Test
110212,1,6.0,0.16666666666666666,54.5,Test
110288,1,1.0,1.0,47.0,Test
110772,2,9.0,0.2222222222222222,55.5,Test
110890,0,1.0,0.0,83.0,Control
111012,1,7.0,0.14285714285714285,30.0,Control
111162,2,4.0,0.5,33.0,Test
111304,0,4.0,0.0,33.5,Control
111477,1,2.0,0.5,55.0,Control
112128,1,5.0,0.2,28.0,Control
112766,2,11.0,0.18181818181818182,36.5,Test
113597,3,5.0,0.6,31.0,Test
113852,0,4.0,0.0,25.5,Test
113903,2,3.0,0.6666666666666666,69.0,Test
113951,0,4.0,0.0,64.5,Test
113964,9,9.0,1.0,53.0,Test
114459,2,6.0,0.3333333333333333,49.0,Control
114541,1,8.0,0.125,35.0,Control
114542,0,4.0,0.0,26.5,Test
114566,0,4.0,0.0,49.5,Control
114780,0,0.0,0.0,28.0,Control
115163,2,6.0,0.3333333333333333,38.5,Test
115570,0,4.0,0.0,25.5,Test
115597,0,1.0,0.0,54.0,Control
115834,6,9.0,0.6666666666666666,43.0,Control
115839,0,0.0,0.0,52.0,Test
115973,0,4.0,0.0,30.5,Control
116248,0,1.0,0.0,43.0,Test
116345,0,4.0,0.0,51.5,Control
116384,0,4.0,0.0,31.5,Test
116505,3,3.0,1.0,25.0,Control
116682,0,0.0,0.0,45.0,Control
116693,0,4.0,0.0,61.0,Control
117032,11,20.0,0.55,59.5,Test
117276,0,4.0,0.0,71.5,Test
117320,0,0.0,0.0,58.0,Control
117457,0,4.0,0.0,26.5,Test
117520,0,4.0,0.0,26.5,Test
117621,0,4.0,0.0,35.0,Control
117883,1,1.0,1.0,63.0,Control
117916,1,5.0,0.2,28.5,Test
117979,0,3.0,0.0,67.5,Control
118358,0,4.0,0.0,72.0,Control
118415,0,4.0,0.0,56.5,Control
118446,2,12.0,0.16666666666666666,55.5,Test
118576,0,2.0,0.0,50.0,Test
118723,2,6.0,0.3333333333333333,74.0,Control
118964,1,9.0,0.1111111111111111,21.5,Control
118966,2,7.0,0.2857142857142857,63.0,Test
119006,8,16.0,0.5,25.0,Test
119599,1,3.0,0.3333333333333333,33.0,Test
119634,4,10.0,0.4,34.5,Test
120089,5,12.0,0.4166666666666667,43.0,Test
120309,0,4.0,0.0,64.5,Control
120351,1,5.0,0.2,29.5,Test
120660,0,4.0,0.0,72.5,Test
120830,2,6.0,0.3333333333333333,52.5,Test
120872,1,9.0,0.1111111111111111,64.5,Control
121029,0,4.0,0.0,65.5,Test
121238,1,5.0,0.2,29.5,Test
121354,0,4.0,0.0,30.5,Test
121536,4,8.0,0.5,83.0,Test
121672,2,7.0,0.2857142857142857,40.0,Test
122093,1,4.0,0.25,59.0,Test
122493,1,4.0,0.25,57.0,Control
122526,1,6.0,0.16666666666666666,33.5,Test
122790,0,4.0,0.0,37.5,Test
123141,0,3.0,0.0,23.0,Control
123311,0,5.0,0.0,41.5,Test
123552,1,3.0,0.3333333333333333,47.0,Control
123853,2,2.0,1.0,53.0,Test
124118,2,6.0,0.3333333333333333,49.0,Control
124572,0,4.0,0.0,51.5,Control
124614,0,4.0,0.0,50.5,Test
124624,0,4.0,0.0,26.5,Control
