occupation_title;occupation_code;2023_employment;projected_2033_employment;employment_percent_change_2023-2033;employment_change_2023-2033
Business operations specialists, all other;"=""13-1199""";71.7;73.9;3.0;2.2
Financial specialists;"=""13-2000""";117.6;120.7;2.6;3.1
Accountants and auditors;"=""13-2011""";93.8;96.2;2.6;2.5
Property appraisers and assessors;"=""13-2020""";0.1;0.1;2.1;0.0
Budget analysts;"=""13-2031""";2.9;3.0;2.6;0.1
Credit analysts;"=""13-2041""";1.2;1.1;-7.9;-0.1
Financial analysts and advisors;"=""13-2050""";17.1;17.7;3.2;0.5
Financial and investment analysts;"=""13-2051""";16.7;17.2;3.1;0.5
Financial risk specialists;"=""13-2054""";0.4;0.4;7.2;0.0
Financial specialists, all other;"=""13-2099""";2.5;2.6;2.9;0.1
Computer and mathematical occupations;"=""15-0000""";337.1;356.3;5.7;19.2
Computer occupations;"=""15-1200""";322.4;338.1;4.9;15.7
Computer and information analysts;"=""15-1210""";37.3;40.3;8.0;3.0
Computer systems analysts;"=""15-1211""";27.8;28.5;2.7;0.8
Information security analysts;"=""15-1212""";9.5;11.8;23.3;2.2
Computer and information research scientists;"=""15-1221""";1.3;1.6;24.3;0.3
Computer support specialists;"=""15-1230""";35.3;34.3;-2.9;-1.0
Computer network support specialists;"=""15-1231""";6.4;6.6;3.4;0.2
Computer user support specialists;"=""15-1232""";28.9;27.7;-4.3;-1.3
Database and network administrators and architects;"=""15-1240""";34.1;33.2;-2.7;-0.9
Computer network architects;"=""15-1241""";7.4;7.9;6.9;0.5
Database administrators;"=""15-1242""";3.1;3.2;3.0;0.1
Database architects;"=""15-1243""";2.1;2.2;3.3;0.1
Network and computer systems administrators;"=""15-1244""";21.5;19.9;-7.5;-1.6
Software and web developers, programmers, and testers;"=""15-1250""";186.8;200.2;7.2;13.4
Computer programmers;"=""15-1251""";8.3;7.1;-15.4;-1.3
Software developers;"=""15-1252""";153.8;167.7;9.0;13.9
Software quality assurance analysts and testers;"=""15-1253""";16.9;17.6;4.2;0.7
Web developers;"=""15-1254""";3.0;3.0;-0.2;0.0
Web and digital interface designers;"=""15-1255""";4.7;4.8;2.0;0.1
Computer occupations, all other;"=""15-1299""";27.6;28.5;3.4;0.9
Mathematical science occupations;"=""15-2000""";14.7;18.2;23.9;3.5
Mathematicians;"=""15-2021""";0.2;0.2;4.6;0.0
Operations research analysts;"=""15-2031""";5.2;6.1;18.2;0.9
Statisticians;"=""15-2041""";0.8;0.9;9.7;0.1
Data scientists;"=""15-2051""";8.3;10.8;29.7;2.5
Mathematical science occupations, all other;"=""15-2099""";0.2;0.2;0.5;0.0
Architecture and engineering occupations;"=""17-0000""";794.6;850.4;7.0;55.8
Architects, surveyors, and cartographers;"=""17-1000""";0.5;0.5;0.3;0.0
Architects, except naval;"=""17-1010""";0.4;0.4;0.0;0.0
Architects, except landscape and naval;"=""17-1011""";0.4;0.4;0.1;0.0
Surveyors, cartographers, and photogrammetrists;"=""17-1020""";0.1;0.1;1.7;0.0
Cartographers and photogrammetrists;"=""17-1021""";0.1;0.1;-0.5;0.0
Engineers;"=""17-2000""";601.0;656.2;9.2;55.2
Aerospace engineers;"=""17-2011""";32.6;33.5;2.7;0.9
Agricultural engineers;"=""17-2021""";0.1;0.1;1.8;0.0
Bioengineers and biomedical engineers;"=""17-2031""";5.9;6.3;6.3;0.4
Chemical engineers;"=""17-2041""";11.0;12.4;13.0;1.4
Civil engineers;"=""17-2051""";4.1;4.3;2.9;0.1
Computer hardware engineers;"=""17-2061""";25.1;27.5;9.3;2.3
Electrical and electronics engineers;"=""17-2070""";92.4;100.2;8.4;7.8
Electrical engineers;"=""17-2071""";62.9;68.4;8.7;5.5
Electronics engineers, except computer;"=""17-2072""";29.6;31.8;7.7;2.3
Environmental engineers;"=""17-2081""";2.9;2.9;1.5;0.0
Industrial engineers, including health and safety;"=""17-2110""";234.1;260.1;11.1;26.1
Health and safety engineers, except mining safety engineers and inspectors;"=""17-2111""";6.0;6.1;2.8;0.2
Industrial engineers;"=""17-2112""";228.1;254.0;11.4;25.9
Marine engineers and naval architects;"=""17-2121""";5.3;5.9;10.5;0.6
Materials engineers;"=""17-2131""";13.9;15.1;8.3;1.2
Mechanical engineers;"=""17-2141""";132.6;145.4;9.7;12.9
Mining and geological engineers, including mining safety engineers;"=""17-2151""";0.1;0.1;1.6;0.0
Nuclear engineers;"=""17-2161""";0.4;0.5;4.7;0.0
Petroleum engineers;"=""17-2171""";2.0;2.0;-0.4;0.0
Engineers, all other;"=""17-2199""";38.4;39.9;4.0;1.5
Drafters, engineering technicians, and mapping technicians;"=""17-3000""";193.1;193.7;0.3;0.6
Drafters;"=""17-3010""";41.2;39.3;-4.7;-1.9
Architectural and civil drafters;"=""17-3011""";7.9;8.0;2.0;0.2
Electrical and electronics drafters;"=""17-3012""";4.0;4.3;7.6;0.3
Mechanical drafters;"=""17-3013""";22.8;21.0;-7.9;-1.8
Drafters, all other;"=""17-3019""";6.5;5.9;-9.5;-0.6
Engineering technologists and technicians, except drafters;"=""17-3020""";151.7;154.3;1.7;2.6
Aerospace engineering and operations technologists and technicians;"=""17-3021""";5.8;6.0;3.4;0.2
Civil engineering technologists and technicians;"=""17-3022""";0.3;0.3;-0.2;0.0
Electrical and electronic engineering technologists and technicians;"=""17-3023""";42.3;42.9;1.3;0.5
Electro-mechanical and mechatronics technologists and technicians;"=""17-3024""";7.3;7.1;-2.2;-0.2
Environmental engineering technologists and technicians;"=""17-3025""";0.8;0.8;-2.4;0.0
Industrial engineering technologists and technicians;"=""17-3026""";54.5;56.3;3.3;1.8
Mechanical engineering technologists and technicians;"=""17-3027""";18.6;18.0;-3.6;-0.7
Calibration technologists and technicians;"=""17-3028""";4.8;5.0;4.5;0.2
Engineering technologists and technicians, except drafters, all other;"=""17-3029""";17.3;17.9;3.8;0.7
Surveying and mapping technicians;"=""17-3031""";0.2;0.2;-0.4;0.0
Life, physical, and social science occupations;"=""19-0000""";154.1;166.5;8.0;12.4
Life scientists;"=""19-1000""";31.9;34.0;6.6;2.1
Agricultural and food scientists;"=""19-1010""";7.9;8.8;10.4;0.8
Animal scientists;"=""19-1011""";0.3;0.3;12.5;0.0
Food scientists and technologists;"=""19-1012""";7.0;7.7;10.6;0.7
Soil and plant scientists;"=""19-1013""";0.7;0.8;8.1;0.1
Biological scientists;"=""19-1020""";16.3;17.2;5.6;0.9
Biochemists and biophysicists;"=""19-1021""";7.0;7.4;5.6;0.4
Microbiologists;"=""19-1022""";4.8;5.1;5.8;0.3
Biological scientists, all other;"=""19-1029""";4.5;4.7;5.5;0.2
Conservation scientists and foresters;"=""19-1030""";0.6;0.6;-1.8;0.0
Foresters;"=""19-1032""";0.6;0.6;-1.9;0.0
Medical scientists;"=""19-1040""";6.6;7.0;5.1;0.3
Epidemiologists;"=""19-1041""";0.1;0.1;5.5;0.0
Medical scientists, except epidemiologists;"=""19-1042""";6.6;6.9;5.1;0.3
Life scientists, all other;"=""19-1099""";0.4;0.5;5.7;0.0
Physical scientists;"=""19-2000""";39.3;42.8;9.1;3.6
Astronomers and physicists;"=""19-2010""";0.5;0.5;6.8;0.0
Physicists;"=""19-2012""";0.5;0.5;6.8;0.0
Chemists and materials scientists;"=""19-2030""";35.8;39.2;9.5;3.4
Chemists;"=""19-2031""";32.2;35.3;9.5;3.1
Materials scientists;"=""19-2032""";3.6;3.9;9.3;0.3
Environmental scientists and geoscientists;"=""19-2040""";1.5;1.5;3.5;0.1
Environmental scientists and specialists, including health;"=""19-2041""";1.3;1.3;3.9;0.0
Geoscientists, except hydrologists and geographers;"=""19-2042""";0.2;0.2;0.9;0.0
Physical scientists, all other;"=""19-2099""";1.5;1.6;5.5;0.1
Social scientists and related workers;"=""19-3000""";0.1;0.1;1.4;0.0
Economists;"=""19-3011""";0.1;0.1;0.5;0.0
Life, physical, and social science technicians;"=""19-4000""";55.8;59.1;5.9;3.3
Agricultural and food science technicians;"=""19-4010""";11.7;12.9;10.7;1.2
Agricultural technicians;"=""19-4012""";1.2;1.3;8.1;0.1
Food science technicians;"=""19-4013""";10.4;11.6;11.0;1.1
Biological technicians;"=""19-4021""";8.1;8.6;5.5;0.4
Chemical technicians;"=""19-4031""";26.7;27.9;4.7;1.3
Environmental science and geoscience technicians;"=""19-4040""";1.0;1.0;1.6;0.0
Environmental science and protection technicians, including health;"=""19-4042""";0.5;0.5;4.4;0.0
Geological technicians, except hydrologic technicians;"=""19-4043""";0.5;0.5;-1.3;0.0
Nuclear technicians;"=""19-4051""";0.4;0.4;5.8;0.0
Miscellaneous life, physical, and social science technicians;"=""19-4090""";7.9;8.2;4.2;0.3
Life, physical, and social science technicians, all other;"=""19-4099""";7.9;8.2;4.2;0.3
Occupational health and safety specialists and technicians;"=""19-5000""";27.0;30.4;12.6;3.4
Occupational health and safety specialists;"=""19-5011""";21.2;24.2;14.1;3.0
Occupational health and safety technicians;"=""19-5012""";5.8;6.2;7.0;0.4
Community and social service occupations;"=""21-0000""";0.2;0.2;5.3;0.0
Religious workers;"=""21-2000""";0.2;0.2;5.7;0.0
Clergy;"=""21-2011""";0.2;0.2;5.7;0.0
Legal occupations;"=""23-0000""";7.3;7.6;4.5;0.3
Lawyers, judges, and related workers;"=""23-1000""";5.8;6.1;5.3;0.3
Lawyers and judicial law clerks;"=""23-1010""";5.8;6.1;5.3;0.3
Lawyers;"=""23-1011""";5.8;6.1;5.3;0.3
Legal support workers;"=""23-2000""";1.5;1.5;1.3;0.0
Paralegals and legal assistants;"=""23-2011""";1.2;1.2;0.1;0.0
Miscellaneous legal support workers;"=""23-2090""";0.3;0.3;5.9;0.0
Legal support workers, all other;"=""23-2099""";0.3;0.3;5.9;0.0
Educational instruction and library occupations;"=""25-0000""";0.4;0.4;4.7;0.0
Other teachers and instructors;"=""25-3000""";0.1;0.2;10.0;0.0
Self-enrichment teachers;"=""25-3021""";0.1;0.1;14.5;0.0
Librarians, curators, and archivists;"=""25-4000""";0.1;0.1;-0.8;0.0
Librarians and media collections specialists;"=""25-4022""";0.1;0.1;0.3;0.0
Other educational instruction and library occupations;"=""25-9000""";0.1;0.2;4.2;0.0
Instructional coordinators;"=""25-9031""";0.1;0.1;5.1;0.0
Arts, design, entertainment, sports, and media occupations;"=""27-0000""";84.5;84.3;-0.2;-0.2
Art and design workers;"=""27-1000""";66.7;66.5;-0.3;-0.2
Artists and related workers;"=""27-1010""";3.8;3.7;-3.2;-0.1
Art directors;"=""27-1011""";1.8;1.7;-6.8;-0.1
Craft artists;"=""27-1012""";0.5;0.5;-0.2;0.0
Fine artists, including painters, sculptors, and illustrators;"=""27-1013""";0.6;0.6;-0.4;0.0
Special effects artists and animators;"=""27-1014""";0.8;0.8;0.1;0.0
Artists and related workers, all other;"=""27-1019""";0.1;0.1;2.7;0.0
Designers;"=""27-1020""";62.9;62.8;-0.1;-0.1
Commercial and industrial designers;"=""27-1021""";10.1;10.1;-0.9;-0.1
Fashion designers;"=""27-1022""";2.1;1.7;-17.9;-0.4
Graphic designers;"=""27-1024""";38.0;35.9;-5.5;-2.1
Interior designers;"=""27-1025""";0.9;0.9;-3.6;0.0
Merchandise displayers and window trimmers;"=""27-1026""";9.9;12.5;26.1;2.6
Designers, all other;"=""27-1029""";1.6;1.5;-3.7;-0.1
Entertainers and performers, sports and related workers;"=""27-2000""";0.5;0.5;-3.6;0.0
Actors, producers, and directors;"=""27-2010""";0.4;0.3;-7.9;0.0
Producers and directors;"=""27-2012""";0.4;0.3;-7.9;0.0
Media and communication workers;"=""27-3000""";15.0;15.1;0.8;0.1
News analysts, reporters, and journalists;"=""27-3023""";0.1;0.0;-13.3;0.0
Public relations specialists;"=""27-3031""";6.3;6.5;3.3;0.2
Writers and editors;"=""27-3040""";7.9;7.8;-0.8;-0.1
Editors;"=""27-3041""";0.6;0.6;1.1;0.0
Technical writers;"=""27-3042""";6.8;6.7;-1.3;-0.1
Writers and authors;"=""27-3043""";0.5;0.5;5.1;0.0
Miscellaneous media and communication workers;"=""27-3090""";0.8;0.8;-1.9;0.0
Interpreters and translators;"=""27-3091""";0.6;0.6;-0.1;0.0
Media and communication workers, all other;"=""27-3099""";0.2;0.2;-7.4;0.0
Media and communication equipment workers;"=""27-4000""";2.3;2.2;-4.5;-0.1
Broadcast, sound, and lighting technicians;"=""27-4010""";1.3;1.2;-6.2;-0.1
Audio and video technicians;"=""27-4011""";1.0;0.9;-4.1;0.0
Sound engineering technicians;"=""27-4014""";0.2;0.2;-10.6;0.0
Lighting technicians;"=""27-4015""";0.1;0.1;-15.5;0.0
Photographers;"=""27-4021""";0.6;0.6;-4.9;0.0
Television, video, and film camera operators and editors;"=""27-4030""";0.4;0.4;0.8;0.0
Camera operators, television, video, and film;"=""27-4031""";0.2;0.2;-6.8;0.0
Film and video editors;"=""27-4032""";0.2;0.2;6.2;0.0
Media and communication equipment workers, all other;"=""27-4099""";0.1;0.1;-2.6;0.0
Healthcare practitioners and technical occupations;"=""29-0000""";12.2;13.4;10.4;1.3
Healthcare diagnosing or treating practitioners;"=""29-1000""";4.3;4.5;4.5;0.2
Dietitians and nutritionists;"=""29-1031""";0.1;0.1;13.3;0.0
Pharmacists;"=""29-1051""";1.2;1.3;5.5;0.1
Veterinarians;"=""29-1131""";0.1;0.1;7.6;0.0
Registered nurses;"=""29-1141""";2.2;2.3;3.1;0.1
Nurse anesthetists;"=""29-1151""";0.1;0.2;7.2;0.0
Nurse practitioners;"=""29-1171""";0.1;0.1;4.5;0.0
Audiologists;"=""29-1181""";0.1;0.1;5.3;0.0
Physicians;"=""29-1210""";0.2;0.2;4.8;0.0
Physicians, all other;"=""29-1229""";0.1;0.1;4.6;0.0
Miscellaneous healthcare diagnosing or treating practitioners;"=""29-1290""";0.1;0.1;6.5;0.0
Health technologists and technicians;"=""29-2000""";7.7;8.7;13.7;1.0
Clinical laboratory technologists and technicians;"=""29-2010""";1.1;1.2;5.4;0.1
Diagnostic related technologists and technicians;"=""29-2030""";0.1;0.1;5.4;0.0
Emergency medical technicians and paramedics;"=""29-2040""";0.2;0.2;1.3;0.0
Emergency medical technicians;"=""29-2042""";0.2;0.2;1.0;0.0
Health practitioner support technologists and technicians;"=""29-2050""";3.0;3.3;9.2;0.3
Pharmacy technicians;"=""29-2052""";2.8;3.1;9.4;0.3
Veterinary technologists and technicians;"=""29-2056""";0.2;0.2;5.9;0.0
Licensed practical and licensed vocational nurses;"=""29-2061""";0.2;0.3;4.5;0.0
Medical records specialists;"=""29-2072""";0.1;0.1;8.7;0.0
Opticians, dispensing;"=""29-2081""";0.1;0.1;7.0;0.0
Miscellaneous health technologists and technicians;"=""29-2090""";2.8;3.4;24.3;0.7
Orthotists and prosthetists;"=""29-2091""";2.5;3.2;26.1;0.7
Hearing aid specialists;"=""29-2092""";0.1;0.1;5.2;0.0
Health technologists and technicians, all other;"=""29-2099""";0.1;0.1;1.3;0.0
Other healthcare practitioners and technical occupations;"=""29-9000""";0.2;0.2;9.9;0.0
Health information technologists and medical registrars;"=""29-9021""";0.1;0.1;16.1;0.0
Miscellaneous health practitioners and technical workers;"=""29-9090""";0.1;0.1;5.6;0.0
Healthcare practitioners and technical workers, all other;"=""29-9099""";0.1;0.1;5.8;0.0
Healthcare support occupations;"=""31-0000""";1.1;1.1;5.8;0.1
Other healthcare support occupations;"=""31-9000""";1.0;1.1;6.4;0.1
Miscellaneous healthcare support occupations;"=""31-9090""";1.0;1.1;6.4;0.1
Dental assistants;"=""31-9091""";0.1;0.1;7.2;0.0
Medical assistants;"=""31-9092""";0.2;0.2;5.8;0.0
Medical equipment preparers;"=""31-9093""";0.2;0.2;5.9;0.0
Pharmacy aides;"=""31-9095""";0.1;0.1;7.4;0.0
Veterinary assistants and laboratory animal caretakers;"=""31-9096""";0.1;0.1;5.7;0.0
Healthcare support workers, all other;"=""31-9099""";0.4;0.4;7.0;0.0
Protective service occupations;"=""33-0000""";11.4;11.0;-3.9;-0.4
Supervisors of protective service workers;"=""33-1000""";0.8;0.8;0.4;0.0
First-line supervisors of firefighting and prevention workers;"=""33-1021""";0.1;0.1;1.8;0.0
Miscellaneous first-line supervisors, protective service workers;"=""33-1090""";0.7;0.7;0.2;0.0
First-line supervisors of security workers;"=""33-1091""";0.5;0.5;-2.1;0.0
First-line supervisors of protective service workers, all other;"=""33-1099""";0.2;0.2;6.2;0.0
Firefighting and prevention workers;"=""33-2000""";0.5;0.5;1.8;0.0
Firefighters;"=""33-2011""";0.4;0.4;2.1;0.0
Fire inspectors;"=""33-2020""";0.1;0.1;0.6;0.0
Fire inspectors and investigators;"=""33-2021""";0.1;0.1;0.6;0.0
Other protective service workers;"=""33-9000""";10.1;9.7;-4.5;-0.5
Private detectives and investigators;"=""33-9021""";0.2;0.2;4.0;0.0
Security guards and gambling surveillance officers;"=""33-9030""";9.6;9.2;-4.9;-0.5
Security guards;"=""33-9032""";9.6;9.2;-4.9;-0.5
Miscellaneous protective service workers;"=""33-9090""";0.3;0.4;2.6;0.0
Crossing guards and flaggers;"=""33-9091""";0.2;0.2;1.0;0.0
Protective service workers, all other;"=""33-9099""";0.2;0.2;4.0;0.0
Food preparation and serving related occupations;"=""35-0000""";134.6;162.4;20.6;27.8
Supervisors of food preparation and serving workers;"=""35-1000""";10.6;12.7;19.7;2.1
Chefs and head cooks;"=""35-1011""";2.1;2.5;18.8;0.4
First-line supervisors of food preparation and serving workers;"=""35-1012""";8.5;10.2;20.0;1.7
Cooks and food preparation workers;"=""35-2000""";28.5;33.8;18.5;5.3
Cooks;"=""35-2010""";14.1;17.8;26.0;3.7
Cooks, fast food;"=""35-2011""";1.1;1.2;17.1;0.2
Cooks, institution and cafeteria;"=""35-2012""";0.8;0.9;4.3;0.0
Cooks, restaurant;"=""35-2014""";9.6;12.6;31.4;3.0
Cooks, short order;"=""35-2015""";1.3;1.6;21.0;0.3
Cooks, all other;"=""35-2019""";1.3;1.4;12.2;0.2
Food preparation workers;"=""35-2021""";14.3;15.9;11.2;1.6
Food and beverage serving workers;"=""35-3000""";83.2;101.2;21.6;18.0
Bartenders;"=""35-3011""";36.3;46.3;27.7;10.0
Fast food and counter workers;"=""35-3023""";24.1;25.9;7.7;1.9
Waiters and waitresses;"=""35-3031""";22.2;28.1;26.6;5.9
Food servers, nonrestaurant;"=""35-3041""";0.7;0.9;25.9;0.2
Other food preparation and serving related workers;"=""35-9000""";12.3;14.7;19.7;2.4
Dining room and cafeteria attendants and bartender helpers;"=""35-9011""";3.3;4.1;26.6;0.9
Dishwashers;"=""35-9021""";5.6;6.3;13.0;0.7
Hosts and hostesses, restaurant, lounge, and coffee shop;"=""35-9031""";2.6;3.3;26.5;0.7
Food preparation and serving related workers, all other;"=""35-9099""";0.8;1.0;15.8;0.1
Building and grounds cleaning and maintenance occupations;"=""37-0000""";78.5;82.0;4.4;3.5
Supervisors of building and grounds cleaning and maintenance workers;"=""37-1000""";1.7;1.9;6.5;0.1
First-line supervisors of housekeeping and janitorial workers;"=""37-1011""";1.7;1.8;6.1;0.1
First-line supervisors of landscaping, lawn service, and groundskeeping workers;"=""37-1012""";0.1;0.1;16.1;0.0
Building cleaning and pest control workers;"=""37-2000""";73.9;77.0;4.2;3.1
Building cleaning workers;"=""37-2010""";73.8;76.9;4.2;3.1
Janitors and cleaners, except maids and housekeeping cleaners;"=""37-2011""";73.0;76.1;4.2;3.1
Maids and housekeeping cleaners;"=""37-2012""";0.6;0.6;4.4;0.0
Building cleaning workers, all other;"=""37-2019""";0.2;0.2;9.2;0.0
Pest control workers;"=""37-2021""";0.1;0.1;8.5;0.0
Grounds maintenance workers;"=""37-3000""";2.9;3.2;8.5;0.2
Landscaping and groundskeeping workers;"=""37-3011""";2.6;2.9;8.7;0.2
Pesticide handlers, sprayers, and applicators, vegetation;"=""37-3012""";0.2;0.2;8.1;0.0
Grounds maintenance workers, all other;"=""37-3019""";0.1;0.1;2.2;0.0
Personal care and service occupations;"=""39-0000""";1.8;2.0;15.2;0.3
Supervisors of personal care and service workers;"=""39-1000""";0.1;0.1;17.7;0.0
First-line supervisors of entertainment and recreation workers;"=""39-1010""";0.1;0.1;22.2;0.0
First-line supervisors of entertainment and recreation workers, except gambling services;"=""39-1014""";0.1;0.1;22.2;0.0
Animal care and service workers;"=""39-2000""";0.4;0.5;7.8;0.0
Animal caretakers;"=""39-2021""";0.4;0.4;8.4;0.0
Entertainment attendants and related workers;"=""39-3000""";0.1;0.1;13.7;0.0
Miscellaneous entertainment attendants and related workers;"=""39-3090""";0.1;0.1;13.5;0.0
Amusement and recreation attendants;"=""39-3091""";0.1;0.1;13.6;0.0
Funeral service workers;"=""39-4000""";0.1;0.1;3.6;0.0
Embalmers and crematory operators;"=""39-4010""";0.1;0.1;3.2;0.0
Crematory operators;"=""39-4012""";0.1;0.1;3.2;0.0
Tour and travel guides;"=""39-7000""";0.7;0.9;25.1;0.2
Tour and travel guides;"=""39-7010""";0.7;0.9;25.1;0.2
Other personal care and service workers;"=""39-9000""";0.2;0.2;4.2;0.0
Childcare workers;"=""39-9011""";0.1;0.1;2.4;0.0
Recreation and fitness workers;"=""39-9030""";0.1;0.1;4.5;0.0
Recreation workers;"=""39-9032""";0.1;0.1;4.5;0.0
Sales and related occupations;"=""41-0000""";420.2;424.2;1.0;4.1
Supervisors of sales workers;"=""41-1000""";21.2;22.5;5.9;1.3
First-line supervisors of retail sales workers;"=""41-1011""";6.7;7.1;7.2;0.5
First-line supervisors of non-retail sales workers;"=""41-1012""";14.6;15.4;5.3;0.8
Retail sales workers;"=""41-2000""";75.3;76.6;1.8;1.3
Cashiers;"=""41-2010""";23.1;20.8;-10.3;-2.4
Cashiers;"=""41-2011""";23.1;20.8;-10.3;-2.4
Counter and rental clerks and parts salespersons;"=""41-2020""";3.1;3.2;1.0;0.0
Counter and rental clerks;"=""41-2021""";1.2;1.3;1.6;0.0
Parts salespersons;"=""41-2022""";1.9;1.9;0.6;0.0
Retail salespersons;"=""41-2031""";49.0;52.7;7.5;3.7
Sales representatives, services;"=""41-3000""";18.7;17.9;-4.1;-0.8
Advertising sales agents;"=""41-3011""";0.2;0.1;-12.1;0.0
Securities, commodities, and financial services sales agents;"=""41-3031""";0.1;0.1;-1.8;0.0
Sales representatives of services, except advertising, insurance, financial services, and travel;"=""41-3091""";18.4;17.7;-4.0;-0.7
Sales representatives, wholesale and manufacturing;"=""41-4000""";275.2;273.9;-0.5;-1.3
Sales representatives, wholesale and manufacturing, technical and scientific products;"=""41-4011""";35.8;35.6;-0.5;-0.2
Sales representatives, wholesale and manufacturing, except technical and scientific products;"=""41-4012""";239.4;238.3;-0.5;-1.1
Other sales and related workers;"=""41-9000""";29.8;33.3;11.9;3.5
Models, demonstrators, and product promoters;"=""41-9010""";11.7;14.9;26.6;3.1
Demonstrators and product promoters;"=""41-9011""";11.7;14.9;26.6;3.1
Real estate brokers and sales agents;"=""41-9020""";0.1;0.1;2.4;0.0
Real estate sales agents;"=""41-9022""";0.1;0.1;2.3;0.0
Sales engineers;"=""41-9031""";12.0;12.2;1.6;0.2
Telemarketers;"=""41-9041""";0.2;0.2;-14.7;0.0
Miscellaneous sales and related workers;"=""41-9090""";5.7;6.0;4.2;0.2
Sales and related workers, all other;"=""41-9099""";5.7;6.0;4.2;0.2
Office and administrative support occupations;"=""43-0000""";986.3;913.7;-7.4;-72.7
Supervisors of office and administrative support workers;"=""43-1000""";69.0;62.9;-8.8;-6.1
First-line supervisors of office and administrative support workers;"=""43-1011""";69.0;62.9;-8.8;-6.1
Communications equipment operators;"=""43-2000""";0.1;0.1;-27.2;0.0
Switchboard operators, including answering service;"=""43-2011""";0.1;0.1;-30.3;0.0
Financial clerks;"=""43-3000""";131.2;119.0;-9.3;-12.2
Bill and account collectors;"=""43-3011""";2.3;2.1;-8.1;-0.2
Billing and posting clerks;"=""43-3021""";10.0;9.1;-8.8;-0.9
